experiment,phase,position,camera_id,serial,sample_index,wall_time_iso,color_stamp_s,depth_stamp_s,color_depth_dt_ms,marker_id,u_px,v_px,marker_area_px2,depth_patch_size,depth_valid_count,depth_valid_ratio,depth_median_raw,depth_mean_raw,depth_std_raw,x_cam_raw,y_cam_raw,z_cam_raw,fx,fy,cx,cy,color_frame_id,depth_frame_id
E0-A,formal,center,ihawk1,HK100QB6513M2B479,1,2026-08-07T18:48:43.631,1786099723.533272,1786099723.533272,0.0,4,270.8114318847656,277.6339111328125,998.5393029730767,9,81,1.0,490.0,490.61728395061726,5.386482853482798,-62.58994200318628,91.54798901480302,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,1,2026-08-07T18:48:43.694,1786099723.533731,1786099723.533731,0.0,4,373.11627197265625,341.0257263183594,1706.8088470981456,9,81,1.0,413.0,413.41975308641975,3.2475536852023867,55.15793565052862,145.70250174551177,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,2,2026-08-07T18:48:43.843,1786099723.728621,1786099723.703279,25.34198760986328,4,270.84857177734375,277.6671142578125,995.6432650801726,9,81,1.0,490.0,490.6296296296296,5.475957551982221,-62.54464609213103,91.58846862590961,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,2,2026-08-07T18:48:43.916,1786099723.789925,1786099723.789925,0.0,4,373.0758361816406,340.99627685546875,1708.3092859745957,9,81,1.0,413.0,413.34567901234567,3.1982827182222353,55.115260003460996,145.6714209912323,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,3,2026-08-07T18:48:44.056,1786099723.963224,1786099723.926565,36.65900230407715,4,270.8025207519531,277.70965576171875,998.5458208019845,9,81,1.0,490.0,490.7654320987654,5.511967899349268,-62.60081004429403,91.64033312763993,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,3,2026-08-07T18:48:44.121,1786099724.023698,1786099724.023698,0.0,4,373.1204528808594,341.06219482421875,1703.7071248809807,9,81,1.0,413.0,413.4567901234568,3.190021092077799,55.162348151395236,145.74099034796143,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,4,2026-08-07T18:48:44.331,1786099724.218995,1786099724.193673,25.32219886779785,4,373.1789245605469,341.0260925292969,1706.3925612154417,9,81,1.0,413.0,413.51851851851853,3.1784867119083224,55.224058747456795,145.70288824193804,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,4,2026-08-07T18:48:44.337,1786099724.225057,1786099724.19167,33.386945724487305,4,270.83050537109375,277.6858215332031,995.8017558725551,9,81,1.0,490.0,490.7283950617284,5.452092134398987,-62.56667992889743,91.61127561268198,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,5,2026-08-07T18:48:44.531,1786099724.453851,1786099724.453851,0.0,4,373.17559814453125,341.035400390625,1705.7363634798676,9,81,1.0,413.0,413.4320987654321,3.224663825908595,55.220548071584815,145.71271169277247,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,5,2026-08-07T18:48:44.549,1786099724.463232,1786099724.421463,41.76902770996094,4,270.7712707519531,277.6649169921875,1001.344429490855,9,81,1.0,490.0,490.48148148148147,5.406272077668472,-62.63892262680888,91.5857898281158,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,6,2026-08-07T18:48:44.751,1786099724.64803,1786099724.623678,24.352073669433594,4,373.19775390625,341.02947998046875,1707.363187468145,9,81,1.0,413.0,413.5061728395062,3.1269931915105103,55.24393110537432,145.70646333388106,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,6,2026-08-07T18:48:44.761,1786099724.652501,1786099724.62486,27.64105796813965,4,270.83056640625,277.66436767578125,1000.643151469063,9,81,1.0,490.0,490.75308641975306,5.508018845731945,-62.566605490259704,91.58512012866734,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,7,2026-08-07T18:48:44.965,1786099724.853176,1786099724.853176,0.0,4,270.8361511230469,277.681640625,999.7690315693617,9,81,1.0,490.0,490.679012345679,5.472264523243159,-62.55979435490793,91.60617845576874,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,7,2026-08-07T18:48:44.967,1786099724.87903,1786099724.853677,25.352954864501953,4,373.1577453613281,341.02099609375,1704.254981991835,9,81,1.0,414.0,413.58024691358025,3.133943990927662,55.33536667678659,146.05028797337135,414.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,8,2026-08-07T18:48:45.179,1786099725.04859,1786099725.04859,0.0,4,270.8074951171875,277.6689758300781,1000.1003186255693,9,81,1.0,490.0,490.55555555555554,5.3455589043616385,-62.594743295319496,91.59073816292937,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,8,2026-08-07T18:48:45.181,1786099725.07703,1786099725.053676,23.354053497314453,4,373.17816162109375,341.051513671875,1706.165603268426,9,81,1.0,413.0,413.4567901234568,3.1821745030562405,55.22325354656873,145.72971753552847,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,9,2026-08-07T18:48:45.397,1786099725.283335,1786099725.283335,0.0,4,270.8341369628906,277.6866455078125,995.461591016734,9,81,1.0,490.0,490.5061728395062,5.420155571545256,-62.56225082995283,91.61228016185467,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,9,2026-08-07T18:48:45.399,1786099725.307968,1786099725.283693,24.274826049804688,4,373.1736145019531,341.04364013671875,1705.6243280144408,9,81,1.0,413.0,413.48148148148147,3.0988349065056333,55.21845454927584,145.7214078623636,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,10,2026-08-07T18:48:45.601,1786099725.477977,1786099725.477977,0.0,4,270.8345031738281,277.68017578125,996.1681042341515,9,81,1.0,490.0,490.60493827160496,5.501542993437566,-62.56180419812649,91.60439259057286,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,10,2026-08-07T18:48:45.603,1786099725.513829,1786099725.472949,40.87996482849121,4,373.13970947265625,340.995361328125,1705.2772690881975,9,81,1.0,413.0,413.5061728395062,3.162765628331174,55.18267142181008,145.67045475016664,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,11,2026-08-07T18:48:45.801,1786099725.708606,1786099725.683181,25.424957275390625,4,270.8340148925781,277.68182373046875,997.2482703684364,9,81,1.0,490.0,490.69135802469134,5.4236564587661755,-62.56239970722828,91.60640168891823,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,11,2026-08-07T18:48:45.805,1786099725.673779,1786099725.673779,0.0,4,373.19403076171875,341.0165100097656,1706.2418530182913,9,81,1.0,413.0,413.51851851851853,3.236939569682724,55.24000172504055,145.6927749187839,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,12,2026-08-07T18:48:46.008,1786099725.906646,1786099725.883398,23.247957229614258,4,270.8503112792969,277.6118469238281,1000.113304374041,9,81,1.0,490.0,490.41975308641975,5.456336219320764,-62.542524590955885,91.52108942029008,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
