experiment,phase,position,camera_id,serial,sample_index,wall_time_iso,color_stamp_s,depth_stamp_s,color_depth_dt_ms,marker_id,u_px,v_px,marker_area_px2,depth_patch_size,depth_valid_count,depth_valid_ratio,depth_median_raw,depth_mean_raw,depth_std_raw,x_cam_raw,y_cam_raw,z_cam_raw,fx,fy,cx,cy,color_frame_id,depth_frame_id
E0-A,formal,far,ihawk1,HK100QB6513M2B479,1,2026-08-07T19:00:05.133,1786100405.021667,1786100405.021667,0.0,4,356.3182373046875,216.75299072265625,480.3869323730469,9,77,0.9506172839506173,627.0,628.6753246753246,6.096680629312192,53.35179297612206,22.16889774532241,627.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk2,HK100QB5311M2B242,1,2026-08-07T19:00:05.206,1786100405.018135,1786100405.018135,0.0,4,321.14263916015625,243.49685668945312,542.0446243735496,9,77,0.9506172839506173,576.0,574.5844155844156,6.552120286294332,0.4258385806566025,59.651877147478565,576.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk1,HK100QB6513M2B479,2,2026-08-07T19:00:05.325,1786100405.189257,1786100405.21414,24.883031845092773,4,356.5548095703125,216.75259399414062,481.4253387451172,9,78,0.9629629629629629,627.0,628.3974358974359,6.0007353306761075,53.72098613572776,22.16827884280491,627.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk2,HK100QB5311M2B242,2,2026-08-07T19:00:05.408,1786100405.277394,1786100405.277394,0.0,4,321.1343994140625,243.4931640625,542.9742751265876,9,78,0.9629629629629629,576.0,574.4358974358975,6.5872559834836695,0.41371026665056004,59.6464418660166,576.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk1,HK100QB6513M2B479,3,2026-08-07T19:00:05.549,1786100405.420904,1786100405.420904,0.0,4,356.2745361328125,216.7406463623047,480.328857421875,9,79,0.9753086419753086,627.0,628.1645569620254,6.461781884411893,53.283593207732565,22.149640355450956,627.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk2,HK100QB5311M2B242,3,2026-08-07T19:00:05.623,1786100405.475427,1786100405.475427,0.0,4,321.0978698730469,243.48960876464844,544.3942533852533,9,79,0.9753086419753086,576.0,574.4810126582279,6.197312816121466,0.3599414078904384,59.6412087231214,576.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk1,HK100QB6513M2B479,4,2026-08-07T19:00:05.750,1786100405.643161,1786100405.643161,0.0,4,356.55560302734375,216.7442626953125,481.44293212890625,9,79,0.9753086419753086,627.0,628.1645569620254,6.23972053069694,53.72222439967897,22.155281889937402,627.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk2,HK100QB5311M2B242,4,2026-08-07T19:00:05.825,1786100405.7064,1786100405.7064,0.0,4,321.15826416015625,243.49331665039062,544.1327615063637,9,77,0.9506172839506173,576.0,574.4675324675325,6.514325136885905,0.4488374575865794,59.64666646442412,576.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk1,HK100QB6513M2B479,5,2026-08-07T19:00:05.964,1786100405.809252,1786100405.809252,0.0,4,356.5677185058594,216.75070190429688,481.2955627441406,9,74,0.9135802469135802,628.0,628.9594594594595,5.763463544829665,53.826843271575086,22.200678552844792,628.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,far,ihawk2,HK100QB5311M2B242,5,2026-08-07T19:00:06.044,1786100405.912263,1786100405.912263,0.0,4,321.12298583984375,243.5226593017578,543.4547106400132,9,77,0.9506172839506173,573.0,572.3766233766233,7.147025441323127,0.39484306459224044,59.378972067678674,573.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
