experiment,phase,position,camera_id,serial,sample_index,wall_time_iso,color_stamp_s,depth_stamp_s,color_depth_dt_ms,marker_id,u_px,v_px,marker_area_px2,depth_patch_size,depth_valid_count,depth_valid_ratio,depth_median_raw,depth_mean_raw,depth_std_raw,x_cam_raw,y_cam_raw,z_cam_raw,fx,fy,cx,cy,color_frame_id,depth_frame_id
E0-A,formal,left,ihawk2,HK100QB5311M2B242,1,2026-08-07T18:49:15.829,1786099755.703711,1786099755.703711,0.0,4,373.1732177734375,341.0482482910156,1710.166085519828,9,81,1.0,414.0,413.71604938271605,3.175037668679045,55.35173568947461,146.0791193901966,414.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,1,2026-08-07T18:49:15.891,1786099755.738941,1786099755.713404,25.53701400756836,4,270.78997802734375,277.6170959472656,1004.1229063931387,9,81,1.0,490.0,490.4691358024691,5.452261961225557,-62.616107184346376,91.52748877057532,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,2,2026-08-07T18:49:16.029,1786099755.932178,1786099755.903723,28.455018997192383,4,373.14385986328125,341.0506591796875,1709.9429964553565,9,81,1.0,413.0,413.4691358024691,3.205801068972802,55.18705171464117,145.72881571053384,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,2,2026-08-07T18:49:16.106,1786099755.973322,1786099755.973322,0.0,4,270.8241882324219,277.67041015625,1000.7484246762469,9,81,1.0,490.0,490.48148148148147,5.424737576858237,-62.574384327901896,91.59248682260034,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,3,2026-08-07T18:49:16.261,1786099756.10371,1786099756.10371,0.0,4,373.11505126953125,341.02447509765625,1710.5234570940956,9,81,1.0,413.0,413.44444444444446,3.2171415884290826,55.15664732910771,145.70118121605532,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,3,2026-08-07T18:49:16.333,1786099756.203286,1786099756.203286,0.0,4,270.8343505859375,277.67218017578125,1001.4519522646442,9,81,1.0,490.0,490.5679012345679,5.398931078475021,-62.56199029472079,91.59464474304535,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,4,2026-08-07T18:49:16.490,1786099756.327326,1786099756.327326,0.0,4,373.1072082519531,341.00830078125,1703.9372283807024,9,81,1.0,413.0,413.39506172839504,3.2352705155275614,55.14836986397837,145.68411095722828,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,4,2026-08-07T18:49:16.568,1786099756.433286,1786099756.433286,0.0,4,270.80462646484375,277.6867980957031,1000.1290745523293,9,81,1.0,490.0,490.51851851851853,5.383101130183027,-62.59824191129254,91.61246618947924,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,5,2026-08-07T18:49:16.726,1786099756.593714,1786099756.593714,0.0,4,373.117919921875,341.0335693359375,1708.01797094848,9,81,1.0,413.0,413.5061728395062,3.094848367812725,55.15967488444685,145.7107792106411,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,5,2026-08-07T18:49:16.803,1786099756.662883,1786099756.662883,0.0,4,270.81707763671875,277.6378479003906,1000.4772394832689,9,81,1.0,490.0,490.5061728395062,5.397044229923735,-62.58305642919678,91.55278852751694,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,6,2026-08-07T18:49:16.958,1786099756.823754,1786099756.823754,0.0,4,373.17755126953125,341.02691650390625,1707.5034381407313,9,81,1.0,413.0,413.4938271604938,3.178535263254615,55.22260938585827,145.70375785889715,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,6,2026-08-07T18:49:17.035,1786099756.926879,1786099756.90328,23.598909378051758,4,270.8104553222656,277.64556884765625,1001.1067667598836,9,81,1.0,490.0,490.4567901234568,5.408441047834509,-62.591133021389865,91.56220152532022,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,7,2026-08-07T18:49:17.194,1786099757.053226,1786099757.053226,0.0,4,373.1915588378906,341.07183837890625,1706.6662892280146,9,81,1.0,413.0,413.5432098765432,3.1939371577883673,55.237392874163206,145.7511680871866,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,7,2026-08-07T18:49:17.269,1786099757.12511,1786099757.12511,0.0,4,270.8125915527344,277.65374755859375,1000.4774992135353,9,81,1.0,490.0,490.60493827160496,5.409896053404536,-62.588527669069514,91.57217260599721,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,8,2026-08-07T18:49:17.419,1786099757.317245,1786099757.29372,23.524999618530273,4,373.1566162109375,341.0042419433594,1707.9064128249884,9,81,1.0,413.0,413.4938271604938,3.2059454798472613,55.20051467348968,145.67982728850376,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,8,2026-08-07T18:49:17.498,1786099757.363234,1786099757.363234,0.0,4,270.8211364746094,277.6270446777344,1000.4140765804332,9,81,1.0,490.0,490.51851851851853,5.403959453750351,-62.578106259788115,91.53961777169734,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,9,2026-08-07T18:49:17.647,1786099757.54854,1786099757.523701,24.839162826538086,4,373.2047424316406,341.083740234375,1704.2646133797243,9,81,1.0,413.0,413.55555555555554,3.1304951684997055,55.25130674550903,145.76372922104048,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk1,HK100QB6513M2B479,9,2026-08-07T18:49:17.723,1786099757.586841,1786099757.586841,0.0,4,270.8000183105469,277.6259460449219,998.6598017527722,9,81,1.0,490.0,490.679012345679,5.479112976782435,-62.60386202844072,91.53827837280042,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,left,ihawk2,HK100QB5311M2B242,10,2026-08-07T18:49:17.865,1786099757.779354,1786099757.753705,25.649070739746094,4,373.14117431640625,340.98370361328125,1707.3492921837606,9,81,1.0,414.0,413.58024691358025,3.1696379822105243,55.31783536733966,146.0108344556105,414.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
