frame_index,timestamp,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_raw_px,v_raw_px,u_undist_px,v_undist_px
1,2026-08-07T21:26:55.598,0,0,0,0.0,0.0,231.79759216308594,249.42042541503906,231.79759216308594,249.42042541503906
1,2026-08-07T21:26:55.598,1,1,0,25.0,0.0,246.7076416015625,244.0627899169922,246.7076416015625,244.0627899169922
1,2026-08-07T21:26:55.598,2,2,0,50.0,0.0,260.8312072753906,238.80740356445312,260.8312072753906,238.80740356445312
1,2026-08-07T21:26:55.598,3,3,0,75.0,0.0,274.7191162109375,234.4805145263672,274.7191162109375,234.4805145263672
1,2026-08-07T21:26:55.598,4,4,0,100.0,0.0,287.4833068847656,229.3373260498047,287.4833068847656,229.3373260498047
1,2026-08-07T21:26:55.598,5,5,0,125.0,0.0,300.5574035644531,225.04910278320312,300.5574035644531,225.04910278320312
1,2026-08-07T21:26:55.598,6,0,1,0.0,25.0,239.1602020263672,257.6365966796875,239.1602020263672,257.6365966796875
1,2026-08-07T21:26:55.598,7,1,1,25.0,25.0,254.34512329101562,251.9346160888672,254.34512329101562,251.9346160888672
1,2026-08-07T21:26:55.598,8,2,1,50.0,25.0,268.9188537597656,246.51455688476562,268.9188537597656,246.51455688476562
1,2026-08-07T21:26:55.598,9,3,1,75.0,25.0,282.7622375488281,241.5706024169922,282.7622375488281,241.5706024169922
1,2026-08-07T21:26:55.598,10,4,1,100.0,25.0,295.9826965332031,236.66224670410156,295.9826965332031,236.66224670410156
1,2026-08-07T21:26:55.598,11,5,1,125.0,25.0,309.18792724609375,231.70420837402344,309.18792724609375,231.70420837402344
1,2026-08-07T21:26:55.598,12,0,2,0.0,50.0,246.84707641601562,266.3711242675781,246.84707641601562,266.3711242675781
1,2026-08-07T21:26:55.598,13,1,2,25.0,50.0,262.17279052734375,260.28485107421875,262.17279052734375,260.28485107421875
1,2026-08-07T21:26:55.598,14,2,2,50.0,50.0,276.9285583496094,254.50131225585938,276.9285583496094,254.50131225585938
1,2026-08-07T21:26:55.598,15,3,2,75.0,50.0,291.0146484375,249.05184936523438,291.0146484375,249.05184936523438
1,2026-08-07T21:26:55.598,16,4,2,100.0,50.0,304.5956726074219,243.97145080566406,304.5956726074219,243.97145080566406
1,2026-08-07T21:26:55.598,17,5,2,125.0,50.0,317.58587646484375,238.67466735839844,317.58587646484375,238.67466735839844
1,2026-08-07T21:26:55.598,18,0,3,0.0,75.0,254.88267517089844,275.4347229003906,254.88267517089844,275.4347229003906
1,2026-08-07T21:26:55.598,19,1,3,25.0,75.0,270.46087646484375,268.89215087890625,270.46087646484375,268.89215087890625
1,2026-08-07T21:26:55.598,20,2,3,50.0,75.0,285.5673522949219,262.83270263671875,285.5673522949219,262.83270263671875
1,2026-08-07T21:26:55.598,21,3,3,75.0,75.0,299.9398193359375,257.1268005371094,299.9398193359375,257.1268005371094
1,2026-08-07T21:26:55.598,22,4,3,100.0,75.0,313.61968994140625,251.58717346191406,313.61968994140625,251.58717346191406
1,2026-08-07T21:26:55.598,23,5,3,125.0,75.0,327.0856018066406,245.8599853515625,327.0856018066406,245.8599853515625
1,2026-08-07T21:26:55.598,24,0,4,0.0,100.0,263.5995178222656,285.399169921875,263.5995178222656,285.399169921875
1,2026-08-07T21:26:55.598,25,1,4,25.0,100.0,279.4432067871094,278.36181640625,279.4432067871094,278.36181640625
1,2026-08-07T21:26:55.598,26,2,4,50.0,100.0,294.8258972167969,271.8966064453125,294.8258972167969,271.8966064453125
1,2026-08-07T21:26:55.598,27,3,4,75.0,100.0,309.4297790527344,265.7703552246094,309.4297790527344,265.7703552246094
1,2026-08-07T21:26:55.598,28,4,4,100.0,100.0,323.29376220703125,259.7029113769531,323.29376220703125,259.7029113769531
1,2026-08-07T21:26:55.598,29,5,4,125.0,100.0,336.5711364746094,253.46246337890625,336.5711364746094,253.46246337890625
1,2026-08-07T21:26:55.598,30,0,5,0.0,125.0,272.90472412109375,295.7651672363281,272.90472412109375,295.7651672363281
1,2026-08-07T21:26:55.598,31,1,5,25.0,125.0,288.9774475097656,288.485107421875,288.9774475097656,288.485107421875
1,2026-08-07T21:26:55.598,32,2,5,50.0,125.0,304.7353210449219,281.614501953125,304.7353210449219,281.614501953125
1,2026-08-07T21:26:55.598,33,3,5,75.0,125.0,319.38702392578125,274.8686828613281,319.38702392578125,274.8686828613281
1,2026-08-07T21:26:55.598,34,4,5,100.0,125.0,333.41375732421875,268.27593994140625,333.41375732421875,268.27593994140625
