run_id,capture_time_host,height_step_index,height_gt_mm,placement_index,board_center_gt_x_mm,board_center_gt_y_mm,board_rotation_gt_deg,marker_local_x_mm,marker_local_y_mm,marker_gt_x_mm,marker_gt_y_mm,frame_index,camera_id,camera_role,color_stamp_sec,other_camera_color_stamp_sec,pair_delta_ms,pair_sync_valid,marker_id,board_position,board_gt_z_mm,detection_valid,center_u_raw_px,center_v_raw_px,center_u_undist_px,center_v_undist_px,corner0_u_raw_px,corner0_v_raw_px,corner1_u_raw_px,corner1_v_raw_px,corner2_u_raw_px,corner2_v_raw_px,corner3_u_raw_px,corner3_v_raw_px,corner0_u_undist_px,corner0_v_undist_px,corner1_u_undist_px,corner1_v_undist_px,corner2_u_undist_px,corner2_v_undist_px,corner3_u_undist_px,corner3_v_undist_px,pnp_valid,pnp_method,pnp_tx_camera_mm,pnp_ty_camera_mm,pnp_tz_camera_mm,pnp_rvec_x,pnp_rvec_y,pnp_rvec_z,pnp_reprojection_rmse_px,depth_available,depth_stamp_sec,color_depth_delta_ms,depth_encoding,depth_center_roi_raw_median,depth_center_roi_valid_pixels,depth_center_roi_status,color_image_relpath,depth_image_relpath
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,-80.000000,123.500000,-80.000000,123.500000,1,ihawk1,primary,1786169589.737853050,1786169589.746288061,8.435011,1,0,TL,0.000000,1,225.357357,226.386238,225.357357,226.386238,205.447128,224.131973,232.798004,215.650620,245.695038,228.189484,217.489258,237.572876,205.447128,224.131973,232.798004,215.650620,245.695038,228.189484,217.489258,237.572876,1,IPPE_SQUARE,-162.590481,39.659299,675.763982,1.993636334,-0.638588476,0.403646753,0.032344,1,1786169589.737853050,0.000000,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,80.000000,123.500000,80.000000,123.500000,1,ihawk1,primary,1786169589.737853050,1786169589.746288061,8.435011,1,1,TR,0.000000,1,296.609192,203.641521,296.609192,203.641521,277.797577,201.600937,302.000000,196.000000,314.369263,204.573944,292.269928,212.391205,277.797577,201.600937,302.000000,196.000000,314.369263,204.573944,292.269928,212.391205,1,IPPE_SQUARE,-47.512451,2.373723,748.933739,-1.962218825,0.514226502,0.233994223,0.770565,1,1786169589.737853050,0.000000,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,-80.000000,-123.500000,-80.000000,-123.500000,1,ihawk1,primary,1786169589.737853050,1786169589.746288061,8.435011,1,2,BL,0.000000,1,300.489166,304.892502,300.489166,304.892502,273.721375,301.216522,305.651703,286.022430,327.755341,307.648041,294.828247,324.683014,273.721375,301.216522,305.651703,286.022430,327.755341,307.648041,294.828247,324.683014,1,IPPE_SQUARE,-27.761685,130.766333,516.457694,2.004303828,-0.649531252,0.399380217,0.101317,1,1786169589.737853050,0.000000,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,80.000000,-123.500000,80.000000,-123.500000,1,ihawk1,primary,1786169589.737853050,1786169589.746288061,8.435011,1,3,BR,0.000000,1,381.416885,265.727589,381.416885,265.727589,357.032654,262.709595,381.699005,251.169724,405.900604,267.805420,381.035278,281.225616,357.032654,262.709595,381.699005,251.169724,405.900604,267.805420,381.035278,281.225616,1,IPPE_SQUARE,86.204126,91.372055,584.931823,2.003836246,-0.654403807,0.411809925,0.096507,1,1786169589.737853050,0.000000,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,ihawk1,primary,1786169589.737853050,1786169589.746288061,8.435011,1,4,C,0.000000,1,296.848579,244.748043,296.848579,244.748043,272.000000,242.000000,302.451691,232.573532,319.897522,246.821228,293.045105,257.597412,272.000000,242.000000,302.451691,232.573532,319.897522,246.821228,293.045105,257.597412,1,IPPE_SQUARE,-36.606507,61.635090,582.715399,-2.149631730,0.616775810,0.260799874,0.887899,1,1786169589.737853050,0.000000,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,-80.000000,123.500000,-80.000000,123.500000,1,ihawk2,secondary,1786169589.746288061,1786169589.737853050,8.435011,1,0,TL,0.000000,1,191.933868,349.921898,191.933868,349.921898,162.864426,367.276764,177.124207,332.616119,218.837677,332.856689,208.909164,366.938019,162.864426,367.276764,177.124207,332.616119,218.837677,332.856689,208.909164,366.938019,1,IPPE_SQUARE,-147.865287,167.995626,449.964140,1.550444577,-1.558965130,0.969617065,0.125205,1,1786169589.716305017,29.983044,mono16,,0,alignment_not_asserted,raw/frames/ihawk2/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk2/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,80.000000,123.500000,80.000000,123.500000,1,ihawk2,secondary,1786169589.746288061,1786169589.737853050,8.435011,1,1,TR,0.000000,1,218.508358,273.676331,218.508358,273.676331,196.999969,284.379425,205.532440,263.300232,238.757782,262.706757,232.743240,284.318909,196.999969,284.379425,205.532440,263.300232,238.757782,262.706757,232.743240,284.318909,1,IPPE_SQUARE,-149.060249,102.530816,570.805961,1.543055654,-1.570832465,0.954590051,0.155200,1,1786169589.716305017,29.983044,mono16,,0,alignment_not_asserted,raw/frames/ihawk2/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk2/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,-80.000000,-123.500000,-80.000000,-123.500000,1,ihawk2,secondary,1786169589.746288061,1786169589.737853050,8.435011,1,2,BL,0.000000,1,392.097893,348.883369,392.097893,348.883369,372.962189,366.189392,367.675140,331.982788,409.009155,331.684509,418.745087,365.676788,372.962189,366.189392,367.675140,331.982788,409.009155,331.684509,418.745087,365.676788,1,IPPE_SQUARE,81.651360,166.668746,449.596375,1.537155375,-1.554403638,0.954801385,0.048844,1,1786169589.716305017,29.983044,mono16,,0,alignment_not_asserted,raw/frames/ihawk2/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk2/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,80.000000,-123.500000,80.000000,-123.500000,1,ihawk2,secondary,1786169589.746288061,1786169589.737853050,8.435011,1,3,BR,0.000000,1,375.431038,272.804352,375.431038,272.804352,360.034668,283.647064,356.785034,262.325623,389.462677,261.802948,395.441772,283.441772,360.034668,283.647064,356.785034,262.325623,389.462677,261.802948,395.441772,283.441772,1,IPPE_SQUARE,80.049538,101.975076,574.816919,1.552098248,-1.575367566,0.936701661,0.096550,1,1786169589.716305017,29.983044,mono16,,0,alignment_not_asserted,raw/frames/ihawk2/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk2/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:09.859,1,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,ihawk2,secondary,1786169589.746288061,1786169589.737853050,8.435011,1,4,C,0.000000,1,295.152985,306.648308,295.152985,306.648308,274.238922,319.655518,277.682434,293.800415,314.352356,293.596741,314.338226,319.540558,274.238922,319.655518,277.682434,293.800415,314.352356,293.596741,314.338226,319.540558,1,IPPE_SQUARE,-33.503919,134.689946,511.182479,1.530992852,-1.546002302,0.972643223,0.038042,1,1786169589.716305017,29.983044,mono16,,0,alignment_not_asserted,raw/frames/ihawk2/h_p000p000mm/frame_0001_color.png,raw/frames/ihawk2/h_p000p000mm/frame_0001_depth.png
20260808_141232,2026-08-08T14:13:10.016,1,0.000000,1,0.000000,0.000000,0.000000,-80.000000,123.500000,-80.000000,123.500000,2,ihawk1,primary,1786169589.768174887,1786169589.786307096,18.132210,1,0,TL,0.000000,1,225.353600,226.417057,225.353600,226.417057,205.448380,224.113098,232.730850,215.720337,245.739075,228.259125,217.496094,237.575668,205.448380,224.113098,232.730850,215.720337,245.739075,228.259125,217.496094,237.575668,1,IPPE_SQUARE,-162.606209,39.714695,675.811773,1.992855058,-0.638007632,0.409430513,0.011423,1,1786169589.737853050,30.321836,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0002_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0002_depth.png
20260808_141232,2026-08-08T14:13:10.016,1,0.000000,1,0.000000,0.000000,0.000000,80.000000,123.500000,80.000000,123.500000,2,ihawk1,primary,1786169589.768174887,1786169589.786307096,18.132210,1,1,TR,0.000000,1,296.606544,203.639771,296.606544,203.639771,277.797485,201.600845,302.000000,196.000000,314.353729,204.567795,292.274963,212.390442,277.797485,201.600845,302.000000,196.000000,314.353729,204.567795,292.274963,212.390442,1,IPPE_SQUARE,-47.536529,2.371204,749.235830,-1.962306791,0.514391232,0.233783044,0.773852,1,1786169589.737853050,30.321836,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0002_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0002_depth.png
20260808_141232,2026-08-08T14:13:10.016,1,0.000000,1,0.000000,0.000000,0.000000,-80.000000,-123.500000,-80.000000,-123.500000,2,ihawk1,primary,1786169589.768174887,1786169589.786307096,18.132210,1,2,BL,0.000000,1,300.515198,304.886871,300.515198,304.886871,273.721588,301.216248,305.746887,286.029480,327.782074,307.652466,294.810242,324.649292,273.721588,301.216248,305.746887,286.029480,327.782074,307.652466,294.810242,324.649292,1,IPPE_SQUARE,-27.704537,130.642540,515.999991,2.002652656,-0.647874335,0.396965405,0.113939,1,1786169589.737853050,30.321836,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0002_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0002_depth.png
20260808_141232,2026-08-08T14:13:10.016,1,0.000000,1,0.000000,0.000000,0.000000,80.000000,-123.500000,80.000000,-123.500000,2,ihawk1,primary,1786169589.768174887,1786169589.786307096,18.132210,1,3,BR,0.000000,1,381.399803,265.673046,381.399803,265.673046,357.036591,262.702942,381.689545,251.173630,405.738434,267.631714,381.134644,281.183899,357.036591,262.702942,381.689545,251.173630,405.738434,267.631714,381.134644,281.183899,1,IPPE_SQUARE,86.477627,91.612748,586.959442,2.003383215,-0.658159929,0.410577963,0.160821,1,1786169589.737853050,30.321836,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0002_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0002_depth.png
20260808_141232,2026-08-08T14:13:10.016,1,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,ihawk1,primary,1786169589.768174887,1786169589.786307096,18.132210,1,4,C,0.000000,1,297.877960,244.783180,297.877960,244.783180,276.101959,242.127777,302.517700,232.605255,319.915649,246.823151,292.976532,257.576538,276.101959,242.127777,302.517700,232.605255,319.915649,246.823151,292.976532,257.576538,1,IPPE_SQUARE,-38.262815,66.218519,634.743465,1.991520778,-0.631430610,0.400344827,0.067567,1,1786169589.737853050,30.321836,mono16,,0,alignment_not_asserted,raw/frames/ihawk1/h_p000p000mm/frame_0002_color.png,raw/frames/ihawk1/h_p000p000mm/frame_0002_depth.png
20260808_141232,2026-08-08T14:13:10.016,1,0.000000,1,0.000000,0.000000,0.000000,-80.000000,123.500000,-80.000000,123.500000,2,ihawk2,secondary,1786169589.786307096,1786169589.768174887,18.132210,1,0,TL,0.000000,1,191.950153,349.942757,191.950153,349.942757,162.868744,367.263794,177.145432,332.588348,218.877274,332.980865,208.909164,366.938019,162.868744,367.263794,177.145432,332.588348,218.877274,332.980865,208.909164,366.938019,1,IPPE_SQUARE,-147.848881,168.025455,449.977768,1.551104770,-1.556770592,0.972724744,0.162095,1,1786169589.716305017,70.002079,mono16,,0,alignment_not_asserted,raw/frames/ihawk2/h_p000p000mm/frame_0002_color.png,raw/frames/ihawk2/h_p000p000mm/frame_0002_depth.png
20260808_141232,2026-08-08T14:13:10.016,1,0.000000,1,0.000000,0.000000,0.000000,80.000000,123.500000,80.000000,123.500000,2,ihawk2,secondary,1786169589.786307096,1786169589.768174887,18.132210,1,1,TR,0.000000,1,218.515636,273.672112,218.515636,273.672112,196.999969,284.379425,205.549606,263.288422,238.773026,262.706665,232.739944,284.313934,196.999969,284.379425,205.549606,263.288422,238.773026,262.706665,232.739944,284.313934,1,IPPE_SQUARE,-149.040477,102.518176,570.770449,1.543277215,-1.570486179,0.954024831,0.150901,1,1786169589.716305017,70.002079,mono16,,0,alignment_not_asserted,raw/frames/ihawk2/h_p000p000mm/frame_0002_color.png,raw/frames/ihawk2/h_p000p000mm/frame_0002_depth.png
