run_id,height_gt_mm,retained_height_step_index,rows,ihawk1_rows,ihawk2_rows,detection_valid_rows,pnp_valid_rows,pair_sync_valid_rows,status
20260808_131913,0.0,1,30,15,15,30,30,30,PASS
20260808_131913,5.0,2,30,15,15,30,30,30,PASS
20260808_131913,10.0,15,30,15,15,30,30,30,PASS
20260808_131913,15.0,4,30,15,15,30,30,30,PASS
20260808_131913,20.0,5,30,15,15,30,30,30,PASS
20260808_131913,25.0,6,30,15,15,30,30,30,PASS
20260808_131913,30.0,7,30,15,15,30,30,30,PASS
20260808_131913,35.0,14,30,15,15,30,30,30,PASS
20260808_131913,40.0,10,30,15,15,30,30,30,PASS
20260808_131913,45.0,12,30,15,15,30,30,30,PASS
20260808_131913,50.0,13,30,15,15,30,30,30,PASS
20260808_141232,0.0,1,30,15,15,30,30,30,PASS
20260808_141232,5.0,2,30,15,15,30,30,30,PASS
20260808_141232,10.0,8,30,15,15,30,30,30,PASS
20260808_141232,15.0,9,30,15,15,30,30,30,PASS
20260808_141232,20.0,10,30,15,15,30,30,30,PASS
20260808_141232,25.0,11,30,15,15,30,30,30,PASS
20260808_141232,30.0,12,30,15,15,30,30,30,PASS
20260808_141232,35.0,16,30,15,15,30,30,30,PASS
20260808_141232,40.0,17,30,15,15,30,30,30,PASS
20260808_141232,45.0,20,30,15,15,30,30,30,PASS
20260808_141232,50.0,21,30,15,15,30,30,30,PASS
20260808_145501,0.0,1,30,15,15,30,30,30,PASS
20260808_145501,5.0,2,30,15,15,30,30,30,PASS
20260808_145501,10.0,3,30,15,15,30,30,30,PASS
20260808_145501,15.0,4,30,15,15,30,30,30,PASS
20260808_145501,20.0,5,30,15,15,30,30,30,PASS
20260808_145501,25.0,10,30,15,15,30,30,30,PASS
20260808_145501,30.0,12,30,15,15,30,30,30,PASS
20260808_145501,35.0,13,30,15,15,30,30,30,PASS
20260808_145501,40.0,14,30,15,15,30,30,30,PASS
20260808_145501,45.0,15,30,15,15,30,30,30,PASS
20260808_145501,50.0,16,30,15,15,30,30,30,PASS
20260808_151001,0.0,3,30,15,15,30,30,30,PASS
20260808_151001,5.0,6,30,15,15,30,30,30,PASS
20260808_151001,10.0,12,30,15,15,30,30,30,PASS
20260808_151001,15.0,13,30,15,15,30,30,30,PASS
20260808_151001,20.0,14,30,15,15,30,30,30,PASS
20260808_151001,25.0,15,30,15,15,30,30,30,PASS
20260808_151001,30.0,16,30,15,15,30,30,30,PASS
20260808_151001,35.0,18,30,15,15,30,30,30,PASS
20260808_151001,40.0,19,30,15,15,30,30,30,PASS
20260808_151001,45.0,20,30,15,15,30,30,30,PASS
20260808_151001,50.0,21,30,15,15,30,30,30,PASS
20260808_162715,0.0,7,30,15,15,30,30,30,PASS
20260808_162715,5.0,8,30,15,15,30,30,30,PASS
20260808_162715,10.0,9,30,15,15,30,30,30,PASS
20260808_162715,15.0,11,30,15,15,30,30,30,PASS
20260808_162715,20.0,12,30,15,15,30,30,30,PASS
20260808_162715,25.0,13,30,15,15,30,30,30,PASS
20260808_162715,30.0,14,30,15,15,30,30,30,PASS
20260808_162715,35.0,15,30,15,15,30,30,30,PASS
20260808_162715,40.0,16,30,15,15,30,30,30,PASS
20260808_162715,45.0,18,30,15,15,30,30,30,PASS
20260808_162715,50.0,20,30,15,15,30,30,30,PASS
