corner_index,board_col,board_row,board_x_mm,board_y_mm,u_undist_median_px,v_undist_median_px,u_undist_mean_px,v_undist_mean_px,n_frames
0,0,0,0.0,0.0,231.80699157714844,249.42506408691406,231.80303985595702,249.42605834960938,50
2,2,0,50.0,0.0,260.8468322753906,238.825927734375,260.84210083007815,238.82423400878906,50
4,4,0,100.0,0.0,287.49256896972656,229.35186767578125,287.4888677978516,229.36661163330078,50
5,5,0,125.0,0.0,300.5533142089844,225.06234741210938,300.55898010253907,225.06407379150392,50
6,0,1,0.0,25.0,239.16091918945312,257.6477966308594,239.15909454345703,257.64805419921873,50
7,1,1,25.0,25.0,254.33206176757812,251.9332275390625,254.3332196044922,251.9328225708008,50
8,2,1,50.0,25.0,268.9395446777344,246.52076721191406,268.93847412109375,246.5199609375,50
9,3,1,75.0,25.0,282.7714385986328,241.5723114013672,282.76951477050784,241.57277740478514,50
10,4,1,100.0,25.0,295.9626159667969,236.67150115966797,295.9612756347656,236.67041870117188,50
13,1,2,25.0,50.0,262.1682434082031,260.2814483642578,262.1711767578125,260.2824090576172,50
15,3,2,75.0,50.0,291.0152282714844,249.05162048339844,291.0169854736328,249.05124450683593,50
16,4,2,100.0,50.0,304.5956115722656,243.9715118408203,304.5968585205078,243.9707537841797,50
17,5,2,125.0,50.0,317.6033935546875,238.67313385009766,317.6059588623047,238.67176605224608,50
18,0,3,0.0,75.0,254.88031768798828,275.4424743652344,254.87785095214844,275.4413873291016,50
19,1,3,25.0,75.0,270.46966552734375,268.8876037597656,270.4748980712891,268.8886987304688,50
20,2,3,50.0,75.0,285.5663757324219,262.820068359375,285.5632501220703,262.81972534179687,50
21,3,3,75.0,75.0,299.9363555908203,257.1285095214844,299.9330810546875,257.1277490234375,50
23,5,3,125.0,75.0,327.05821228027344,245.8694610595703,327.0558721923828,245.8679736328125,50
24,0,4,0.0,100.0,263.58941650390625,285.3874206542969,263.59275817871094,285.38627258300784,50
26,2,4,50.0,100.0,294.8157653808594,271.894287109375,294.8155993652344,271.89449584960937,50
27,3,4,75.0,100.0,309.4462432861328,265.77197265625,309.44702209472655,265.7714501953125,50
28,4,4,100.0,100.0,323.2547912597656,259.6943054199219,323.259423828125,259.69482177734375,50
29,5,4,125.0,100.0,336.5635070800781,253.45867156982422,336.5615075683594,253.45798431396486,50
30,0,5,0.0,125.0,272.9045715332031,295.7793426513672,272.90610961914064,295.78039611816405,50
31,1,5,25.0,125.0,289.00128173828125,288.48399353027344,288.998837890625,288.4827020263672,50
32,2,5,50.0,125.0,304.7375946044922,281.62342834472656,304.7385028076172,281.62604370117185,50
34,4,5,100.0,125.0,333.4026794433594,268.28565979003906,333.4055126953125,268.2857550048828,50
37,1,6,25.0,150.0,299.1462707519531,299.0100555419922,299.1451403808594,299.01023376464843,50
38,2,6,50.0,150.0,315.092529296875,291.53961181640625,315.0937744140625,291.5397619628906,50
39,3,6,75.0,150.0,329.9949645996094,284.4437255859375,329.9961553955078,284.44275146484375,50
40,4,6,100.0,150.0,344.27281188964844,277.3101501464844,344.27406921386716,277.31063171386717,50
41,5,6,125.0,150.0,357.9084167480469,270.3205261230469,357.91110961914063,270.3204675292969,50
42,0,7,0.0,175.0,293.22637939453125,318.2282409667969,293.2280578613281,318.2291925048828,50
43,1,7,25.0,175.0,310.14788818359375,310.045654296875,310.1485845947266,310.04447692871094,50
45,3,7,75.0,175.0,341.5081787109375,294.6528625488281,341.51178100585935,294.64821166992186,50
47,5,7,125.0,175.0,369.9309844970703,279.62353515625,369.92871520996096,279.62492431640624,50
