subset_id,n_points,distribution,trial_index,point_order,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_undist_median_px,v_undist_median_px
N04_spread_T001,4,spread,1,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T001,4,spread,1,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T001,4,spread,1,3,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T001,4,spread,1,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T002,4,spread,2,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T002,4,spread,2,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T002,4,spread,2,3,30,0,5,0.0,125.0,272.9045715332031,295.7793426513672
N04_spread_T002,4,spread,2,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T003,4,spread,3,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T003,4,spread,3,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T003,4,spread,3,3,37,1,6,25.0,150.0,299.1462707519531,299.0100555419922
N04_spread_T003,4,spread,3,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T004,4,spread,4,1,2,2,0,50.0,0.0,260.8468322753906,238.825927734375
N04_spread_T004,4,spread,4,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T004,4,spread,4,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T004,4,spread,4,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T005,4,spread,5,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T005,4,spread,5,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T005,4,spread,5,3,29,5,4,125.0,100.0,336.5635070800781,253.45867156982422
N04_spread_T005,4,spread,5,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T006,4,spread,6,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T006,4,spread,6,2,23,5,3,125.0,75.0,327.05821228027344,245.8694610595703
N04_spread_T006,4,spread,6,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T006,4,spread,6,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T007,4,spread,7,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T007,4,spread,7,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T007,4,spread,7,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T007,4,spread,7,4,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T008,4,spread,8,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T008,4,spread,8,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T008,4,spread,8,3,37,1,6,25.0,150.0,299.1462707519531,299.0100555419922
N04_spread_T008,4,spread,8,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T009,4,spread,9,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T009,4,spread,9,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T009,4,spread,9,3,31,1,5,25.0,125.0,289.00128173828125,288.48399353027344
N04_spread_T009,4,spread,9,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T010,4,spread,10,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T010,4,spread,10,2,7,1,1,25.0,25.0,254.33206176757812,251.9332275390625
N04_spread_T010,4,spread,10,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T010,4,spread,10,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T011,4,spread,11,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T011,4,spread,11,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T011,4,spread,11,3,39,3,6,75.0,150.0,329.9949645996094,284.4437255859375
N04_spread_T011,4,spread,11,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T012,4,spread,12,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T012,4,spread,12,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T012,4,spread,12,3,29,5,4,125.0,100.0,336.5635070800781,253.45867156982422
N04_spread_T012,4,spread,12,4,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T013,4,spread,13,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
