subset_id,n_points,distribution,trial_index,global_trial_id,spread_score,hull_area_mm2,hull_coverage,mean_pairwise_distance_mm,corner_indices,grid_col_row
N04_spread_T001,4,spread,1,1,0.8349312985509718,19687.5,0.9,165.5652117800277,0;5;43;47,"0,0;5,0;1,7;5,7"
N04_spread_T002,4,spread,2,2,0.7972562192587132,18750.0,0.8571428571428571,158.57732452517754,0;5;30;47,"0,0;5,0;0,5;5,7"
N04_spread_T003,4,spread,3,3,0.7825901629246059,18125.0,0.8285714285714286,158.41373322452702,0;5;37;47,"0,0;5,0;1,6;5,7"
N04_spread_T004,4,spread,4,4,0.7729438171955867,17500.0,0.8,160.40920109244607,2;5;42;47,"2,0;5,0;0,7;5,7"
N04_spread_T005,4,spread,5,5,0.7497025330646896,17187.5,0.7857142857142857,153.48500583050324,0;5;29;42,"0,0;5,0;5,4;0,7"
N04_spread_T006,4,spread,6,6,0.7497025330646896,17187.5,0.7857142857142857,153.48500583050324,0;23;42;47,"0,0;5,3;0,7;5,7"
N04_spread_T007,4,spread,7,7,0.7458451635232468,17187.5,0.7857142857142857,151.82588845696952,5;6;41;43,"5,0;0,1;5,6;1,7"
N04_spread_T008,4,spread,8,8,0.7377750730736625,16875.0,0.7714285714285715,151.4270703318244,5;6;37;47,"5,0;0,1;1,6;5,7"
N04_spread_T009,4,spread,9,9,0.7329000920201431,16562.5,0.7571428571428571,152.402520721116,0;5;31;47,"0,0;5,0;1,5;5,7"
N04_spread_T010,4,spread,10,10,0.7303206751103937,16562.5,0.7571428571428571,151.29307155826726,5;7;41;42,"5,0;1,1;5,6;0,7"
N04_spread_T011,4,spread,11,11,0.7207529197383473,15937.5,0.7285714285714285,153.32234241686305,0;5;39;42,"0,0;5,0;3,6;0,7"
N04_spread_T012,4,spread,12,12,0.7085380791447902,15937.5,0.7285714285714285,148.06854082332032,0;5;29;43,"0,0;5,0;5,4;1,7"
N04_spread_T013,4,spread,13,13,0.7043009441217523,15625.0,0.7142857142857143,149.31833916383655,0;29;42;47,"0,0;5,4;0,7;5,7"
N04_spread_T014,4,spread,14,14,0.6997173691937857,15625.0,0.7142857142857143,147.34686904302507,5;18;41;42,"5,0;0,3;5,6;0,7"
N04_spread_T015,4,spread,15,15,0.6981708707257039,15625.0,0.7142857142857143,146.68169490065392,0;17;30;47,"0,0;5,2;0,5;5,7"
N04_spread_T016,4,spread,16,16,0.6975870997441316,15625.0,0.7142857142857143,146.43060550740663,5;6;24;47,"5,0;0,1;0,4;5,7"
N04_spread_T017,4,spread,17,17,0.6912389440350111,15625.0,0.7142857142857143,143.70016049462222,7;17;42;47,"1,1;5,2;0,7;5,7"
N04_spread_T018,4,spread,18,18,0.6911631008909844,15625.0,0.7142857142857143,143.66753912491262,5;6;37;41,"5,0;0,1;1,6;5,6"
N04_spread_T019,4,spread,19,19,0.6870475528213242,15312.5,0.7,144.9696339914881,0;17;41;43,"0,0;5,2;5,6;1,7"
N04_spread_T020,4,spread,20,20,0.6842475953672105,15000.0,0.6857142857142857,146.83758577772355,4;13;42;47,"4,0;1,2;0,7;5,7"
N04_spread_T021,4,spread,21,21,0.6835103431806464,15000.0,0.6857142857142857,146.5204816220904,0;9;41;42,"0,0;3,1;5,6;0,7"
N04_spread_T022,4,spread,22,22,0.6835103431806464,15000.0,0.6857142857142857,146.5204816220904,5;6;38;47,"5,0;0,1;2,6;5,7"
N04_spread_T023,4,spread,23,23,0.683474341615754,15000.0,0.6857142857142857,146.5049967635241,0;23;43;47,"0,0;5,3;1,7;5,7"
N04_spread_T024,4,spread,24,24,0.683465057520241,14687.5,0.6714285714285714,149.5732625469972,0;2;41;42,"0,0;2,0;5,6;0,7"
N04_spread_T025,4,spread,25,25,0.6831963053544545,15312.5,0.7,143.31314982179376,0;4;30;41,"0,0;4,0;0,5;5,6"
N04_spread_T026,4,spread,26,26,0.6813074732054595,15000.0,0.6857142857142857,145.5729914197124,5;13;43;47,"5,0;1,2;1,7;5,7"
N04_spread_T027,4,spread,27,27,0.6812283914673112,15000.0,0.6857142857142857,145.53897707800067,5;13;41;42,"5,0;1,2;5,6;0,7"
N04_spread_T028,4,spread,28,28,0.6812283914673112,15000.0,0.6857142857142857,145.53897707800067,5;6;34;42,"5,0;0,1;4,5;0,7"
N04_spread_T029,4,spread,29,29,0.6803919357484896,15000.0,0.6857142857142857,145.1792038697616,0;5;38;41,"0,0;5,0;2,6;5,6"
N04_spread_T030,4,spread,30,30,0.6788513613998539,15000.0,0.6857142857142857,144.51657778751027,0;4;37;41,"0,0;4,0;1,6;5,6"
N04_spread_T031,4,spread,31,31,0.6788513613998539,15000.0,0.6857142857142857,144.51657778751027,6;10;43;47,"0,1;4,1;1,7;5,7"
N04_spread_T032,4,spread,32,32,0.6787006045266821,15000.0,0.6857142857142857,144.451734804547,0;10;40;42,"0,0;4,1;4,6;0,7"
N04_spread_T033,4,spread,33,33,0.6779189729315985,15000.0,0.6857142857142857,144.11554234355165,7;10;42;47,"1,1;4,1;0,7;5,7"
N04_spread_T034,4,spread,34,34,0.6717343927004746,14375.0,0.6571428571428571,147.59997185202675,0;15;42;47,"0,0;3,2;0,7;5,7"
N04_spread_T035,4,spread,35,35,0.6710996866548775,14687.5,0.6714285714285714,144.25471543542378,0;5;23;43,"0,0;5,0;5,3;1,7"
N04_spread_T036,4,spread,36,36,0.6703297031297093,14687.5,0.6714285714285714,143.92353299873568,0;5;24;45,"0,0;5,0;0,4;3,7"
N04_spread_T037,4,spread,37,37,0.6682017636895393,14687.5,0.6714285714285714,143.00827163809015,0;23;42;45,"0,0;5,3;0,7;3,7"
N04_spread_T038,4,spread,38,38,0.667944240816797,14375.0,0.6571428571428571,145.96976588628235,0;10;42;45,"0,0;4,1;0,7;3,7"
N04_spread_T039,4,spread,39,39,0.6601415940985209,14062.5,0.6428571428571429,145.6859796595044,2;5;41;43,"2,0;5,0;5,6;1,7"
N04_spread_T040,4,spread,40,40,0.6601415940985209,14062.5,0.6428571428571429,145.6859796595044,4;6;42;45,"4,0;0,1;0,7;3,7"
N04_spread_T041,4,spread,41,41,0.6580375515137629,13750.0,0.6285714285714286,147.85325574895833,0;9;43;47,"0,0;3,1;1,7;5,7"
N04_spread_T042,4,spread,42,42,0.6553296104378794,14375.0,0.6571428571428571,140.54400820413403,5;7;24;47,"5,0;1,1;0,4;5,7"
N04_spread_T043,4,spread,43,43,0.6546182232284032,14062.5,0.6428571428571429,143.3102880197414,5;6;41;45,"5,0;0,1;5,6;3,7"
N04_spread_T044,4,spread,44,44,0.6546182232284032,14062.5,0.6428571428571429,143.3102880197414,2;6;41;42,"2,0;0,1;5,6;0,7"
N04_spread_T045,4,spread,45,45,0.6522326121901543,13125.0,0.6,151.50097498598953,0;2;43;47,"0,0;2,0;1,7;5,7"
N04_spread_T046,4,spread,46,46,0.6521855108011942,14062.5,0.6428571428571429,142.26393884073994,5;6;18;47,"5,0;0,1;0,3;5,7"
N04_spread_T047,4,spread,47,47,0.6498908029264914,14375.0,0.6571428571428571,138.20468864024429,0;5;24;40,"0,0;5,0;0,4;4,6"
N04_spread_T048,4,spread,48,48,0.6458928822578256,14062.5,0.6428571428571429,139.55737696500327,0;17;34;42,"0,0;5,2;4,5;0,7"
N04_spread_T049,4,spread,49,49,0.6436617567640492,14062.5,0.6428571428571429,138.59773360455054,6;9;41;42,"0,1;3,1;5,6;0,7"
N04_spread_T050,4,spread,50,50,0.6423242291254287,14062.5,0.6428571428571429,138.02244121449687,0;17;30;41,"0,0;5,2;0,5;5,6"
N04_spread_T051,4,spread,51,51,0.6405939503856288,13437.5,0.6142857142857143,143.4227382362641,0;28;42;47,"0,0;4,4;0,7;5,7"
N04_spread_T052,4,spread,52,52,0.6389694562207988,14062.5,0.6428571428571429,136.57949882836246,5;6;30;40,"5,0;0,1;0,5;4,6"
N04_spread_T053,4,spread,53,53,0.6389694562207988,14062.5,0.6428571428571429,136.57949882836246,6;17;41;43,"0,1;5,2;5,6;1,7"
N04_spread_T054,4,spread,54,54,0.6389694562207988,14062.5,0.6428571428571429,136.57949882836246,7;17;41;42,"1,1;5,2;5,6;0,7"
N04_spread_T055,4,spread,55,55,0.6387048942318795,13437.5,0.6142857142857143,142.61022446215105,0;5;31;45,"0,0;5,0;1,5;3,7"
N04_spread_T056,4,spread,56,56,0.6387048942318794,13437.5,0.6142857142857143,142.61022446215102,2;16;42;47,"2,0;4,2;0,7;5,7"
N04_spread_T057,4,spread,57,57,0.637011959266269,13750.0,0.6285714285714286,138.8098065767007,4;6;34;42,"4,0;0,1;4,5;0,7"
N04_spread_T058,4,spread,58,58,0.6359959044383189,13750.0,0.6285714285714286,138.37278487074192,0;16;40;42,"0,0;4,2;4,6;0,7"
N04_spread_T059,4,spread,59,59,0.6355865962438126,13437.5,0.6142857142857143,141.2689937835053,0;5;29;45,"0,0;5,0;5,4;3,7"
N04_spread_T060,4,spread,60,60,0.6348105647707187,13437.5,0.6142857142857143,140.93521002605448,5;6;28;42,"5,0;0,1;4,4;0,7"
N04_spread_T061,4,spread,61,61,0.6330154581890985,13437.5,0.6142857142857143,140.1631054908492,0;23;37;47,"0,0;5,3;1,6;5,7"
N04_spread_T062,4,spread,62,62,0.6330154581890985,13437.5,0.6142857142857143,140.1631054908492,5;18;40;42,"5,0;0,3;4,6;0,7"
N04_spread_T063,4,spread,63,63,0.6325398841980486,13437.5,0.6142857142857143,139.95855338287134,2;5;31;47,"2,0;5,0;1,5;5,7"
N04_spread_T064,4,spread,64,64,0.6325398841980486,13437.5,0.6142857142857143,139.95855338287134,0;16;42;45,"0,0;4,2;0,7;3,7"
N04_spread_T065,4,spread,65,65,0.632235632458503,13437.5,0.6142857142857143,139.82768976153957,0;17;31;47,"0,0;5,2;1,5;5,7"
N04_spread_T066,4,spread,66,66,0.6319154205991646,13750.0,0.6285714285714286,136.6177024091761,0;10;30;41,"0,0;4,1;0,5;5,6"
N04_spread_T067,4,spread,67,67,0.631422180277089,13750.0,0.6285714285714286,136.40555172491037,0;4;30;40,"0,0;4,0;0,5;4,6"
N04_spread_T068,4,spread,68,68,0.6278474896626951,13125.0,0.6,141.01253720309492,0;5;39;41,"0,0;5,0;3,6;5,6"
N04_spread_T069,4,spread,69,69,0.6263016138114779,13437.5,0.6142857142857143,137.27537183441925,6;16;43;47,"0,1;4,2;1,7;5,7"
N04_spread_T070,4,spread,70,70,0.6252973149797292,12812.5,0.5857142857142857,142.9879246215062,0;21;42;47,"0,0;3,3;0,7;5,7"
N04_spread_T071,4,spread,71,71,0.6228451155114212,13125.0,0.6,138.86093472525968,7;9;42;47,"1,1;3,1;0,7;5,7"
N04_spread_T072,4,spread,72,72,0.6228451155114212,13125.0,0.6,138.86093472525968,0;5;38;40,"0,0;5,0;2,6;4,6"
N04_spread_T073,4,spread,73,73,0.6226231304614027,13125.0,0.6,138.7654553450257,0;9;40;42,"0,0;3,1;4,6;0,7"
N04_spread_T074,4,spread,74,74,0.6226231304614027,13125.0,0.6,138.7654553450257,5;8;37;47,"5,0;2,1;1,6;5,7"
N04_spread_T075,4,spread,75,75,0.6197010497088469,13125.0,0.6,137.5086208905232,7;10;43;47,"1,1;4,1;1,7;5,7"
N04_spread_T076,4,spread,76,76,0.6194489460867083,12812.5,0.5857142857142857,140.4724460465352,5;18;42;45,"5,0;0,3;0,7;3,7"
N04_spread_T077,4,spread,77,77,0.6193494781418316,12500.0,0.5714285714285714,143.50192228970536,4;17;42;47,"4,0;5,2;0,7;5,7"
N04_spread_T078,4,spread,78,78,0.61869554449777,12812.5,0.5857142857142857,140.14839577029753,5;6;39;43,"5,0;0,1;3,6;1,7"
N04_spread_T079,4,spread,79,79,0.6177857078171272,13125.0,0.6,136.68480119301492,0;29;40;42,"0,0;5,4;4,6;0,7"
N04_spread_T080,4,spread,80,80,0.6177857078171272,13125.0,0.6,136.68480119301492,5;7;18;47,"5,0;1,1;0,3;5,7"
N04_spread_T081,4,spread,81,81,0.6177857078171272,13125.0,0.6,136.68480119301492,5;24;37;47,"5,0;0,4;1,6;5,7"
N04_spread_T082,4,spread,82,82,0.6177857078171272,13125.0,0.6,136.68480119301492,0;10;23;42,"0,0;4,1;5,3;0,7"
N04_spread_T083,4,spread,83,83,0.6168727445292166,13125.0,0.6,136.29212083504117,5;8;24;47,"5,0;2,1;0,4;5,7"
N04_spread_T084,4,spread,84,84,0.616213017144552,12812.5,0.5857142857142857,139.08062038146196,5;7;34;42,"5,0;1,1;4,5;0,7"
N04_spread_T085,4,spread,85,85,0.6145252229260116,13125.0,0.6,135.2824136149322,0;10;29;43,"0,0;4,1;5,4;1,7"
N04_spread_T086,4,spread,86,86,0.6145252229260116,13125.0,0.6,135.2824136149322,4;18;37;47,"4,0;0,3;1,6;5,7"
N04_spread_T087,4,spread,87,87,0.614408598153012,12500.0,0.5714285714285714,141.37676945124292,0;17;42;43,"0,0;5,2;0,7;1,7"
N04_spread_T088,4,spread,88,88,0.614206155406163,12187.5,0.5571428571428572,144.36195455736927,0;5;32;42,"0,0;5,0;2,5;0,7"
N04_spread_T089,4,spread,89,89,0.6112610865441841,12187.5,0.5571428571428572,143.0952325431402,2;9;42;47,"2,0;3,1;0,7;5,7"
N04_spread_T090,4,spread,90,90,0.6112028432121394,13125.0,0.6,133.85340406696457,10;24;42;47,"4,1;0,4;0,7;5,7"
N04_spread_T091,4,spread,91,91,0.6112028432121394,13125.0,0.6,133.85340406696457,0;5;23;37,"0,0;5,0;5,3;1,6"
N04_spread_T092,4,spread,92,92,0.6112028432121394,13125.0,0.6,133.85340406696457,0;5;18;40,"0,0;5,0;0,3;4,6"
N04_spread_T093,4,spread,93,93,0.6103355101315946,13125.0,0.6,133.480350003279,5;18;37;41,"5,0;0,3;1,6;5,6"
N04_spread_T094,4,spread,94,94,0.6101824559925,12812.5,0.5857142857142857,136.4867779528248,5;24;45;47,"5,0;0,4;3,7;5,7"
N04_spread_T095,4,spread,95,95,0.6093957764582503,12500.0,0.5714285714285714,139.2206733150415,2;17;42;45,"2,0;5,2;0,7;3,7"
N04_spread_T096,4,spread,96,96,0.6082379280483043,12187.5,0.5571428571428572,141.79492290737113,5;9;41;42,"5,0;3,1;5,6;0,7"
