plan_index,trial_uid,repeat_id,target_order_in_repeat,target_id,charuco_id,method_order_in_block,method,camera,paper_gt_x_mm,paper_gt_y_mm,paper_pred_x_mm,paper_pred_y_mm,vision_dx_mm,vision_dy_mm,vision_xy_error_mm,robot_surface_x_mm,robot_surface_y_mm,robot_surface_z_mm,robot_high_z_mm,robot_measure_hover_z_mm
1,R1-T06-Oracle,1,1,T06,22,1,Oracle,ihawk1,59.0,8.0,59.0,8.0,0.0,0.0,0.0,191.420154218,-63.123470463000004,-118.775401124,-78.775401124,-108.775401124
2,R1-T06-Affine,1,1,T06,22,2,Affine,ihawk1,59.0,8.0,58.835657241126796,6.413977380095092,-0.16434275887320382,-1.5860226199049077,1.5945144380795313,189.8585873519334,-62.95031448717314,-118.78569572313413,-78.78569572313413,-108.78569572313413
3,R1-T06-Homography,1,1,T06,22,3,Homography,ihawk1,59.0,8.0,59.48414303214988,8.455106311784222,0.4841430321498805,0.45510631178422223,0.6644668769811765,191.83586007675316,-63.60433766226443,-118.7718329698104,-78.7718329698104,-108.7718329698104
4,R1-T06-PnP_IPPE,1,1,T06,22,4,PnP_IPPE,ihawk1,59.0,8.0,59.46281021907498,8.363551573047914,0.46281021907498143,0.3635515730479142,0.5885261635185348,191.74659491951522,-63.58265345538269,-118.77244388410168,-78.77244388410168,-108.77244388410168
5,R1-T09-Affine,1,2,T09,38,1,Affine,ihawk1,59.0,-42.0,55.05935624120093,-45.526146020337606,-3.9406437587990695,-3.526146020337606,5.287946575988149,138.6003659885375,-58.86406273370258,-119.12057344817107,-79.12057344817107,-109.12057344817107
6,R1-T09-Homography,1,2,T09,38,2,Homography,ihawk1,59.0,-42.0,58.393975968187476,-41.75288778675622,-0.6060240318125238,0.2471122132437813,0.6544689244483247,142.09730317952625,-62.18054739907387,-119.09194490169365,-79.09194490169365,-109.09194490169365
7,R1-T09-PnP_IPPE,1,2,T09,38,3,PnP_IPPE,ihawk1,59.0,-42.0,58.172548237618116,-42.07766962584344,-0.8274517623818838,-0.07766962584344128,0.8310890384595057,141.79144438076548,-61.95980924872417,-119.09431690161206,-79.09431690161206,-109.09431690161206
8,R1-T09-Oracle,1,2,T09,38,4,Oracle,ihawk1,59.0,-42.0,59.0,-42.0,0.0,0.0,0.0,141.807194218,-62.776807913,-119.092661174,-79.092661174,-109.092661174
9,R1-T04-Homography,1,3,T04,17,1,Homography,ihawk1,-66.0,8.0,-65.92190157349302,7.978506401368168,0.07809842650698329,-0.021493598631831645,0.08100209259650608,200.65620236445633,60.139158065201045,-118.95110237090921,-78.95110237090921,-108.95110237090921
10,R1-T04-PnP_IPPE,1,3,T04,17,2,PnP_IPPE,ihawk1,-66.0,8.0,-66.03055790102417,7.736584544640152,-0.030557901024167222,-0.2634154553598478,0.26518198927800274,200.42420518651144,60.248048342237,-118.95279011899319,-78.95279011899319,-108.95279011899319
