plan_index,trial_uid,repeat_id,target_order_in_repeat,target_id,charuco_id,method_order_in_block,method,camera,paper_gt_x_mm,paper_gt_y_mm,paper_pred_x_mm,paper_pred_y_mm,vision_dx_mm,vision_dy_mm,vision_xy_error_mm,robot_surface_x_mm,robot_surface_y_mm,robot_surface_z_mm,robot_high_z_mm,robot_measure_hover_z_mm,session_id,executed_at,high_t105_x_mm,high_t105_y_mm,high_t105_z_mm,high_t105_dx_mm,high_t105_dy_mm,high_t105_dz_mm,high_t105_xy_residual_mm,high_t105_3d_residual_mm,hover_t105_x_mm,hover_t105_y_mm,hover_t105_z_mm,hover_t105_dx_mm,hover_t105_dy_mm,hover_t105_dz_mm,hover_t105_xy_residual_mm,hover_t105_3d_residual_mm,measured_pointer_x_mm,measured_pointer_y_mm,e2e_dx_mm,e2e_dy_mm,e2e_xy_error_mm,downstream_dx_mm,downstream_dy_mm,downstream_xy_error_mm,measurement_status,notes
1,R1-T06-Oracle,1,1,T06,22,1,Oracle,ihawk1,59.0,8.0,59.0,8.0,0.0,0.0,0.0,191.420154218,-63.123470463000004,-118.775401124,-78.775401124,-108.775401124,20260811_195552,2026-08-11T19:58:06,191.1263519,-62.81460183,-79.91447702,-0.29380231799999024,0.308868633000003,-1.1390758960000085,0.42628586009092295,1.2162292264872112,191.6810669,-62.9969116,-109.0464931,0.2609126819999972,0.12655886300000674,-0.2710919760000081,0.28998719529021644,0.39696779829587575,60.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,MEASURED,NO
2,R1-T06-Affine,1,1,T06,22,2,Affine,ihawk1,59.0,8.0,58.835657241126796,6.413977380095092,-0.16434275887320382,-1.5860226199049077,1.5945144380795313,189.8585873519334,-62.95031448717314,-118.78569572313413,-78.78569572313413,-108.78569572313413,20260811_195552,2026-08-11T20:00:09,189.8219846,-63.67907984,-79.77986092,-0.03660275193340112,-0.7287653528268621,-0.9941651968658789,0.7296839733267813,1.2332084736934508,189.5252439,-63.57953303,-109.8110381,-0.3333434519334162,-0.6292185428268624,-1.0253423768658791,0.7120630811831532,1.2483432305984667,59.5,7.5,0.5,-0.5,0.7071067811865476,0.6643427588732038,1.0860226199049077,1.273105035812984,MEASURED,No
3,R1-T06-Homography,1,1,T06,22,3,Homography,ihawk1,59.0,8.0,59.48414303214988,8.455106311784222,0.4841430321498805,0.45510631178422223,0.6644668769811765,191.83586007675316,-63.60433766226443,-118.7718329698104,-78.7718329698104,-108.7718329698104,20260811_195552,2026-08-11T20:02:24,193.1161495,-64.45475945,-79.75013981,1.2802894232468418,-0.85042178773557,-0.9783068401895889,1.5369964945741073,1.8219337248909004,191.0708882,-63.77212973,-109.6649948,-0.764971876753151,-0.16779206773557576,-0.893161830189598,0.7831578067147247,1.1878864445416701,60.5,8.0,1.5,0.0,1.5,1.0158569678501195,-0.45510631178422223,1.1131429082357198,MEASURED,"The first time contacted the paper, the second time and the third time is above, accurate."
4,R1-T06-PnP_IPPE,1,1,T06,22,4,PnP_IPPE,ihawk1,59.0,8.0,59.46281021907498,8.363551573047914,0.46281021907498143,0.3635515730479142,0.5885261635185348,191.74659491951522,-63.58265345538269,-118.77244388410168,-78.77244388410168,-108.77244388410168,20260811_195552,2026-08-11T20:04:35,192.2787918,-64.17528159,-80.01324502,0.5321968804847756,-0.592628134617307,-1.240801135898323,0.7965184401743098,1.4744589124096623,191.0708882,-63.77212973,-109.6649948,-0.6757067195152047,-0.18947627461731287,-0.892550915898326,0.7017697837901364,1.1353977130995974,60.5,8.0,1.5,0.0,1.5,1.0371897809250186,-0.3635515730479142,1.0990597744985944,MEASURED,exactly the same as the third
5,R1-T09-Affine,1,2,T09,38,1,Affine,ihawk1,59.0,-42.0,55.05935624120093,-45.526146020337606,-3.9406437587990695,-3.526146020337606,5.287946575988149,138.6003659885375,-58.86406273370258,-119.12057344817107,-79.12057344817107,-109.12057344817107,20260811_195552,2026-08-11T20:07:46,139.6752935,-58.60990531,-79.03774973,1.074927511462505,0.2541574237025799,0.08282371817107048,1.1045655937616863,1.1076664295778704,139.6138437,-58.33240735,-109.8240609,1.0134777114624853,0.531655383702585,-0.7034874518289342,1.144462545761625,1.3433871793090577,55.0,-42.0,-4.0,0.0,4.0,-0.059356241200930526,3.526146020337606,3.5266455620195574,MEASURED,"the x change between 54 to 58,y change between 42 to 44.finanlly stay here."
6,R1-T09-Homography,1,2,T09,38,2,Homography,ihawk1,59.0,-42.0,58.393975968187476,-41.75288778675622,-0.6060240318125238,0.2471122132437813,0.6544689244483247,142.09730317952625,-62.18054739907387,-119.09194490169365,-79.09194490169365,-109.09194490169365,20260811_195552,2026-08-11T20:10:35,141.8657523,-61.58725444,-79.64939271,-0.23155087952625308,0.5932929590738709,-0.5574478083063497,0.6368770250966911,0.8463807677880942,143.8691026,-62.45695584,-109.3102501,1.7717994204737408,-0.2764084409261258,-0.21830519830635353,1.7932302731680323,1.8064694772439063,59.0,-38.0,0.0,4.0,4.0,0.6060240318125238,3.7528877867562187,3.8015038954495752,MEASURED,"higher above 3mm,the last time before is 2mm."
7,R1-T09-PnP_IPPE,1,2,T09,38,3,PnP_IPPE,ihawk1,59.0,-42.0,58.172548237618116,-42.07766962584344,-0.8274517623818838,-0.07766962584344128,0.8310890384595057,141.79144438076548,-61.95980924872417,-119.09431690161206,-79.09431690161206,-109.09431690161206,20260811_195552,2026-08-11T20:13:18,140.8832904,-62.19086747,-79.84873609,-0.9081539807654906,-0.23105822127583053,-0.7544191883879421,0.9370867379273691,1.2030294535909247,141.8576986,-62.62100568,-109.9313409,0.06625421923450858,-0.6611964312758332,-0.8370239983879344,0.6645075938605005,1.068727989797028,59.0,-39.5,0.0,2.5,2.5,0.8274517623818838,2.5776696258434413,2.70722313802626,MEASURED,
8,R1-T09-Oracle,1,2,T09,38,4,Oracle,ihawk1,59.0,-42.0,59.0,-42.0,0.0,0.0,0.0,141.807194218,-62.776807913,-119.092661174,-79.092661174,-109.092661174,20260811_195552,2026-08-11T20:15:36,141.0335326,-63.81456351,-79.89074503,-0.7736616180000055,-1.0377555970000003,-0.7980838560000052,1.2944068055565892,1.5206665707771216,142.5084999,-61.60665462,-110.4137487,0.7013056819999974,1.1701532929999985,-1.3210875259999995,1.3642171340091802,1.8990420322038744,59.0,-39.5,0.0,2.5,2.5,0.0,2.5,2.5,MEASURED,
9,R1-T04-Homography,1,3,T04,17,1,Homography,ihawk1,-66.0,8.0,-65.92190157349302,7.978506401368168,0.07809842650698329,-0.021493598631831645,0.08100209259650608,200.65620236445633,60.139158065201045,-118.95110237090921,-78.95110237090921,-108.95110237090921,20260811_195552,2026-08-11T20:17:20,202.1582438,62.34138818,-79.31638795,1.5020414355436742,2.202230114798958,-0.36528557909079495,2.6656980235235825,2.690609504723647,198.9429671,61.34986385,-110.3948642,-1.7132352644563298,1.2107057847989537,-1.4437618290907892,2.0978521322348724,2.5466510926826986,-65.5,7.5,0.5,-0.5,0.7071067811865476,0.4219015734930167,-0.47850640136816835,0.6379414658620319,MEASURED,
10,R1-T04-PnP_IPPE,1,3,T04,17,2,PnP_IPPE,ihawk1,-66.0,8.0,-66.03055790102417,7.736584544640152,-0.030557901024167222,-0.2634154553598478,0.26518198927800274,200.42420518651144,60.248048342237,-118.95279011899319,-78.95279011899319,-108.95279011899319,20260811_195552,2026-08-11T20:19:13,201.6556365,63.54399245,-79.64081177,1.2314313134885708,3.295944107762999,-0.6880216510068067,3.5184756132930377,3.5851142845928847,201.2111777,60.02697738,-109.5618385,0.7869725134885641,-0.2210709622370004,-0.6090483810068008,0.8174338550188031,1.0193812033473575,-66.0,9.0,0.0,1.0,1.0,0.030557901024167222,1.2634154553598478,1.2637849493316236,MEASURED,
