camera,charuco_id,paper_x_mm,paper_y_mm,paper_z_mm,u_raw_median_px,v_raw_median_px,u_raw_mean_px,v_raw_mean_px,u_raw_sd_px,v_raw_sd_px,u_undist_median_px,v_undist_median_px,u_undist_mean_px,v_undist_mean_px,u_undist_sd_px,v_undist_sd_px,n_frames
ihawk1,0,-91.0,58.0,0.0,254.35704803466797,247.86157989501953,254.37091445922852,247.8455078125,0.040043674478519656,0.0871353661640461,254.35704803466797,247.86157989501953,254.37091445922852,247.8455078125,0.040043674478519656,0.0871353661640461,20
ihawk1,2,-41.0,58.0,0.0,271.9521789550781,263.4927062988281,271.955256652832,263.5056671142578,0.07929531599482421,0.07139598780217125,271.9521789550781,263.4927062988281,271.955256652832,263.5056671142578,0.07929531599482421,0.07139598780217125,20
ihawk1,5,34.0,58.0,0.0,301.54656982421875,293.2850341796875,301.54432220458983,293.27740783691405,0.021472896528069812,0.01555834185393861,301.54656982421875,293.2850341796875,301.54432220458983,293.27740783691405,0.021472896528069812,0.01555834185393861,20
ihawk1,7,84.0,58.0,0.0,324.8084259033203,315.8051300048828,324.8034973144531,315.8058090209961,0.008214323149385663,0.0017851273047668327,324.8084259033203,315.8051300048828,324.8034973144531,315.8058090209961,0.008214323149385663,0.0017851273047668327,20
ihawk1,24,-91.0,-17.0,0.0,295.25953674316406,232.15811157226562,295.2651824951172,232.15807723999023,0.024911360195882856,0.029406973055756434,295.25953674316406,232.15811157226562,295.2651824951172,232.15807723999023,0.024911360195882856,0.029406973055756434,20
ihawk1,26,-41.0,-17.0,0.0,313.51708984375,246.55887603759766,313.51649322509763,246.55571212768555,0.04661106739187687,0.04491141344629133,313.51708984375,246.55887603759766,313.51649322509763,246.55571212768555,0.04661106739187687,0.04491141344629133,20
ihawk1,29,34.0,-17.0,0.0,345.123779296875,271.4705505371094,345.0028244018555,272.0197326660156,0.21507908340850942,0.8254673514701134,345.123779296875,271.4705505371094,345.0028244018555,272.0197326660156,0.21507908340850942,0.8254673514701134,20
ihawk1,31,84.0,-17.0,0.0,369.6716613769531,290.8722229003906,369.6629043579102,290.74522705078124,0.03955684795660918,0.4035938312369071,369.6716613769531,290.8722229003906,369.6629043579102,290.74522705078124,0.03955684795660918,0.4035938312369071,20
ihawk1,40,-91.0,-67.0,0.0,319.9681091308594,222.47545623779297,319.9625961303711,222.47395553588868,0.042346409663715154,0.009474801121092682,319.9681091308594,222.47545623779297,319.9625961303711,222.47395553588868,0.042346409663715154,0.009474801121092682,20
ihawk1,42,-41.0,-67.0,0.0,338.6306915283203,235.53101348876953,338.6166259765625,235.51180725097657,0.02957383034444587,0.06009045944257623,338.6306915283203,235.53101348876953,338.6166259765625,235.51180725097657,0.02957383034444587,0.06009045944257623,20
