camera,ros_frame_count,timestamp,charuco_id,paper_x_mm,paper_y_mm,paper_z_mm,u_raw_px,v_raw_px,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk2,1,1786447084.048308,0,-91.0,58.0,0.0,270.022705078125,343.6977233886719,270.022705078125,343.6977233886719,30,46
ihawk2,1,1786447084.048308,2,-41.0,58.0,0.0,313.5445861816406,342.8448486328125,313.5445861816406,342.8448486328125,30,46
ihawk2,1,1786447084.048308,5,34.0,58.0,0.0,377.9825134277344,341.06195068359375,377.9825134277344,341.06195068359375,30,46
ihawk2,1,1786447084.048308,7,84.0,58.0,0.0,420.5393371582031,339.8912658691406,420.5393371582031,339.8912658691406,30,46
ihawk2,1,1786447084.048308,24,-91.0,-17.0,0.0,274.247314453125,299.4165344238281,274.247314453125,299.4165344238281,30,46
ihawk2,1,1786447084.048308,26,-41.0,-17.0,0.0,311.913818359375,298.95794677734375,311.913818359375,298.95794677734375,30,46
ihawk2,1,1786447084.048308,29,34.0,-17.0,0.0,368.4430236816406,298.1793212890625,368.4430236816406,298.1793212890625,30,46
ihawk2,1,1786447084.048308,31,84.0,-17.0,0.0,405.77197265625,297.2445373535156,405.77197265625,297.2445373535156,30,46
ihawk2,1,1786447084.048308,42,-41.0,-67.0,0.0,311.74481201171875,274.7817687988281,311.74481201171875,274.7817687988281,30,46
ihawk2,1,1786447084.048308,45,34.0,-67.0,0.0,363.5360412597656,274.7128601074219,363.5360412597656,274.7128601074219,30,46
ihawk2,1,1786447084.048308,47,84.0,-67.0,0.0,397.8475341796875,274.06207275390625,397.8475341796875,274.06207275390625,30,46
ihawk1,1,1786447084.065751,0,-91.0,58.0,0.0,254.4058380126953,247.68504333496094,254.4058380126953,247.68504333496094,28,40
ihawk1,1,1786447084.065751,2,-41.0,58.0,0.0,271.8846740722656,263.5107421875,271.8846740722656,263.5107421875,28,40
ihawk1,1,1786447084.065751,5,34.0,58.0,0.0,301.52203369140625,293.2976989746094,301.52203369140625,293.2976989746094,28,40
ihawk1,1,1786447084.065751,7,84.0,58.0,0.0,324.8085632324219,315.8047180175781,324.8085632324219,315.8047180175781,28,40
ihawk1,1,1786447084.065751,26,-41.0,-17.0,0.0,313.5736389160156,246.5199432373047,313.5736389160156,246.5199432373047,28,40
ihawk1,1,1786447084.065751,31,84.0,-17.0,0.0,369.6625061035156,290.8194885253906,369.6625061035156,290.8194885253906,28,40
ihawk1,1,1786447084.065751,42,-41.0,-67.0,0.0,338.57452392578125,235.5341339111328,338.57452392578125,235.5341339111328,28,40
ihawk1,1,1786447084.065751,45,34.0,-67.0,0.0,371.0659484863281,258.0750427246094,371.0659484863281,258.0750427246094,28,40
ihawk1,1,1786447084.065751,47,84.0,-67.0,0.0,395.9449462890625,275.3385314941406,395.9449462890625,275.3385314941406,28,40
ihawk2,2,1786447084.152602,0,-91.0,58.0,0.0,270.0419006347656,343.713134765625,270.0419006347656,343.713134765625,30,46
ihawk2,2,1786447084.152602,2,-41.0,58.0,0.0,313.52587890625,342.8732604980469,313.52587890625,342.8732604980469,30,46
ihawk2,2,1786447084.152602,5,34.0,58.0,0.0,377.9814147949219,341.0526428222656,377.9814147949219,341.0526428222656,30,46
ihawk2,2,1786447084.152602,7,84.0,58.0,0.0,420.5306091308594,339.9021911621094,420.5306091308594,339.9021911621094,30,46
ihawk2,2,1786447084.152602,24,-91.0,-17.0,0.0,274.2314758300781,299.4193420410156,274.2314758300781,299.4193420410156,30,46
ihawk2,2,1786447084.152602,26,-41.0,-17.0,0.0,311.9229431152344,298.9465026855469,311.9229431152344,298.9465026855469,30,46
ihawk2,2,1786447084.152602,29,34.0,-17.0,0.0,368.4532775878906,298.1440124511719,368.4532775878906,298.1440124511719,30,46
ihawk2,2,1786447084.152602,31,84.0,-17.0,0.0,405.7647705078125,297.2492980957031,405.7647705078125,297.2492980957031,30,46
ihawk2,2,1786447084.152602,42,-41.0,-67.0,0.0,311.8102111816406,274.8075256347656,311.8102111816406,274.8075256347656,30,46
ihawk2,2,1786447084.152602,45,34.0,-67.0,0.0,363.5395202636719,274.7144470214844,363.5395202636719,274.7144470214844,30,46
ihawk2,2,1786447084.152602,47,84.0,-67.0,0.0,398.0511474609375,274.1837463378906,398.0511474609375,274.1837463378906,30,46
ihawk1,2,1786447084.25745,0,-91.0,58.0,0.0,254.360107421875,247.85496520996094,254.360107421875,247.85496520996094,29,42
ihawk1,2,1786447084.25745,2,-41.0,58.0,0.0,271.9636535644531,263.4599304199219,271.9636535644531,263.4599304199219,29,42
ihawk1,2,1786447084.25745,5,34.0,58.0,0.0,301.5530090332031,293.2894592285156,301.5530090332031,293.2894592285156,29,42
ihawk1,2,1786447084.25745,7,84.0,58.0,0.0,324.8081970214844,315.8044738769531,324.8081970214844,315.8044738769531,29,42
ihawk1,2,1786447084.25745,29,34.0,-17.0,0.0,345.0860290527344,271.3578796386719,345.0860290527344,271.3578796386719,29,42
ihawk1,2,1786447084.25745,31,84.0,-17.0,0.0,369.6722717285156,290.8924255371094,369.6722717285156,290.8924255371094,29,42
ihawk1,2,1786447084.25745,40,-91.0,-67.0,0.0,320.00469970703125,222.475830078125,320.00469970703125,222.475830078125,29,42
ihawk1,2,1786447084.25745,42,-41.0,-67.0,0.0,338.6310729980469,235.54261779785156,338.6310729980469,235.54261779785156,29,42
ihawk1,2,1786447084.25745,45,34.0,-67.0,0.0,371.0340881347656,258.0540466308594,371.0340881347656,258.0540466308594,29,42
ihawk1,2,1786447084.25745,47,84.0,-67.0,0.0,395.9718933105469,275.3360595703125,395.9718933105469,275.3360595703125,29,42
ihawk2,3,1786447084.411084,0,-91.0,58.0,0.0,270.0481872558594,343.6771545410156,270.0481872558594,343.6771545410156,30,46
ihawk2,3,1786447084.411084,2,-41.0,58.0,0.0,313.5299377441406,342.8759765625,313.5299377441406,342.8759765625,30,46
ihawk2,3,1786447084.411084,5,34.0,58.0,0.0,377.9852600097656,341.0503845214844,377.9852600097656,341.0503845214844,30,46
ihawk2,3,1786447084.411084,7,84.0,58.0,0.0,420.5323791503906,339.8999938964844,420.5323791503906,339.8999938964844,30,46
ihawk2,3,1786447084.411084,24,-91.0,-17.0,0.0,274.257080078125,299.4222106933594,274.257080078125,299.4222106933594,30,46
ihawk2,3,1786447084.411084,26,-41.0,-17.0,0.0,311.9184875488281,299.0185546875,311.9184875488281,299.0185546875,30,46
ihawk2,3,1786447084.411084,29,34.0,-17.0,0.0,368.599365234375,298.1363220214844,368.599365234375,298.1363220214844,30,46
ihawk2,3,1786447084.411084,31,84.0,-17.0,0.0,405.8181457519531,297.1832580566406,405.8181457519531,297.1832580566406,30,46
ihawk2,3,1786447084.411084,42,-41.0,-67.0,0.0,311.8169250488281,274.8007507324219,311.8169250488281,274.8007507324219,30,46
ihawk2,3,1786447084.411084,45,34.0,-67.0,0.0,363.5474853515625,274.7077941894531,363.5474853515625,274.7077941894531,30,46
ihawk2,3,1786447084.411084,47,84.0,-67.0,0.0,397.8287048339844,274.0604248046875,397.8287048339844,274.0604248046875,30,46
ihawk1,3,1786447084.49574,0,-91.0,58.0,0.0,254.3321075439453,247.7696990966797,254.3321075439453,247.7696990966797,29,44
ihawk1,3,1786447084.49574,2,-41.0,58.0,0.0,271.93408203125,263.4273986816406,271.93408203125,263.4273986816406,29,44
ihawk1,3,1786447084.49574,5,34.0,58.0,0.0,301.5526428222656,293.28875732421875,301.5526428222656,293.28875732421875,29,44
ihawk1,3,1786447084.49574,7,84.0,58.0,0.0,324.8080749511719,315.80517578125,324.8080749511719,315.80517578125,29,44
ihawk1,3,1786447084.49574,26,-41.0,-17.0,0.0,313.4782409667969,246.60621643066406,313.4782409667969,246.60621643066406,29,44
ihawk1,3,1786447084.49574,29,34.0,-17.0,0.0,345.1369323730469,271.4106750488281,345.1369323730469,271.4106750488281,29,44
ihawk1,3,1786447084.49574,31,84.0,-17.0,0.0,369.5816345214844,289.8047180175781,369.5816345214844,289.8047180175781,29,44
ihawk1,3,1786447084.49574,42,-41.0,-67.0,0.0,338.6346130371094,235.34938049316406,338.6346130371094,235.34938049316406,29,44
ihawk1,3,1786447084.49574,45,34.0,-67.0,0.0,371.1197509765625,258.0224304199219,371.1197509765625,258.0224304199219,29,44
