camera,ros_frame_count,charuco_id,paper_x_gt_mm,paper_y_gt_mm,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk2,1,9,-66.0,33.0,292.13720703125,327.2436218261719,30,46
ihawk2,1,11,-16.0,33.0,333.5436706542969,326.5334777832031,30,46
ihawk2,1,14,59.0,33.0,395.3210144042969,324.61248779296875,30,46
ihawk2,1,17,-66.0,8.0,292.7794494628906,312.4534606933594,30,46
ihawk2,1,19,-16.0,8.0,332.1809997558594,311.8826599121094,30,46
ihawk2,1,22,59.0,8.0,390.5899963378906,310.8539123535156,30,46
ihawk2,1,33,-66.0,-42.0,293.7947082519531,286.5455627441406,30,46
ihawk2,1,35,-16.0,-42.0,330.1011657714844,286.5069274902344,30,46
ihawk2,1,38,59.0,-42.0,383.8180236816406,285.3214416503906,30,46
ihawk1,1,9,-66.0,33.0,276.9728088378906,251.00433349609375,30,46
ihawk1,1,11,-16.0,33.0,295.2744140625,267.97772216796875,30,46
ihawk1,1,14,59.0,33.0,328.4001159667969,295.8765869140625,30,46
ihawk1,1,17,-66.0,8.0,291.1214904785156,244.2827606201172,30,46
ihawk1,1,19,-16.0,8.0,310.04205322265625,260.3751220703125,30,46
ihawk1,1,22,59.0,8.0,343.09912109375,288.30096435546875,30,46
ihawk1,1,33,-66.0,-42.0,316.86083984375,233.486572265625,30,46
ihawk1,1,35,-16.0,-42.0,336.3655090332031,248.6068572998047,30,46
ihawk1,1,38,59.0,-42.0,370.0644226074219,273.3669738769531,30,46
ihawk2,2,9,-66.0,33.0,292.1117858886719,327.24798583984375,29,42
ihawk2,2,11,-16.0,33.0,333.564697265625,326.5523986816406,29,42
ihawk2,2,14,59.0,33.0,395.3789978027344,324.5064392089844,29,42
ihawk2,2,17,-66.0,8.0,292.7730407714844,312.37603759765625,29,42
ihawk2,2,19,-16.0,8.0,332.1708984375,311.8898620605469,29,42
ihawk2,2,22,59.0,8.0,390.6147766113281,310.81622314453125,29,42
ihawk2,2,33,-66.0,-42.0,293.78778076171875,286.5475769042969,29,42
