camera,target_id,charuco_id,paper_x_gt_mm,paper_y_gt_mm,u_undist_median_px,v_undist_median_px,u_undist_sd_px,v_undist_sd_px,n_frames
ihawk1,T01,9,-66.0,33.0,276.9823913574219,250.99862670898438,0.034078767258054886,0.016146809372476832,20
ihawk1,T02,11,-16.0,33.0,295.31016540527344,267.9563446044922,0.03052414877577477,0.03415202419588695,20
ihawk1,T03,14,59.0,33.0,328.4003601074219,295.8486022949219,0.008521851105956801,0.022214345537529514,20
ihawk1,T04,17,-66.0,8.0,291.12908935546875,244.2809829711914,0.01201462953203628,0.006801926601066958,20
ihawk1,T05,19,-16.0,8.0,310.0631408691406,260.3641662597656,0.015154969962234536,0.010973629556062396,20
ihawk1,T06,22,59.0,8.0,343.08447265625,288.2313537597656,0.032493814199929125,0.05508316646341272,20
ihawk1,T07,33,-66.0,-42.0,316.92498779296875,233.48136138916016,0.03563005814319628,0.025348595858597382,20
ihawk1,T08,35,-16.0,-42.0,336.37684631347656,248.6095962524414,0.026112800301715425,0.006276114391808886,20
ihawk1,T09,38,59.0,-42.0,370.0535125732422,273.2641296386719,0.011728107748383105,0.08165743588876756,20
ihawk2,T01,9,-66.0,33.0,292.1326599121094,327.2478332519531,0.019337800598835327,0.025420619983089424,20
ihawk2,T02,11,-16.0,33.0,333.54998779296875,326.5384521484375,0.037172241271331424,0.0588122770721319,20
ihawk2,T03,14,59.0,33.0,395.27923583984375,324.60914611816406,0.0752735957742675,0.0735340126451539,20
ihawk2,T04,17,-66.0,8.0,292.7781066894531,312.2801971435547,0.018927267391883017,0.08399712145996456,20
ihawk2,T05,19,-16.0,8.0,332.18653869628906,311.8785705566406,0.016932687808111017,0.006740415185757782,20
ihawk2,T06,22,59.0,8.0,390.65406799316406,310.85084533691406,0.0350608709667007,0.019940823820756404,20
ihawk2,T07,33,-66.0,-42.0,293.7747497558594,286.6013488769531,0.024264493601004404,0.052949980772860776,20
ihawk2,T08,35,-16.0,-42.0,329.99732971191406,286.5429229736328,0.12593071024121852,0.08134293900758946,20
ihawk2,T09,38,59.0,-42.0,383.8138885498047,285.34747314453125,0.007734041991408825,0.0312043368904828,20
