camera,target_id,charuco_id,method,paper_x_gt_mm,paper_y_gt_mm,u_undist_median_px,v_undist_median_px,paper_x_pred_mm,paper_y_pred_mm,dx_mm,dy_mm,xy_error_mm
ihawk1,T01,9,Affine,-66.0,33.0,276.9823913574219,250.99862670898438,-67.1650275970469,30.257862630527416,-1.165027597046901,-2.7421373694725837,2.9793634647251244
ihawk1,T01,9,Homography,-66.0,33.0,276.9823913574219,250.99862670898438,-63.80284213657175,34.8781474443333,2.1971578634282523,1.878147444333301,2.890491394119746
ihawk1,T01,9,PnP_IPPE,-66.0,33.0,276.9823913574219,250.99862670898438,-64.0650643250732,34.601060830519316,1.9349356749268054,1.601060830519316,2.5114481577623007
ihawk1,T02,11,Affine,-16.0,33.0,295.31016540527344,267.9563446044922,-20.089730283291374,32.93298609373822,-4.089730283291374,-0.06701390626177783,4.0902792879830345
ihawk1,T02,11,Homography,-16.0,33.0,295.31016540527344,267.9563446044922,-13.467255259699206,35.3629263876456,2.532744740300794,2.362926387645601,3.4638442564516705
ihawk1,T02,11,PnP_IPPE,-16.0,33.0,295.31016540527344,267.9563446044922,-13.933017352902368,35.27259327792069,2.066982647097632,2.2725932779206914,3.0719859163500485
ihawk1,T03,14,Affine,59.0,33.0,328.4003601074219,295.8486022949219,59.918111341345025,33.94955653783778,0.9181113413450248,0.949556537837779,1.320827791067719
ihawk1,T03,14,Homography,59.0,33.0,328.4003601074219,295.8486022949219,59.25820926407876,33.0026309673326,0.2582092640787579,0.0026309673325997096,0.25822266756657697
ihawk1,T03,14,PnP_IPPE,59.0,33.0,328.4003601074219,295.8486022949219,59.32733371865129,33.15668077794558,0.327333718651289,0.15668077794558144,0.36289975136904384
ihawk1,T04,17,Affine,-66.0,8.0,291.12908935546875,244.2809829711914,-67.0718656851742,4.5990132202245935,-1.0718656851742026,-3.4009867797754065,3.5658949961070157
ihawk1,T04,17,Homography,-66.0,8.0,291.12908935546875,244.2809829711914,-65.92190157349302,7.978506401368168,0.07809842650698329,-0.021493598631831645,0.08100209259650608
ihawk1,T04,17,PnP_IPPE,-66.0,8.0,291.12908935546875,244.2809829711914,-66.03055790102417,7.736584544640152,-0.030557901024167222,-0.2634154553598478,0.26518198927800274
ihawk1,T05,19,Affine,-16.0,8.0,310.0631408691406,260.3641662597656,-21.066021883547137,5.3533665939887545,-5.066021883547137,-2.6466334060112455,5.715701716359345
ihawk1,T05,19,Homography,-16.0,8.0,310.0631408691406,260.3641662597656,-15.285746675234282,8.263242003523663,0.7142533247657177,0.2632420035236631,0.7612188675788548
ihawk1,T05,19,PnP_IPPE,-16.0,8.0,310.0631408691406,260.3641662597656,-15.711865471149281,8.080388872490062,0.2881345288507191,0.08038887249006166,0.2991385590930218
ihawk1,T06,22,Affine,59.0,8.0,343.08447265625,288.2313537597656,58.835657241126796,6.413977380095092,-0.16434275887320382,-1.5860226199049077,1.5945144380795313
ihawk1,T06,22,Homography,59.0,8.0,343.08447265625,288.2313537597656,59.48414303214988,8.455106311784222,0.4841430321498805,0.45510631178422223,0.6644668769811765
ihawk1,T06,22,PnP_IPPE,59.0,8.0,343.08447265625,288.2313537597656,59.46281021907498,8.363551573047914,0.46281021907498143,0.3635515730479142,0.5885261635185348
ihawk1,T07,33,Affine,-66.0,-42.0,316.92498779296875,233.48136138916016,-64.2492721010783,-40.15962987976651,1.7507278989216957,1.8403701202334872,2.5400807773594516
ihawk1,T07,33,Homography,-66.0,-42.0,316.92498779296875,233.48136138916016,-66.64258556560806,-42.593388241135685,-0.6425855656080586,-0.5933882411356848,0.874657540895824
ihawk1,T07,33,PnP_IPPE,-66.0,-42.0,316.92498779296875,233.48136138916016,-66.48881599015226,-42.479918344927626,-0.4888159901522613,-0.47991834492762564,0.6850275104159008
ihawk1,T08,35,Affine,-16.0,-42.0,336.37684631347656,248.6095962524414,-19.537479351360844,-41.33693968712085,-3.537479351360844,0.6630603128791535,3.5990844863408995
ihawk1,T08,35,Homography,-16.0,-42.0,336.37684631347656,248.6095962524414,-15.162532392436894,-41.316650628737726,0.8374676075631058,0.683349371262274,1.0808877633325382
ihawk1,T08,35,PnP_IPPE,-16.0,-42.0,336.37684631347656,248.6095962524414,-15.515487821407191,-41.39008146878177,0.4845121785928086,0.6099185312182271,0.7789433008429748
ihawk1,T09,38,Affine,59.0,-42.0,370.0535125732422,273.2641296386719,55.05935624120093,-45.526146020337606,-3.9406437587990695,-3.526146020337606,5.287946575988149
ihawk1,T09,38,Homography,59.0,-42.0,370.0535125732422,273.2641296386719,58.393975968187476,-41.75288778675622,-0.6060240318125238,0.2471122132437813,0.6544689244483247
ihawk1,T09,38,PnP_IPPE,59.0,-42.0,370.0535125732422,273.2641296386719,58.172548237618116,-42.07766962584344,-0.8274517623818838,-0.07766962584344128,0.8310890384595057
ihawk2,T01,9,Affine,-66.0,33.0,292.1326599121094,327.2478332519531,-69.91313680644288,30.481832314305734,-3.9131368064428784,-2.518167685694266,4.653365250999838
ihawk2,T01,9,Homography,-66.0,33.0,292.1326599121094,327.2478332519531,-66.33939033156915,33.088860139261,-0.3393903315691489,0.08886013926100134,0.3508303315166768
ihawk2,T01,9,PnP_IPPE,-66.0,33.0,292.1326599121094,327.2478332519531,-66.20676418134154,33.252911443035714,-0.20676418134154062,0.252911443035714,0.3266735751545336
ihawk2,T02,11,Affine,-16.0,33.0,333.54998779296875,326.5384521484375,-16.438068172703936,30.64989209410544,-0.43806817270393594,-2.3501079058945606,2.3905879806617203
ihawk2,T02,11,Homography,-16.0,33.0,333.54998779296875,326.5384521484375,-16.308690552347223,33.393341784831996,-0.30869055234722254,0.3933417848319962,0.500007616745239
ihawk2,T02,11,PnP_IPPE,-16.0,33.0,333.54998779296875,326.5384521484375,-16.0893226070811,33.47677057160263,-0.08932260708110107,0.4767705716026285,0.485065671927072
ihawk2,T03,14,Affine,59.0,33.0,395.27923583984375,324.60914611816406,63.395920169694136,29.292284103294833,4.395920169694136,-3.7077158967051673,5.750762671942212
