charuco_id,is_formal_12spread,board_x_mm,board_y_mm,board_z_mm,paper_x_mm,paper_y_mm,paper_z_mm
0,1,25.0,25.0,0.0,-91.0,-67.0,0.0
1,0,50.0,25.0,0.0,-66.0,-67.0,0.0
2,1,75.0,25.0,0.0,-41.0,-67.0,0.0
3,0,100.0,25.0,0.0,-16.0,-67.0,0.0
4,0,125.0,25.0,0.0,9.0,-67.0,0.0
5,1,150.0,25.0,0.0,34.0,-67.0,0.0
6,0,175.0,25.0,0.0,59.0,-67.0,0.0
7,1,200.0,25.0,0.0,84.0,-67.0,0.0
8,0,25.0,50.0,0.0,-91.0,-42.0,0.0
9,0,50.0,50.0,0.0,-66.0,-42.0,0.0
10,0,75.0,50.0,0.0,-41.0,-42.0,0.0
11,0,100.0,50.0,0.0,-16.0,-42.0,0.0
12,0,125.0,50.0,0.0,9.0,-42.0,0.0
13,0,150.0,50.0,0.0,34.0,-42.0,0.0
14,0,175.0,50.0,0.0,59.0,-42.0,0.0
15,0,200.0,50.0,0.0,84.0,-42.0,0.0
16,1,25.0,75.0,0.0,-91.0,-17.0,0.0
17,0,50.0,75.0,0.0,-66.0,-17.0,0.0
18,1,75.0,75.0,0.0,-41.0,-17.0,0.0
19,0,100.0,75.0,0.0,-16.0,-17.0,0.0
20,0,125.0,75.0,0.0,9.0,-17.0,0.0
21,1,150.0,75.0,0.0,34.0,-17.0,0.0
22,0,175.0,75.0,0.0,59.0,-17.0,0.0
23,1,200.0,75.0,0.0,84.0,-17.0,0.0
24,0,25.0,100.0,0.0,-91.0,8.0,0.0
25,0,50.0,100.0,0.0,-66.0,8.0,0.0
26,0,75.0,100.0,0.0,-41.0,8.0,0.0
27,0,100.0,100.0,0.0,-16.0,8.0,0.0
28,0,125.0,100.0,0.0,9.0,8.0,0.0
29,0,150.0,100.0,0.0,34.0,8.0,0.0
30,0,175.0,100.0,0.0,59.0,8.0,0.0
31,0,200.0,100.0,0.0,84.0,8.0,0.0
32,0,25.0,125.0,0.0,-91.0,33.0,0.0
33,0,50.0,125.0,0.0,-66.0,33.0,0.0
34,0,75.0,125.0,0.0,-41.0,33.0,0.0
35,0,100.0,125.0,0.0,-16.0,33.0,0.0
36,0,125.0,125.0,0.0,9.0,33.0,0.0
37,0,150.0,125.0,0.0,34.0,33.0,0.0
38,0,175.0,125.0,0.0,59.0,33.0,0.0
39,0,200.0,125.0,0.0,84.0,33.0,0.0
40,1,25.0,150.0,0.0,-91.0,58.0,0.0
41,0,50.0,150.0,0.0,-66.0,58.0,0.0
42,1,75.0,150.0,0.0,-41.0,58.0,0.0
43,0,100.0,150.0,0.0,-16.0,58.0,0.0
44,0,125.0,150.0,0.0,9.0,58.0,0.0
45,1,150.0,150.0,0.0,34.0,58.0,0.0
46,0,175.0,150.0,0.0,59.0,58.0,0.0
47,1,200.0,150.0,0.0,84.0,58.0,0.0
