camera,ros_frame_count,timestamp,charuco_id,paper_x_mm,paper_y_mm,paper_z_mm,u_raw_px,v_raw_px,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk2,1,1786446723.753932,7,84.0,58.0,0.0,420.5955810546875,339.4196472167969,420.5955810546875,339.4196472167969,12,9
ihawk1,3,1786446723.798654,5,34.0,58.0,0.0,301.3038635253906,293.306396484375,301.3038635253906,293.306396484375,4,2
ihawk2,2,1786446723.793866,7,84.0,58.0,0.0,420.60150146484375,339.41650390625,420.60150146484375,339.41650390625,13,9
ihawk2,2,1786446723.793866,31,84.0,-17.0,0.0,405.62982177734375,296.9892883300781,405.62982177734375,296.9892883300781,13,9
ihawk2,3,1786446723.853965,7,84.0,58.0,0.0,420.5710754394531,339.45391845703125,420.5710754394531,339.45391845703125,13,9
ihawk2,3,1786446723.853965,31,84.0,-17.0,0.0,405.66925048828125,297.0281982421875,405.66925048828125,297.0281982421875,13,9
ihawk1,5,1786446723.898646,31,84.0,-17.0,0.0,344.9690246582031,271.9694519042969,344.9690246582031,271.9694519042969,5,4
ihawk2,4,1786446723.893842,7,84.0,58.0,0.0,420.5822448730469,339.44677734375,420.5822448730469,339.44677734375,13,10
ihawk2,4,1786446723.893842,31,84.0,-17.0,0.0,405.71136474609375,297.1158752441406,405.71136474609375,297.1158752441406,13,10
ihawk1,6,1786446723.928336,31,84.0,-17.0,0.0,345.1015625,272.4587097167969,345.1015625,272.4587097167969,4,3
ihawk2,5,1786446723.917972,7,84.0,58.0,0.0,420.5568542480469,339.4661865234375,420.5568542480469,339.4661865234375,12,10
ihawk2,5,1786446723.917972,31,84.0,-17.0,0.0,405.69195556640625,297.0792541503906,405.69195556640625,297.0792541503906,12,10
ihawk1,7,1786446723.968694,31,84.0,-17.0,0.0,344.9685974121094,271.9814147949219,344.9685974121094,271.9814147949219,5,4
ihawk2,6,1786446723.953985,7,84.0,58.0,0.0,420.58148193359375,339.4521179199219,420.58148193359375,339.4521179199219,14,12
ihawk2,6,1786446723.953985,31,84.0,-17.0,0.0,405.7191162109375,297.1394958496094,405.7191162109375,297.1394958496094,14,12
ihawk2,7,1786446723.984449,7,84.0,58.0,0.0,420.5938720703125,339.45379638671875,420.5938720703125,339.45379638671875,13,10
ihawk2,7,1786446723.984449,31,84.0,-17.0,0.0,405.6893310546875,297.0909118652344,405.6893310546875,297.0909118652344,13,10
ihawk2,8,1786446724.023904,7,84.0,58.0,0.0,420.58380126953125,339.4339294433594,420.58380126953125,339.4339294433594,13,10
ihawk2,8,1786446724.023904,31,84.0,-17.0,0.0,405.7091064453125,297.1246643066406,405.7091064453125,297.1246643066406,13,10
ihawk2,9,1786446724.083931,7,84.0,58.0,0.0,420.6029052734375,339.4485778808594,420.6029052734375,339.4485778808594,11,6
ihawk2,9,1786446724.083931,31,84.0,-17.0,0.0,405.70819091796875,297.1226501464844,405.70819091796875,297.1226501464844,11,6
ihawk2,10,1786446724.123851,7,84.0,58.0,0.0,420.5841064453125,339.4534912109375,420.5841064453125,339.4534912109375,13,10
ihawk2,10,1786446724.123851,31,84.0,-17.0,0.0,405.6733093261719,297.06890869140625,405.6733093261719,297.06890869140625,13,10
ihawk2,11,1786446724.148905,7,84.0,58.0,0.0,420.5863037109375,339.4471435546875,420.5863037109375,339.4471435546875,13,10
ihawk2,11,1786446724.148905,31,84.0,-17.0,0.0,405.6879577636719,297.08258056640625,405.6879577636719,297.08258056640625,13,10
ihawk2,12,1786446724.183945,7,84.0,58.0,0.0,420.5719299316406,339.451904296875,420.5719299316406,339.451904296875,13,10
ihawk2,12,1786446724.183945,31,84.0,-17.0,0.0,405.6842346191406,297.05218505859375,405.6842346191406,297.05218505859375,13,10
ihawk2,13,1786446724.224344,7,84.0,58.0,0.0,420.5926818847656,339.44305419921875,420.5926818847656,339.44305419921875,11,9
ihawk2,14,1786446724.247886,7,84.0,58.0,0.0,420.5749816894531,339.4513244628906,420.5749816894531,339.4513244628906,12,9
ihawk2,15,1786446724.284333,7,84.0,58.0,0.0,420.59002685546875,339.43304443359375,420.59002685546875,339.43304443359375,13,10
ihawk2,15,1786446724.284333,31,84.0,-17.0,0.0,405.7020568847656,297.0896911621094,405.7020568847656,297.0896911621094,13,10
ihawk2,16,1786446724.353967,7,84.0,58.0,0.0,420.5386047363281,339.47967529296875,420.5386047363281,339.47967529296875,13,9
