camera,charuco_id,is_formal_12spread,paper_x_mm,paper_y_mm,all_detection_count,formal_sample_count
ihawk1,0,1,-91.0,58.0,0,0
ihawk1,1,0,-66.0,58.0,0,0
ihawk1,2,1,-41.0,58.0,0,0
ihawk1,3,0,-16.0,58.0,0,0
ihawk1,4,0,9.0,58.0,0,0
ihawk1,5,1,34.0,58.0,361,20
ihawk1,6,0,59.0,58.0,748,0
ihawk1,7,1,84.0,58.0,411,20
ihawk1,8,0,-91.0,33.0,0,0
ihawk1,9,0,-66.0,33.0,0,0
ihawk1,10,0,-41.0,33.0,0,0
ihawk1,11,0,-16.0,33.0,0,0
ihawk1,12,0,9.0,33.0,0,0
ihawk1,13,0,34.0,33.0,0,0
ihawk1,14,0,59.0,33.0,1524,0
ihawk1,15,0,84.0,33.0,700,0
ihawk1,16,0,-91.0,8.0,0,0
ihawk1,17,0,-66.0,8.0,0,0
ihawk1,18,0,-41.0,8.0,0,0
ihawk1,19,0,-16.0,8.0,0,0
ihawk1,20,0,9.0,8.0,0,0
ihawk1,21,0,34.0,8.0,0,0
ihawk1,22,0,59.0,8.0,0,0
ihawk1,23,0,84.0,8.0,884,0
ihawk1,24,1,-91.0,-17.0,0,0
ihawk1,25,0,-66.0,-17.0,0,0
ihawk1,26,1,-41.0,-17.0,0,0
ihawk1,27,0,-16.0,-17.0,0,0
ihawk1,28,0,9.0,-17.0,0,0
ihawk1,29,1,34.0,-17.0,0,0
ihawk1,30,0,59.0,-17.0,0,0
ihawk1,31,1,84.0,-17.0,187,20
ihawk1,32,0,-91.0,-42.0,0,0
ihawk1,33,0,-66.0,-42.0,0,0
ihawk1,34,0,-41.0,-42.0,0,0
ihawk1,35,0,-16.0,-42.0,0,0
ihawk1,36,0,9.0,-42.0,0,0
ihawk1,37,0,34.0,-42.0,0,0
ihawk1,38,0,59.0,-42.0,0,0
ihawk1,39,0,84.0,-42.0,0,0
ihawk1,40,1,-91.0,-67.0,0,0
ihawk1,41,0,-66.0,-67.0,0,0
ihawk1,42,1,-41.0,-67.0,0,0
ihawk1,43,0,-16.0,-67.0,0,0
ihawk1,44,0,9.0,-67.0,0,0
ihawk1,45,1,34.0,-67.0,0,0
ihawk1,46,0,59.0,-67.0,0,0
ihawk1,47,1,84.0,-67.0,0,0
ihawk2,0,1,-91.0,58.0,0,0
ihawk2,1,0,-66.0,58.0,0,0
ihawk2,2,1,-41.0,58.0,14,14
ihawk2,3,0,-16.0,58.0,1395,0
ihawk2,4,0,9.0,58.0,0,0
ihawk2,5,1,34.0,58.0,0,0
ihawk2,6,0,59.0,58.0,1513,0
ihawk2,7,1,84.0,58.0,1500,20
ihawk2,8,0,-91.0,33.0,63,0
ihawk2,9,0,-66.0,33.0,0,0
ihawk2,10,0,-41.0,33.0,0,0
ihawk2,11,0,-16.0,33.0,0,0
ihawk2,12,0,9.0,33.0,1135,0
ihawk2,13,0,34.0,33.0,1135,0
ihawk2,14,0,59.0,33.0,1513,0
ihawk2,15,0,84.0,33.0,1500,0
ihawk2,16,0,-91.0,8.0,63,0
ihawk2,17,0,-66.0,8.0,0,0
ihawk2,18,0,-41.0,8.0,0,0
ihawk2,19,0,-16.0,8.0,0,0
ihawk2,20,0,9.0,8.0,1111,0
ihawk2,21,0,34.0,8.0,4,0
ihawk2,22,0,59.0,8.0,4,0
ihawk2,23,0,84.0,8.0,1509,0
ihawk2,24,1,-91.0,-17.0,0,0
ihawk2,25,0,-66.0,-17.0,0,0
ihawk2,26,1,-41.0,-17.0,0,0
ihawk2,27,0,-16.0,-17.0,65,0
ihawk2,28,0,9.0,-17.0,12,0
ihawk2,29,1,34.0,-17.0,0,0
ihawk2,30,0,59.0,-17.0,3,0
ihawk2,31,1,84.0,-17.0,712,20
ihawk2,32,0,-91.0,-42.0,0,0
ihawk2,33,0,-66.0,-42.0,0,0
ihawk2,34,0,-41.0,-42.0,57,0
ihawk2,35,0,-16.0,-42.0,0,0
ihawk2,36,0,9.0,-42.0,0,0
ihawk2,37,0,34.0,-42.0,0,0
ihawk2,38,0,59.0,-42.0,0,0
ihawk2,39,0,84.0,-42.0,0,0
ihawk2,40,1,-91.0,-67.0,0,0
ihawk2,41,0,-66.0,-67.0,0,0
ihawk2,42,1,-41.0,-67.0,0,0
ihawk2,43,0,-16.0,-67.0,0,0
ihawk2,44,0,9.0,-67.0,0,0
ihawk2,45,1,34.0,-67.0,0,0
ihawk2,46,0,59.0,-67.0,0,0
ihawk2,47,1,84.0,-67.0,0,0
