resolution_id,width_px,height_px,scale_x,scale_y,run_id,camera_id,height_gt_mm,frame_index,marker_id,board_position,marker_gt_x_mm,marker_gt_y_mm,qc_excluded,detected,center_u_px,center_v_px,center_u_native_equiv_px,center_v_native_equiv_px,center_drift_from_native_px,corner_rmse_drift_from_native_px,corner0_u_px,corner0_v_px,corner1_u_px,corner1_v_px,corner2_u_px,corner2_v_px,corner3_u_px,corner3_v_px
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,1,0,TL,-70.0,113.5,0,1,221.87835693359375,227.0742073059082,221.87835693359375,227.0742073059082,0.0,0.0,201.7101593017578,225.21990966796875,229.04539489746094,216.2091064453125,242.54620361328125,228.4794158935547,214.211669921875,238.38839721679688
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,1,1,TR,70.0,113.5,0,1,292.18768310546875,203.348876953125,292.18768310546875,203.348876953125,0.0,0.0,273.9132995605469,202.11685180664062,295.7132568359375,194.33087158203125,310.66015625,204.4494171142578,288.4640197753906,212.4983673095703
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,1,2,BL,-70.0,-113.5,0,1,300.0876693725586,304.7953643798828,300.0876693725586,304.7953643798828,0.0,0.0,273.2266540527344,301.4669189453125,304.70654296875,286.2033996582031,327.5701904296875,306.802490234375,294.8472900390625,324.7086486816406
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,1,3,BR,70.0,-113.5,0,1,379.27919006347656,264.62964630126953,379.27919006347656,264.62964630126953,0.0,0.0,355.16815185546875,262.1736755371094,379.1332702636719,250.22506713867188,403.5528869628906,266.3324890136719,379.262451171875,279.787353515625
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,1,4,C,0.0,0.0,0,1,295.49749755859375,244.7197036743164,295.49749755859375,244.7197036743164,0.0,0.0,273.65283203125,242.06092834472656,299.4941711425781,232.584228515625,317.5506591796875,246.5741424560547,291.2923278808594,257.6595153808594
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,1,0,TL,-70.0,113.5,0,1,165.8723030090332,170.34007263183594,221.3297373453776,227.28676350911456,0.588356687814431,1.160201535464822,151.32403564453125,168.8122100830078,170.02188110351562,162.57679748535156,181.72531127929688,171.31312561035156,160.41798400878906,178.6581573486328
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,1,1,TR,70.0,113.5,0,1,219.48127365112305,152.38845825195312,292.80836486816406,203.35127766927084,0.620686405506495,1.0419345698651008,205.40966796875,151.38462829589844,222.0,146.0,232.8726043701172,153.30140686035156,217.642822265625,158.8677978515625
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,1,2,BL,-70.0,-113.5,0,1,224.96367263793945,228.52217483520508,300.1182301839193,304.86289978027344,0.07412822334945872,0.10310256352998672,204.7678985595703,226.07562255859375,228.46705627441406,214.51577758789062,245.59930419921875,230.0210418701172,221.0204315185547,243.47625732421875
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,1,3,BR,70.0,-113.5,0,1,284.59793853759766,198.66650772094727,379.6305847167969,265.0553436279297,0.5519931306707597,0.696481538204628,266.3396911621094,196.45025634765625,284.512451171875,188.27723693847656,302.8106689453125,200.0679473876953,284.72894287109375,209.87059020996094
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,1,4,C,0.0,0.0,0,1,221.46397399902344,183.43325424194336,295.45196533203125,244.7443389892578,0.05176951224418774,0.26382728309416953,205.22021484375,181.3892364501953,224.2732391357422,174.58673095703125,237.9842529296875,184.68992614746094,218.37818908691406,193.06712341308594
