resolution_id,width_px,height_px,camera_id,height_gt_mm,expected_marker_observations,detected_marker_observations,marker_detection_rate,expected_images,complete_five_marker_images,complete_image_rate
r640x400,640,400,ihawk1,0.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,5.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,10.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,15.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,20.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,25.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,30.0,60,60,1.0,12,12,1.0
r640x400,640,400,ihawk1,35.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,40.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,45.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,50.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk1,ALL,810,810,1.0,162,162,1.0
r640x400,640,400,ihawk2,0.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,5.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,10.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,15.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,20.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,25.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,30.0,60,60,1.0,12,12,1.0
r640x400,640,400,ihawk2,35.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,40.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,45.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,50.0,75,75,1.0,15,15,1.0
r640x400,640,400,ihawk2,ALL,810,810,1.0,162,162,1.0
r480x300,480,300,ihawk1,0.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk1,5.0,75,74,0.9866666666666667,15,14,0.9333333333333333
r480x300,480,300,ihawk1,10.0,75,72,0.96,15,12,0.8
r480x300,480,300,ihawk1,15.0,75,74,0.9866666666666667,15,14,0.9333333333333333
r480x300,480,300,ihawk1,20.0,75,71,0.9466666666666667,15,11,0.7333333333333333
r480x300,480,300,ihawk1,25.0,75,66,0.88,15,9,0.6
r480x300,480,300,ihawk1,30.0,60,57,0.95,12,9,0.75
r480x300,480,300,ihawk1,35.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk1,40.0,75,66,0.88,15,6,0.4
r480x300,480,300,ihawk1,45.0,75,69,0.92,15,9,0.6
r480x300,480,300,ihawk1,50.0,75,73,0.9733333333333334,15,13,0.8666666666666667
r480x300,480,300,ihawk1,ALL,810,772,0.9530864197530864,162,127,0.7839506172839507
r480x300,480,300,ihawk2,0.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,5.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,10.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,15.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,20.0,75,73,0.9733333333333334,15,13,0.8666666666666667
r480x300,480,300,ihawk2,25.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,30.0,60,60,1.0,12,12,1.0
r480x300,480,300,ihawk2,35.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,40.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,45.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,50.0,75,75,1.0,15,15,1.0
r480x300,480,300,ihawk2,ALL,810,808,0.9975308641975309,162,160,0.9876543209876543
r320x200,320,200,ihawk1,0.0,75,63,0.84,15,3,0.2
r320x200,320,200,ihawk1,5.0,75,53,0.7066666666666667,15,0,0.0
r320x200,320,200,ihawk1,10.0,75,51,0.68,15,3,0.2
r320x200,320,200,ihawk1,15.0,75,63,0.84,15,3,0.2
r320x200,320,200,ihawk1,20.0,75,62,0.8266666666666667,15,8,0.5333333333333333
r320x200,320,200,ihawk1,25.0,75,60,0.8,15,2,0.13333333333333333
r320x200,320,200,ihawk1,30.0,60,48,0.8,12,3,0.25
r320x200,320,200,ihawk1,35.0,75,57,0.76,15,3,0.2
r320x200,320,200,ihawk1,40.0,75,57,0.76,15,3,0.2
r320x200,320,200,ihawk1,45.0,75,54,0.72,15,0,0.0
r320x200,320,200,ihawk1,50.0,75,54,0.72,15,3,0.2
r320x200,320,200,ihawk1,ALL,810,622,0.7679012345679013,162,31,0.19135802469135801
r320x200,320,200,ihawk2,0.0,75,75,1.0,15,15,1.0
r320x200,320,200,ihawk2,5.0,75,75,1.0,15,15,1.0
r320x200,320,200,ihawk2,10.0,75,65,0.8666666666666667,15,6,0.4
r320x200,320,200,ihawk2,15.0,75,72,0.96,15,12,0.8
r320x200,320,200,ihawk2,20.0,75,70,0.9333333333333333,15,10,0.6666666666666666
r320x200,320,200,ihawk2,25.0,75,75,1.0,15,15,1.0
r320x200,320,200,ihawk2,30.0,60,54,0.9,12,6,0.5
r320x200,320,200,ihawk2,35.0,75,66,0.88,15,6,0.4
r320x200,320,200,ihawk2,40.0,75,69,0.92,15,10,0.6666666666666666
r320x200,320,200,ihawk2,45.0,75,72,0.96,15,12,0.8
r320x200,320,200,ihawk2,50.0,75,69,0.92,15,9,0.6
r320x200,320,200,ihawk2,ALL,810,762,0.9407407407407408,162,116,0.7160493827160493
r240x150,240,150,ihawk1,0.0,75,40,0.5333333333333333,15,0,0.0
r240x150,240,150,ihawk1,5.0,75,30,0.4,15,0,0.0
r240x150,240,150,ihawk1,10.0,75,32,0.4266666666666667,15,0,0.0
r240x150,240,150,ihawk1,15.0,75,27,0.36,15,0,0.0
r240x150,240,150,ihawk1,20.0,75,33,0.44,15,0,0.0
r240x150,240,150,ihawk1,25.0,75,28,0.37333333333333335,15,0,0.0
r240x150,240,150,ihawk1,30.0,60,21,0.35,12,0,0.0
r240x150,240,150,ihawk1,35.0,75,30,0.4,15,0,0.0
r240x150,240,150,ihawk1,40.0,75,34,0.4533333333333333,15,0,0.0
r240x150,240,150,ihawk1,45.0,75,40,0.5333333333333333,15,0,0.0
r240x150,240,150,ihawk1,50.0,75,39,0.52,15,0,0.0
r240x150,240,150,ihawk1,ALL,810,354,0.43703703703703706,162,0,0.0
r240x150,240,150,ihawk2,0.0,75,63,0.84,15,3,0.2
r240x150,240,150,ihawk2,5.0,75,55,0.7333333333333333,15,4,0.26666666666666666
r240x150,240,150,ihawk2,10.0,75,58,0.7733333333333333,15,3,0.2
r240x150,240,150,ihawk2,15.0,75,48,0.64,15,0,0.0
r240x150,240,150,ihawk2,20.0,75,53,0.7066666666666667,15,3,0.2
r240x150,240,150,ihawk2,25.0,75,55,0.7333333333333333,15,1,0.06666666666666667
r240x150,240,150,ihawk2,30.0,60,43,0.7166666666666667,12,0,0.0
r240x150,240,150,ihawk2,35.0,75,48,0.64,15,0,0.0
r240x150,240,150,ihawk2,40.0,75,57,0.76,15,3,0.2
r240x150,240,150,ihawk2,45.0,75,48,0.64,15,0,0.0
r240x150,240,150,ihawk2,50.0,75,54,0.72,15,0,0.0
r240x150,240,150,ihawk2,ALL,810,582,0.7185185185185186,162,17,0.10493827160493827
r160x100,160,100,ihawk1,0.0,75,7,0.09333333333333334,15,0,0.0
r160x100,160,100,ihawk1,5.0,75,6,0.08,15,0,0.0
r160x100,160,100,ihawk1,10.0,75,3,0.04,15,0,0.0
r160x100,160,100,ihawk1,15.0,75,9,0.12,15,0,0.0
r160x100,160,100,ihawk1,20.0,75,0,0.0,15,0,0.0
r160x100,160,100,ihawk1,25.0,75,6,0.08,15,0,0.0
r160x100,160,100,ihawk1,30.0,60,0,0.0,12,0,0.0
r160x100,160,100,ihawk1,35.0,75,6,0.08,15,0,0.0
r160x100,160,100,ihawk1,40.0,75,0,0.0,15,0,0.0
r160x100,160,100,ihawk1,45.0,75,6,0.08,15,0,0.0
r160x100,160,100,ihawk1,50.0,75,6,0.08,15,0,0.0
r160x100,160,100,ihawk1,ALL,810,49,0.06049382716049383,162,0,0.0
r160x100,160,100,ihawk2,0.0,75,27,0.36,15,0,0.0
r160x100,160,100,ihawk2,5.0,75,27,0.36,15,0,0.0
r160x100,160,100,ihawk2,10.0,75,21,0.28,15,0,0.0
r160x100,160,100,ihawk2,15.0,75,24,0.32,15,0,0.0
r160x100,160,100,ihawk2,20.0,75,27,0.36,15,0,0.0
r160x100,160,100,ihawk2,25.0,75,30,0.4,15,0,0.0
r160x100,160,100,ihawk2,30.0,60,4,0.06666666666666667,12,0,0.0
r160x100,160,100,ihawk2,35.0,75,18,0.24,15,0,0.0
r160x100,160,100,ihawk2,40.0,75,27,0.36,15,0,0.0
