profile,resolution_id,width_px,height_px,camera_id,model,height_gt_mm,n_independent_rebuilds,xy_rmse_p95_observed_mm,xy_rmse_p95_limit_mm,marker_detection_rate,marker_detection_rate_min,pipeline_latency_p95_ms,pipeline_latency_p95_limit_ms,feasible,failed_gates
precision_30hz,r640x400,640,400,ihawk1,Affine,0.0,5,11.641533751508653,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,5.0,5,15.880418310760971,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,10.0,5,19.40449445328279,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,15.0,5,25.662129522959457,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,20.0,5,31.562334592797797,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,25.0,5,37.58824129978099,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,30.0,4,43.629216918088936,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,35.0,5,51.890443220166276,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,40.0,5,58.755242696523936,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,45.0,5,67.56624056354431,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Affine,50.0,5,73.53195339918238,2.0,1.0,0.99,6.658514299999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,0.0,5,0.3216514062833197,2.0,1.0,0.99,6.657664599999999,33.3,1,
precision_30hz,r640x400,640,400,ihawk1,Homography,5.0,5,11.441453879393661,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,10.0,5,17.079979414135046,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,15.0,5,25.234517612290098,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,20.0,5,33.41104803662469,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,25.0,5,40.48358456953239,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,30.0,4,48.03466258031784,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,35.0,5,58.54410643501662,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,40.0,5,67.68182426928449,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,45.0,5,79.03019030761278,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,Homography,50.0,5,87.13723014465889,2.0,1.0,0.99,6.657664599999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk1,PnP,0.0,5,8.658761187000637,2.0,1.0,0.99,8.149156099999999,33.3,0,accuracy
