resolution_id,width_px,height_px,camera_id,model,summary_type,height_gt_mm,n_paired_rebuilds,downsampling_penalty_mean_mm,downsampling_penalty_median_mm,downsampling_penalty_p95_mm,penalty_vs_height_slope_mean_mm_per_mm,penalty_vs_height_slope_sd_mm_per_mm,amplification_0_to_50_mean_mm,amplification_0_to_50_sd_mm
r480x300,480,300,ihawk1,Affine,height_specific,0.0,5,0.17914297048751493,0.1613278321002749,0.5417780024364773,,,,
r480x300,480,300,ihawk1,Affine,height_specific,5.0,4,0.029639036406998276,-0.03870033493653491,0.22401255276968363,,,,
r480x300,480,300,ihawk1,Affine,height_specific,10.0,4,0.04413413484908979,-0.16036985925863334,0.6477910923216996,,,,
r480x300,480,300,ihawk1,Affine,height_specific,15.0,4,0.18104799328007193,0.19637756728320355,0.4761475945055375,,,,
r480x300,480,300,ihawk1,Affine,height_specific,20.0,3,0.004604441516725899,-0.3317931932224987,0.6131368055623638,,,,
r480x300,480,300,ihawk1,Affine,height_specific,25.0,3,0.5979894130015566,0.06741406451734377,1.774310036709307,,,,
r480x300,480,300,ihawk1,Affine,height_specific,30.0,3,0.6093137143141002,0.5449708737172685,0.7442906920958414,,,,
r480x300,480,300,ihawk1,Affine,height_specific,35.0,5,0.7021582072407057,0.6874505421802297,0.8907735531586354,,,,
r480x300,480,300,ihawk1,Affine,height_specific,40.0,2,1.2157788278048933,1.2157788278048933,1.3895736375885472,,,,
r480x300,480,300,ihawk1,Affine,height_specific,45.0,2,0.5242076735782604,0.5242076735782604,0.7646919460439463,,,,
r480x300,480,300,ihawk1,Affine,height_specific,50.0,4,0.4602739305046555,0.3827188224539668,1.2142972054798764,,,,
r480x300,480,300,ihawk1,Affine,height_amplification,ALL,3,,,,0.01593159565534206,0.004195387245940335,0.39504547532925827,0.5594432601923688
r480x300,480,300,ihawk1,Homography,height_specific,0.0,5,0.39615128206357536,0.39860473208997016,0.57715635173574,,,,
r480x300,480,300,ihawk1,Homography,height_specific,5.0,4,0.04418863130446016,-0.1673948800887386,0.8629268876014986,,,,
r480x300,480,300,ihawk1,Homography,height_specific,10.0,4,0.12848630283135964,-0.02869309335539061,0.9772576655518628,,,,
r480x300,480,300,ihawk1,Homography,height_specific,15.0,4,0.8090400606416583,0.7190001007486337,1.6239508068538966,,,,
r480x300,480,300,ihawk1,Homography,height_specific,20.0,3,0.5720220072783538,0.10235019200170115,1.7134951857369969,,,,
r480x300,480,300,ihawk1,Homography,height_specific,25.0,3,1.1057264236621454,0.43669319448741106,2.9261365973506006,,,,
r480x300,480,300,ihawk1,Homography,height_specific,30.0,3,1.7283071812493798,1.5524562531372297,2.387581650166105,,,,
r480x300,480,300,ihawk1,Homography,height_specific,35.0,5,1.5570716382697867,1.655424361631482,2.755322723682124,,,,
r480x300,480,300,ihawk1,Homography,height_specific,40.0,2,1.9973263019737324,1.9973263019737324,2.030550851819412,,,,
r480x300,480,300,ihawk1,Homography,height_specific,45.0,2,0.3892981278896528,0.3892981278896528,0.6145769237500666,,,,
r480x300,480,300,ihawk1,Homography,height_specific,50.0,4,0.96554261087417,0.9983178497797667,2.140433824733085,,,,
r480x300,480,300,ihawk1,Homography,height_amplification,ALL,3,,,,0.03088799857323089,0.008385796873975445,0.6245948386085158,1.0829729819879936
r480x300,480,300,ihawk1,PnP,height_specific,0.0,5,3.812874033552396,4.742065557601153,6.423629854748921,,,,
r480x300,480,300,ihawk1,PnP,height_specific,5.0,4,2.9326831903008785,4.291530293363463,5.113249493905153,,,,
r480x300,480,300,ihawk1,PnP,height_specific,10.0,4,5.293364734151553,4.8370261523911555,8.148774280097852,,,,
r480x300,480,300,ihawk1,PnP,height_specific,15.0,4,3.4206169047058177,3.4218102212967185,3.6145335326012953,,,,
r480x300,480,300,ihawk1,PnP,height_specific,20.0,3,2.2731303907601874,1.9031726711625314,2.969647813410891,,,,
r480x300,480,300,ihawk1,PnP,height_specific,25.0,3,2.979666455543178,4.423932133241731,5.130407531716522,,,,
r480x300,480,300,ihawk1,PnP,height_specific,30.0,3,0.8077631908840672,0.5865829047571189,2.0024032883409517,,,,
r480x300,480,300,ihawk1,PnP,height_specific,35.0,5,5.946099004522819,5.720359882607976,10.822927836661357,,,,
r480x300,480,300,ihawk1,PnP,height_specific,40.0,2,6.956841631577656,6.956841631577656,10.902012333261567,,,,
r480x300,480,300,ihawk1,PnP,height_specific,45.0,2,4.240706573967474,4.240706573967474,5.201503582722915,,,,
r480x300,480,300,ihawk1,PnP,height_specific,50.0,4,2.184463237799232,1.813918318812913,4.925366051477363,,,,
r480x300,480,300,ihawk1,PnP,height_amplification,ALL,3,,,,0.023820897572462234,0.06690911197749541,-1.2610359231201476,5.803099533698255
r480x300,480,300,ihawk2,Affine,height_specific,0.0,5,-0.0015664486429042058,0.003113022050733605,0.02203295868150761,,,,
r480x300,480,300,ihawk2,Affine,height_specific,5.0,5,0.031841409772068376,0.003556742506024335,0.11346517434695008,,,,
r480x300,480,300,ihawk2,Affine,height_specific,10.0,5,0.07247499549945076,-0.025032138958197336,0.26162731177406007,,,,
r480x300,480,300,ihawk2,Affine,height_specific,15.0,5,0.03945388236541732,0.022982801746223913,0.18315843788583022,,,,
