resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,qc_excluded,n_expected_markers_detected,complete_five_marker_detection,resize_latency_median_ms_excluded_from_pipeline,resize_latency_p95_ms_excluded_from_pipeline,detection_latency_median_ms,detection_latency_p95_ms,detection_timing_repeats
r640x400,640,400,20260808_131913,ihawk1,0.0,1,0,5,1,0.0,0.0,4.7843,5.0680000000000005,5
r480x300,480,300,20260808_131913,ihawk1,0.0,1,0,5,1,0.6496,0.78188,3.0615,3.11692,5
r320x200,320,200,20260808_131913,ihawk1,0.0,1,0,4,0,0.0348,0.03642,2.0006,2.15376,5
r240x150,240,150,20260808_131913,ihawk1,0.0,1,0,3,0,0.4239,0.43422,1.2669,2.0105999999999997,5
r160x100,160,100,20260808_131913,ihawk1,0.0,1,0,1,0,0.1591,0.18408,2.28,2.32706,5
r640x400,640,400,20260808_131913,ihawk1,0.0,2,0,5,1,0.0,0.0,4.6296,5.01494,5
r480x300,480,300,20260808_131913,ihawk1,0.0,2,0,5,1,0.6098,0.6157,2.9326,3.24992,5
r320x200,320,200,20260808_131913,ihawk1,0.0,2,0,4,0,0.0373,0.039920000000000004,1.937,2.08316,5
r240x150,240,150,20260808_131913,ihawk1,0.0,2,0,3,0,0.416,0.4231,1.2645,1.9462799999999998,5
r160x100,160,100,20260808_131913,ihawk1,0.0,2,0,0,0,0.157,0.1833,2.3505,2.39346,5
r640x400,640,400,20260808_131913,ihawk1,0.0,3,0,5,1,0.0,0.0,4.7421,4.81074,5
r480x300,480,300,20260808_131913,ihawk1,0.0,3,0,5,1,0.6649,0.67626,2.8944,3.75834,5
r320x200,320,200,20260808_131913,ihawk1,0.0,3,0,4,0,0.0346,0.04597999999999999,2.0151,2.91156,5
r240x150,240,150,20260808_131913,ihawk1,0.0,3,0,3,0,0.4159,0.42438,1.2783,1.35962,5
r160x100,160,100,20260808_131913,ihawk1,0.0,3,0,0,0,0.1594,0.16524,2.4111,2.44208,5
r640x400,640,400,20260808_131913,ihawk1,5.0,1,0,5,1,0.0,0.0,4.7885,4.9379800000000005,5
r480x300,480,300,20260808_131913,ihawk1,5.0,1,0,5,1,0.6019,0.6501399999999999,3.0149,3.1358800000000002,5
r320x200,320,200,20260808_131913,ihawk1,5.0,1,0,4,0,0.0347,0.036539999999999996,1.876,1.89394,5
r240x150,240,150,20260808_131913,ihawk1,5.0,1,0,3,0,0.4212,0.48188000000000003,1.2945,1.3586,5
r160x100,160,100,20260808_131913,ihawk1,5.0,1,0,1,0,0.209,0.21944,2.4098,2.4819400000000003,5
r640x400,640,400,20260808_131913,ihawk1,5.0,2,0,5,1,0.0,0.0,4.6285,5.40154,5
r480x300,480,300,20260808_131913,ihawk1,5.0,2,0,5,1,0.6029,0.60498,2.9807,3.1128199999999997,5
r320x200,320,200,20260808_131913,ihawk1,5.0,2,0,4,0,0.0345,0.03774,1.9066,2.0034400000000003,5
r240x150,240,150,20260808_131913,ihawk1,5.0,2,0,3,0,0.4151,0.42588,1.3466,1.6713200000000001,5
r160x100,160,100,20260808_131913,ihawk1,5.0,2,0,1,0,0.1578,0.1645,2.5493,3.0881000000000003,5
r640x400,640,400,20260808_131913,ihawk1,5.0,3,0,5,1,0.0,0.0,5.0671,5.33384,5
r480x300,480,300,20260808_131913,ihawk1,5.0,3,0,5,1,0.598,0.6088,2.9759,3.1743799999999998,5
r320x200,320,200,20260808_131913,ihawk1,5.0,3,0,4,0,0.0346,0.0372,1.8974,2.0412999999999997,5
r240x150,240,150,20260808_131913,ihawk1,5.0,3,0,3,0,0.4132,0.42316000000000004,1.3804,1.90944,5
r160x100,160,100,20260808_131913,ihawk1,5.0,3,0,1,0,0.1588,0.17904,2.4108,3.0768999999999997,5
r640x400,640,400,20260808_131913,ihawk1,10.0,1,0,5,1,0.0,0.0,4.9322,5.51154,5
r480x300,480,300,20260808_131913,ihawk1,10.0,1,0,5,1,0.5987,0.64988,3.021,3.14386,5
r320x200,320,200,20260808_131913,ihawk1,10.0,1,0,3,0,0.0351,0.03694,2.029,2.187,5
r240x150,240,150,20260808_131913,ihawk1,10.0,1,0,2,0,0.4243,0.42852,1.2906,1.6499199999999998,5
r160x100,160,100,20260808_131913,ihawk1,10.0,1,0,1,0,0.1587,0.16605999999999999,2.4506,2.4682600000000003,5
r640x400,640,400,20260808_131913,ihawk1,10.0,2,0,5,1,0.0,0.0,4.9049,5.16942,5
r480x300,480,300,20260808_131913,ihawk1,10.0,2,0,5,1,0.6114,0.66186,3.0301,3.12188,5
r320x200,320,200,20260808_131913,ihawk1,10.0,2,0,3,0,0.0367,0.04632,1.9918,2.0347399999999998,5
r240x150,240,150,20260808_131913,ihawk1,10.0,2,0,2,0,0.4208,0.42552,1.2518,1.2836999999999998,5
r160x100,160,100,20260808_131913,ihawk1,10.0,2,0,1,0,0.1587,0.17662,2.3438,2.3848599999999998,5
r640x400,640,400,20260808_131913,ihawk1,10.0,3,0,5,1,0.0,0.0,4.7924,5.289680000000001,5
r480x300,480,300,20260808_131913,ihawk1,10.0,3,0,5,1,0.6051,0.61992,3.1807,3.63226,5
r320x200,320,200,20260808_131913,ihawk1,10.0,3,0,3,0,0.035,0.047779999999999996,1.9508,1.9804599999999999,5
r240x150,240,150,20260808_131913,ihawk1,10.0,3,0,2,0,0.4363,0.44251999999999997,1.2716,1.3170600000000001,5
r160x100,160,100,20260808_131913,ihawk1,10.0,3,0,1,0,0.1574,0.16796,2.2551,2.29508,5
r640x400,640,400,20260808_131913,ihawk1,15.0,1,0,5,1,0.0,0.0,5.1357,5.54356,5
r480x300,480,300,20260808_131913,ihawk1,15.0,1,0,5,1,0.6231,0.67082,3.1225,3.33868,5
r320x200,320,200,20260808_131913,ihawk1,15.0,1,0,4,0,0.0386,0.04074,2.1005,2.3121199999999997,5
r240x150,240,150,20260808_131913,ihawk1,15.0,1,0,2,0,0.4328,0.8400199999999999,1.3339,1.84314,5
r160x100,160,100,20260808_131913,ihawk1,15.0,1,0,0,0,0.1553,0.18272,2.5933,2.6885600000000003,5
r640x400,640,400,20260808_131913,ihawk1,15.0,2,0,5,1,0.0,0.0,4.9382,5.594639999999999,5
r480x300,480,300,20260808_131913,ihawk1,15.0,2,0,5,1,0.5986,0.7101,3.207,3.3668,5
r320x200,320,200,20260808_131913,ihawk1,15.0,2,0,4,0,0.0352,0.05924,2.0557,2.46926,5
r240x150,240,150,20260808_131913,ihawk1,15.0,2,0,2,0,0.4353,0.49486,1.3861,1.5359,5
r160x100,160,100,20260808_131913,ihawk1,15.0,2,0,0,0,0.1913,0.45668000000000003,2.5048,2.55272,5
r640x400,640,400,20260808_131913,ihawk1,15.0,3,0,5,1,0.0,0.0,4.8384,5.91512,5
r480x300,480,300,20260808_131913,ihawk1,15.0,3,0,4,0,0.6057,0.62226,3.1447,3.94102,5
r320x200,320,200,20260808_131913,ihawk1,15.0,3,0,4,0,0.0353,0.054060000000000004,2.0619,2.49094,5
r240x150,240,150,20260808_131913,ihawk1,15.0,3,0,2,0,0.4273,0.44098,1.4223,1.47178,5
r160x100,160,100,20260808_131913,ihawk1,15.0,3,0,0,0,0.1584,0.18284,2.6845,2.78728,5
r640x400,640,400,20260808_131913,ihawk1,20.0,1,0,5,1,0.0,0.0,4.6764,4.99458,5
r480x300,480,300,20260808_131913,ihawk1,20.0,1,0,5,1,0.6236,0.65352,3.0177,3.37636,5
r320x200,320,200,20260808_131913,ihawk1,20.0,1,0,5,1,0.0347,0.03966,1.9189,1.9451800000000001,5
r240x150,240,150,20260808_131913,ihawk1,20.0,1,0,1,0,0.4198,0.42285999999999996,1.2662,1.30592,5
r160x100,160,100,20260808_131913,ihawk1,20.0,1,0,0,0,0.1575,0.17074,2.4778,2.55982,5
r640x400,640,400,20260808_131913,ihawk1,20.0,2,0,5,1,0.0,0.0,4.75,4.8624600000000004,5
r480x300,480,300,20260808_131913,ihawk1,20.0,2,0,4,0,0.6043,0.60934,3.0044,3.08004,5
r320x200,320,200,20260808_131913,ihawk1,20.0,2,0,5,1,0.0345,0.036500000000000005,1.9561,2.02386,5
r240x150,240,150,20260808_131913,ihawk1,20.0,2,0,1,0,0.4138,0.4228,1.2812,1.4656,5
r160x100,160,100,20260808_131913,ihawk1,20.0,2,0,0,0,0.1586,0.17587999999999998,2.4864,2.51244,5
r640x400,640,400,20260808_131913,ihawk1,20.0,3,0,5,1,0.0,0.0,4.7925,5.01262,5
r480x300,480,300,20260808_131913,ihawk1,20.0,3,0,5,1,0.6813,0.74068,3.1226,3.3756,5
r320x200,320,200,20260808_131913,ihawk1,20.0,3,0,5,1,0.0351,0.04602,2.0882,2.17122,5
r240x150,240,150,20260808_131913,ihawk1,20.0,3,0,1,0,0.4168,0.5277,1.3235,1.36184,5
r160x100,160,100,20260808_131913,ihawk1,20.0,3,0,0,0,0.1615,0.21778,2.6856,2.70336,5
r640x400,640,400,20260808_131913,ihawk1,25.0,1,0,5,1,0.0,0.0,5.1413,5.21654,5
r480x300,480,300,20260808_131913,ihawk1,25.0,1,0,5,1,0.6575,0.69576,3.3709,3.43928,5
r320x200,320,200,20260808_131913,ihawk1,25.0,1,0,4,0,0.035,0.0388,2.1914,2.32146,5
r240x150,240,150,20260808_131913,ihawk1,25.0,1,0,2,0,0.4207,0.4629,1.3742,1.4779799999999998,5
r160x100,160,100,20260808_131913,ihawk1,25.0,1,0,1,0,0.1585,0.1678,2.6663,2.74434,5
r640x400,640,400,20260808_131913,ihawk1,25.0,2,0,5,1,0.0,0.0,5.0965,5.1849799999999995,5
r480x300,480,300,20260808_131913,ihawk1,25.0,2,0,5,1,0.6106,0.69834,3.322,3.32812,5
r320x200,320,200,20260808_131913,ihawk1,25.0,2,0,4,0,0.0347,0.08843999999999999,2.1705,2.23512,5
r240x150,240,150,20260808_131913,ihawk1,25.0,2,0,2,0,0.4198,0.47400000000000003,1.4304,1.44298,5
r160x100,160,100,20260808_131913,ihawk1,25.0,2,0,1,0,0.1652,0.21889999999999998,2.5796,2.64734,5
r640x400,640,400,20260808_131913,ihawk1,25.0,3,0,5,1,0.0,0.0,5.1403,5.27544,5
r480x300,480,300,20260808_131913,ihawk1,25.0,3,0,5,1,0.6028,0.6220800000000001,3.2187,3.42094,5
r320x200,320,200,20260808_131913,ihawk1,25.0,3,0,4,0,0.0346,0.03736,2.2103,2.27982,5
r240x150,240,150,20260808_131913,ihawk1,25.0,3,0,2,0,0.4202,0.52342,1.4011,1.4988,5
r160x100,160,100,20260808_131913,ihawk1,25.0,3,0,1,0,0.1586,0.19427999999999998,2.6024,2.75146,5
r640x400,640,400,20260808_131913,ihawk1,30.0,1,0,5,1,0.0,0.0,4.9146,6.16144,5
r480x300,480,300,20260808_131913,ihawk1,30.0,1,0,4,0,0.5962,0.60204,3.2745,3.57846,5
r320x200,320,200,20260808_131913,ihawk1,30.0,1,0,3,0,0.0346,0.04768,2.1079,2.40866,5
r240x150,240,150,20260808_131913,ihawk1,30.0,1,0,2,0,0.4493,0.53346,1.4477,1.4912,5
r160x100,160,100,20260808_131913,ihawk1,30.0,1,0,0,0,0.1543,0.1678,2.3732,2.56618,5
r640x400,640,400,20260808_131913,ihawk1,30.0,2,0,5,1,0.0,0.0,5.1341,5.19474,5
