resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,model,markers_per_frame,mapping_latency_median_ms,mapping_timing_outer_repeats,mapping_timing_inner_repeats,detection_latency_median_ms,pipeline_latency_ms
r640x400,640,400,20260808_131913,ihawk1,0.0,1,Affine,5,0.017088000000000002,5,50,4.7843,4.801388
r640x400,640,400,20260808_131913,ihawk1,0.0,1,Homography,5,0.016257999999999998,5,50,4.7843,4.800558
r640x400,640,400,20260808_131913,ihawk1,0.0,1,PnP,5,1.2754219999999998,5,50,4.7843,6.059722
r640x400,640,400,20260808_131913,ihawk1,0.0,2,Affine,5,0.016906,5,50,4.6296,4.646506
r640x400,640,400,20260808_131913,ihawk1,0.0,2,Homography,5,0.01621,5,50,4.6296,4.64581
r640x400,640,400,20260808_131913,ihawk1,0.0,2,PnP,5,1.161824,5,50,4.6296,5.791424
r640x400,640,400,20260808_131913,ihawk1,0.0,3,Affine,5,0.017108,5,50,4.7421,4.759208
r640x400,640,400,20260808_131913,ihawk1,0.0,3,Homography,5,0.016266,5,50,4.7421,4.758366
r640x400,640,400,20260808_131913,ihawk1,0.0,3,PnP,5,1.203062,5,50,4.7421,5.945162
r640x400,640,400,20260808_131913,ihawk1,5.0,1,Affine,5,0.01714,5,50,4.7885,4.80564
r640x400,640,400,20260808_131913,ihawk1,5.0,1,Homography,5,0.016458,5,50,4.7885,4.804958
r640x400,640,400,20260808_131913,ihawk1,5.0,1,PnP,5,1.3295320000000002,5,50,4.7885,6.118032
r640x400,640,400,20260808_131913,ihawk1,5.0,2,Affine,5,0.017216,5,50,4.6285,4.645716
r640x400,640,400,20260808_131913,ihawk1,5.0,2,Homography,5,0.016242,5,50,4.6285,4.644742
r640x400,640,400,20260808_131913,ihawk1,5.0,2,PnP,5,1.2134340000000001,5,50,4.6285,5.841934
r640x400,640,400,20260808_131913,ihawk1,5.0,3,Affine,5,0.017026,5,50,5.0671,5.084126
r640x400,640,400,20260808_131913,ihawk1,5.0,3,Homography,5,0.016319999999999998,5,50,5.0671,5.08342
r640x400,640,400,20260808_131913,ihawk1,5.0,3,PnP,5,1.1816339999999999,5,50,5.0671,6.248734
r640x400,640,400,20260808_131913,ihawk1,10.0,1,Affine,5,0.016906,5,50,4.9322,4.949106
r640x400,640,400,20260808_131913,ihawk1,10.0,1,Homography,5,0.016196,5,50,4.9322,4.948396
r640x400,640,400,20260808_131913,ihawk1,10.0,1,PnP,5,1.334224,5,50,4.9322,6.266424
r640x400,640,400,20260808_131913,ihawk1,10.0,2,Affine,5,0.019096,5,50,4.9049,4.923996
r640x400,640,400,20260808_131913,ihawk1,10.0,2,Homography,5,0.01615,5,50,4.9049,4.921049999999999
r640x400,640,400,20260808_131913,ihawk1,10.0,2,PnP,5,1.5752000000000002,5,50,4.9049,6.4801
r640x400,640,400,20260808_131913,ihawk1,10.0,3,Affine,5,0.017316,5,50,4.7924,4.809716
r640x400,640,400,20260808_131913,ihawk1,10.0,3,Homography,5,0.016364,5,50,4.7924,4.808764
r640x400,640,400,20260808_131913,ihawk1,10.0,3,PnP,5,1.305866,5,50,4.7924,6.098266
r640x400,640,400,20260808_131913,ihawk1,15.0,1,Affine,5,0.016976,5,50,5.1357,5.152676
r640x400,640,400,20260808_131913,ihawk1,15.0,1,Homography,5,0.016294,5,50,5.1357,5.151994
r640x400,640,400,20260808_131913,ihawk1,15.0,1,PnP,5,1.1010980000000001,5,50,5.1357,6.236798
r640x400,640,400,20260808_131913,ihawk1,15.0,2,Affine,5,0.017172,5,50,4.9382,4.9553720000000006
r640x400,640,400,20260808_131913,ihawk1,15.0,2,Homography,5,0.016294,5,50,4.9382,4.954494
r640x400,640,400,20260808_131913,ihawk1,15.0,2,PnP,5,1.105318,5,50,4.9382,6.043518000000001
r640x400,640,400,20260808_131913,ihawk1,15.0,3,Affine,5,0.016936,5,50,4.8384,4.855336
r640x400,640,400,20260808_131913,ihawk1,15.0,3,Homography,5,0.01617,5,50,4.8384,4.85457
r640x400,640,400,20260808_131913,ihawk1,15.0,3,PnP,5,1.1220780000000001,5,50,4.8384,5.960478
r640x400,640,400,20260808_131913,ihawk1,20.0,1,Affine,5,0.018224,5,50,4.6764,4.694624
r640x400,640,400,20260808_131913,ihawk1,20.0,1,Homography,5,0.01611,5,50,4.6764,4.69251
r640x400,640,400,20260808_131913,ihawk1,20.0,1,PnP,5,1.218112,5,50,4.6764,5.894512000000001
r640x400,640,400,20260808_131913,ihawk1,20.0,2,Affine,5,0.020099999999999996,5,50,4.75,4.7701
