run_id,camera_id,height_gt_mm,frame_index,image_relpath,native_detected_markers,native_complete,median_center_difference_from_clean_csv_px,max_center_difference_from_clean_csv_px,qc_excluded,exclusion_reason
20260808_131913,ihawk1,0.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p000p000mm\frame_0001_color.png,5,1,5.320816179680493e-07,3.945470768527325e-06,0,
20260808_131913,ihawk1,0.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p000p000mm\frame_0002_color.png,5,1,3.4542229437115844e-07,5.263500819073664e-07,0,
20260808_131913,ihawk1,0.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p000p000mm\frame_0003_color.png,5,1,4.812569346207528e-07,7.3995640981710255e-06,0,
20260808_131913,ihawk1,5.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p005p000mm\frame_0001_color.png,5,1,4.345837658375254e-07,7.816114323323152e-06,0,
20260808_131913,ihawk1,5.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p005p000mm\frame_0002_color.png,5,1,5.55911851813674e-07,7.139818293254174e-06,0,
20260808_131913,ihawk1,5.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p005p000mm\frame_0003_color.png,5,1,4.638862747622531e-07,3.614166840839192e-06,0,
20260808_131913,ihawk1,10.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p010p000mm\frame_0001_color.png,5,1,4.759608185934849e-07,5.447260630115682e-07,0,
20260808_131913,ihawk1,10.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p010p000mm\frame_0002_color.png,5,1,5.790381413533854e-07,1.6027386619848794e-05,0,
20260808_131913,ihawk1,10.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p010p000mm\frame_0003_color.png,5,1,3.766171828313263e-07,4.0153706710169065e-06,0,
20260808_131913,ihawk1,15.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p015p000mm\frame_0001_color.png,5,1,4.2971004482378486e-07,3.83330566256177e-06,0,
20260808_131913,ihawk1,15.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p015p000mm\frame_0002_color.png,5,1,4.433198624765251e-07,3.5345536406139604e-06,0,
20260808_131913,ihawk1,15.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p015p000mm\frame_0003_color.png,5,1,4.4366178148265414e-07,0.0011186535119450665,0,
20260808_131913,ihawk1,20.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p020p000mm\frame_0001_color.png,5,1,5.432163935679719e-07,0.0002428760261505922,0,
20260808_131913,ihawk1,20.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p020p000mm\frame_0002_color.png,5,1,7.722000783816923e-06,0.0003325802877575655,0,
20260808_131913,ihawk1,20.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p020p000mm\frame_0003_color.png,5,1,5.211453291096518e-07,0.0001813374697750276,0,
20260808_131913,ihawk1,25.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p025p000mm\frame_0001_color.png,5,1,5.323851173878775e-07,0.004339141795449537,0,
20260808_131913,ihawk1,25.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p025p000mm\frame_0002_color.png,5,1,4.112856983514164e-06,0.008179387004428395,0,
20260808_131913,ihawk1,25.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p025p000mm\frame_0003_color.png,5,1,0.00014670738733220693,0.004865359881250287,0,
20260808_131913,ihawk1,30.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p030p000mm\frame_0001_color.png,5,1,4.666377749891002e-07,4.286697928832732e-06,0,
20260808_131913,ihawk1,30.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p030p000mm\frame_0002_color.png,5,1,4.131649833879895e-06,8.554245018033982e-06,0,
20260808_131913,ihawk1,30.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p030p000mm\frame_0003_color.png,5,1,5.666663616922282e-07,0.0020762586847741828,0,
20260808_131913,ihawk1,35.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p035p000mm\frame_0001_color.png,5,1,4.732935277345916e-07,0.0037210649245113573,0,
20260808_131913,ihawk1,35.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p035p000mm\frame_0002_color.png,5,1,4.0905644227955877e-07,0.0036818324171515922,0,
20260808_131913,ihawk1,35.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p035p000mm\frame_0003_color.png,5,1,6.301168938233745e-07,0.0035330600181750025,0,
20260808_131913,ihawk1,40.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p040p000mm\frame_0001_color.png,5,1,4.443310991477493e-07,3.5258004362688102e-06,0,
20260808_131913,ihawk1,40.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p040p000mm\frame_0002_color.png,5,1,3.456051777728745e-06,7.549533578279473e-06,0,
20260808_131913,ihawk1,40.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p040p000mm\frame_0003_color.png,5,1,4.557032500917115e-07,0.9015392101568117,0,
20260808_131913,ihawk1,45.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p045p000mm\frame_0001_color.png,5,1,4.789902195562153e-07,3.8466903039719475e-06,0,
20260808_131913,ihawk1,45.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p045p000mm\frame_0002_color.png,5,1,4.2814582370484044e-07,3.611950892799385e-06,0,
20260808_131913,ihawk1,45.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p045p000mm\frame_0003_color.png,5,1,3.002517639920065e-07,8.011871597874912e-06,0,
20260808_131913,ihawk1,50.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p050p000mm\frame_0001_color.png,5,1,6.112895068415994e-07,0.002893918175973263,0,
20260808_131913,ihawk1,50.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p050p000mm\frame_0002_color.png,5,1,3.145031613548154e-07,0.0025426880087557908,0,
20260808_131913,ihawk1,50.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p050p000mm\frame_0003_color.png,5,1,5.067637243148779e-07,0.0023862020614349123,0,
20260808_131913,ihawk2,0.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p000p000mm\frame_0001_color.png,5,1,4.4176610507729744e-07,7.5541383927920035e-06,0,
20260808_131913,ihawk2,0.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p000p000mm\frame_0002_color.png,5,1,1.0945609133427678e-05,0.0009335345196873458,0,
20260808_131913,ihawk2,0.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p000p000mm\frame_0003_color.png,5,1,4.011860511838718e-07,5.139928437778039e-05,0,
