resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,n_expected_markers,n_valid_markers,complete_five_marker_metric,xy_rmse_mm,xy_mean_mm,xy_median_mm,xy_p95_mm,xy_max_mm,pnp_z_rmse_mm
r640x400,640,400,20260808_131913,ihawk1,Affine,0.0,5,5,1,11.452816135598814,11.149673652479816,10.876515395726429,14.972229411841546,15.837919772350157,
r640x400,640,400,20260808_131913,ihawk1,Affine,5.0,5,5,1,12.1063590352082,11.836045153579898,12.121757914399263,14.437802546700373,14.653161521028327,
r640x400,640,400,20260808_131913,ihawk1,Affine,10.0,5,5,1,16.57348509279924,14.20182565220399,19.36829561464648,22.07445271072708,22.169849754843973,
r640x400,640,400,20260808_131913,ihawk1,Affine,15.0,5,5,1,22.013039857944605,19.0409546077002,25.586163934606393,29.008919290179445,29.12591216087933,
r640x400,640,400,20260808_131913,ihawk1,Affine,20.0,5,5,1,27.908286576934554,25.58754999973421,31.734632354689094,35.64867453109365,35.72522838358294,
r640x400,640,400,20260808_131913,ihawk1,Affine,25.0,5,5,1,34.08573281086368,32.20752444102445,39.75667106022299,41.64301317305425,41.832001763517745,
r640x400,640,400,20260808_131913,ihawk1,Affine,30.0,5,5,1,41.32258488860849,39.74458667346736,46.18642632653322,49.67418661960614,49.9754595547554,
r640x400,640,400,20260808_131913,ihawk1,Affine,35.0,5,5,1,45.55191626041042,44.15758886119248,51.0606045653664,53.862158375615856,54.29881655676071,
r640x400,640,400,20260808_131913,ihawk1,Affine,40.0,5,5,1,52.25387437716749,51.0245744127185,58.07048912759594,60.70971858655556,61.22519163285156,
r640x400,640,400,20260808_131913,ihawk1,Affine,45.0,5,5,1,59.158526317204114,57.96319036897309,65.18551035438067,67.38310014353283,67.55699516149463,
r640x400,640,400,20260808_131913,ihawk1,Affine,50.0,5,5,1,65.9800017514009,64.92828111038763,72.43958051551024,74.16097995305745,74.4467174244527,
r640x400,640,400,20260808_131913,ihawk1,Homography,0.0,5,5,1,0.11799020171260795,0.11020775338610725,0.10082883401172306,0.1738624247148252,0.19211515116578046,
r640x400,640,400,20260808_131913,ihawk1,Homography,5.0,5,5,1,4.631144502523335,4.439157645384405,4.061811989236172,6.181202110337204,6.357501822625792,
r640x400,640,400,20260808_131913,ihawk1,Homography,10.0,5,5,1,13.22981026301348,12.955385103092974,12.380927699770337,16.354384984210203,16.646287273049214,
r640x400,640,400,20260808_131913,ihawk1,Homography,15.0,5,5,1,21.245479681755235,20.743597975147633,19.609903942537848,26.61483336489005,27.056901077616697,
r640x400,640,400,20260808_131913,ihawk1,Homography,20.0,5,5,1,28.929920585363607,28.32531502376421,27.40513723137018,35.77473180993379,36.35971577872559,
r640x400,640,400,20260808_131913,ihawk1,Homography,25.0,5,5,1,36.764435700295735,36.09486130247024,34.35718432978689,45.17013407064921,46.10871694923435,
r640x400,640,400,20260808_131913,ihawk1,Homography,30.0,5,5,1,45.630475609675784,44.93136688876781,43.68717686192772,55.39643661479193,56.865442166284865,
r640x400,640,400,20260808_131913,ihawk1,Homography,35.0,5,5,1,51.34590669698436,50.401294396335615,48.648706426676725,63.012344469573755,64.20971624408583,
r640x400,640,400,20260808_131913,ihawk1,Homography,40.0,5,5,1,59.90243060898137,58.76647409397641,56.74124669073421,73.51145064520337,74.78200011281697,
r640x400,640,400,20260808_131913,ihawk1,Homography,45.0,5,5,1,68.73127624058522,67.437207090288,64.64283027870484,83.68936484517228,84.57503216174398,
r640x400,640,400,20260808_131913,ihawk1,Homography,50.0,5,5,1,78.04981756794031,76.59531647331501,73.66707041444134,95.83774373719203,97.73188829589932,
r640x400,640,400,20260808_131913,ihawk1,PnP,0.0,5,5,1,8.340385782249092,6.800100473839824,3.646803164674983,14.14695518335831,15.53887746693147,5.059113052010903
r640x400,640,400,20260808_131913,ihawk1,PnP,5.0,5,5,1,6.6059649244645,5.501947719614092,3.703048723267575,10.374703697249622,10.752218408539777,5.641988389148601
r640x400,640,400,20260808_131913,ihawk1,PnP,10.0,5,5,1,8.520438030424703,6.894249428939597,5.104336832437197,14.406075194642733,15.967560863458749,5.755171477324558
r640x400,640,400,20260808_131913,ihawk1,PnP,15.0,5,5,1,7.740450953484134,6.39970207207061,4.806726631059719,12.96292162114296,14.53489476920961,5.431193364467758
r640x400,640,400,20260808_131913,ihawk1,PnP,20.0,5,5,1,8.997122394126453,7.8630695883259305,8.23059078690198,13.655660748738171,14.643653662248292,5.587248016420059
r640x400,640,400,20260808_131913,ihawk1,PnP,25.0,5,5,1,9.072661778652176,7.480488423354771,6.6367971711493015,15.070867906202619,17.052919169878344,4.358475190917557
r640x400,640,400,20260808_131913,ihawk1,PnP,30.0,5,5,1,9.995993804514955,8.746328430218352,7.375631138900983,15.427496656311133,16.31893563118928,6.14567981176701
r640x400,640,400,20260808_131913,ihawk1,PnP,35.0,5,5,1,6.837855447160101,5.586274142192758,5.034236425447246,11.126224585234532,12.528700329948094,5.935852960699978
r640x400,640,400,20260808_131913,ihawk1,PnP,40.0,5,5,1,13.411333636908836,10.105809011430189,3.9764594912177906,23.61638596796622,26.347316931952005,7.865866946222542
r640x400,640,400,20260808_131913,ihawk1,PnP,45.0,5,5,1,7.892245786031898,5.935047099178557,3.969115349000816,13.817015680123198,15.918600338216727,7.061340554111093
r640x400,640,400,20260808_131913,ihawk1,PnP,50.0,5,5,1,6.606445749114683,5.194475532476938,3.275493807555617,11.473733373424535,13.18262034097433,6.324034712091659
r640x400,640,400,20260808_131913,ihawk2,Affine,0.0,5,5,1,12.721117958732739,12.318346557056387,12.14770778269979,15.583868504019527,15.716294732690702,
r640x400,640,400,20260808_131913,ihawk2,Affine,5.0,5,5,1,13.507228907784697,13.336193187430066,13.345725570707256,16.339304552973516,16.893983725169566,
r640x400,640,400,20260808_131913,ihawk2,Affine,10.0,5,5,1,17.950458775364673,17.813366294358318,17.522110533747806,20.652711396377384,21.120487153153977,
r640x400,640,400,20260808_131913,ihawk2,Affine,15.0,5,5,1,21.434332797587942,21.286302509909426,22.81861565975465,23.33766051220806,23.376328401688145,
r640x400,640,400,20260808_131913,ihawk2,Affine,20.0,5,5,1,27.460396205614874,27.253493587921298,28.57558758588919,30.189078673521397,30.224078908600877,
r640x400,640,400,20260808_131913,ihawk2,Affine,25.0,5,5,1,32.420994268832835,32.22883805683004,32.626906395341756,35.441220371848296,35.54151280895003,
r640x400,640,400,20260808_131913,ihawk2,Affine,30.0,5,5,1,37.07468848813281,36.9044517037835,38.95368304578085,40.40151688724769,40.65708139854251,
r640x400,640,400,20260808_131913,ihawk2,Affine,35.0,5,5,1,39.765261102924725,39.60141869763159,41.663450650272125,43.09130810055374,43.364908291516706,
r640x400,640,400,20260808_131913,ihawk2,Affine,40.0,5,5,1,42.86826082880243,42.69546900797979,45.06399696423591,46.234659984003265,46.38741330379568,
r640x400,640,400,20260808_131913,ihawk2,Affine,45.0,5,5,1,48.06416196240074,47.87020791526437,49.86566167552207,51.9354898142014,52.01609192891487,
r640x400,640,400,20260808_131913,ihawk2,Affine,50.0,5,5,1,55.86726470056347,55.661170250636665,57.606887437647565,60.21191985186401,60.32985495498115,
r640x400,640,400,20260808_131913,ihawk2,Homography,0.0,5,5,1,0.05996151568449164,0.04518111380956515,0.05555623158727845,0.09794551889439261,0.10852923392486995,
r640x400,640,400,20260808_131913,ihawk2,Homography,5.0,5,5,1,4.95032815533951,4.8453005071574635,4.262395932694586,6.081356266329342,6.089882105204043,
r640x400,640,400,20260808_131913,ihawk2,Homography,10.0,5,5,1,13.48259422378515,13.291194587929818,12.490638802064819,16.185694138248813,16.44636836782739,
r640x400,640,400,20260808_131913,ihawk2,Homography,15.0,5,5,1,18.763390301586167,18.449524799882717,17.27526060356563,22.941663975756036,23.46914191716637,
r640x400,640,400,20260808_131913,ihawk2,Homography,20.0,5,5,1,26.527331253643414,26.1922436398915,24.876297450732736,31.583921695861665,32.12555974148268,
r640x400,640,400,20260808_131913,ihawk2,Homography,25.0,5,5,1,32.88303163946642,32.52500991202686,30.82640175753348,38.709939297904526,39.099663179860954,
r640x400,640,400,20260808_131913,ihawk2,Homography,30.0,5,5,1,38.83495724258986,38.455896220249336,36.662414186239694,44.938014977053356,44.98527937306128,
r640x400,640,400,20260808_131913,ihawk2,Homography,35.0,5,5,1,42.64928830942155,42.13837498460289,39.79784703943037,50.07444905402445,50.15019332003738,
r640x400,640,400,20260808_131913,ihawk2,Homography,40.0,5,5,1,46.843608826534116,46.25615251004172,43.33632585138873,55.26004824708535,55.37559420845462,
r640x400,640,400,20260808_131913,ihawk2,Homography,45.0,5,5,1,53.55578740228672,52.88378129496844,49.55086107304038,63.377545005426626,63.66464166211808,
r640x400,640,400,20260808_131913,ihawk2,Homography,50.0,5,5,1,63.79221944825686,62.968952622329994,59.46668552127045,75.50471538283206,75.80614214996243,
r640x400,640,400,20260808_131913,ihawk2,PnP,0.0,5,5,1,3.1506071337075894,2.902943633765916,2.957710906635253,4.6482666880908265,5.063320831951759,3.0199210747073
r640x400,640,400,20260808_131913,ihawk2,PnP,5.0,5,5,1,4.021511664858351,3.9399940801285958,3.694351328408134,5.155177163436329,5.505306665467409,4.429613415143997
r640x400,640,400,20260808_131913,ihawk2,PnP,10.0,5,5,1,6.2351804122131265,6.026540530450163,6.5182715200845065,8.02956975280047,8.322085082610213,3.6835159922390295
r640x400,640,400,20260808_131913,ihawk2,PnP,15.0,5,5,1,6.010846017607631,5.775428916834727,5.949380539424194,7.725760104555149,8.11948334990424,4.28933946373522
r640x400,640,400,20260808_131913,ihawk2,PnP,20.0,5,5,1,7.126844720901166,6.786417001750815,6.2652218048269,9.692910240128064,10.12251388267389,3.698140834427892
r640x400,640,400,20260808_131913,ihawk2,PnP,25.0,5,5,1,7.064792084295011,6.917005190005608,6.562958494948075,8.491807480915014,8.510849899915154,3.586896063651053
r640x400,640,400,20260808_131913,ihawk2,PnP,30.0,5,5,1,5.945145029076799,5.873647479987428,6.090281397898041,7.020060890143345,7.176751959811449,3.6985825505729073
r640x400,640,400,20260808_131913,ihawk2,PnP,35.0,5,5,1,4.534151734986399,4.4967099556363,4.2391450365260965,5.358322998299638,5.503140302237323,3.6450753425745575
r640x400,640,400,20260808_131913,ihawk2,PnP,40.0,5,5,1,3.8168283093151967,3.511283209355993,3.595090878472674,5.205160483046074,5.2634918611293156,2.9141790868761723
r640x400,640,400,20260808_131913,ihawk2,PnP,45.0,5,5,1,4.004870294873836,3.621724479466124,3.086430413878837,5.87025596277669,6.124507998804868,3.9588359258662735
r640x400,640,400,20260808_131913,ihawk2,PnP,50.0,5,5,1,5.714523242912588,5.632245085879298,5.069592109065203,7.127158712805382,7.517581261337258,3.7278708679954127
r640x400,640,400,20260808_141232,ihawk1,Affine,0.0,5,5,1,11.68701645332927,11.38367726689824,10.96423411309921,15.227024775165809,15.994492716134753,
r640x400,640,400,20260808_141232,ihawk1,Affine,5.0,5,5,1,16.454458966968538,14.566753228968244,16.209783183025028,22.35307354116057,22.374429407933548,
r640x400,640,400,20260808_141232,ihawk1,Affine,10.0,5,5,1,19.965554069884753,18.384245770813536,22.66549353898144,26.830832684786305,27.757404550632867,
r640x400,640,400,20260808_141232,ihawk1,Affine,15.0,5,5,1,26.21227240460973,24.173923278208314,30.182933377472654,33.76546393358033,34.39647127264364,
r640x400,640,400,20260808_141232,ihawk1,Affine,20.0,5,5,1,31.967638336765756,30.301942169905363,34.89043435001161,39.995863938156575,40.21169196711408,
r640x400,640,400,20260808_141232,ihawk1,Affine,25.0,5,5,1,37.720559664793996,36.107522342974036,42.091104675409646,46.1782845657386,47.00740913091719,
r640x400,640,400,20260808_141232,ihawk1,Affine,30.0,5,0,0,,,,,,
r640x400,640,400,20260808_141232,ihawk1,Affine,35.0,5,5,1,52.457832088045436,51.1804464511554,56.29385349681681,60.81229288558717,60.87187061080466,
r640x400,640,400,20260808_141232,ihawk1,Affine,40.0,5,5,1,59.3634920688673,58.25116345030291,62.46277400538435,68.00339738213034,68.05549460840264,
r640x400,640,400,20260808_141232,ihawk1,Affine,45.0,5,5,1,68.39797866221284,67.34829268234982,71.43836955744993,77.03167247885686,77.05142221194046,
r640x400,640,400,20260808_141232,ihawk1,Affine,50.0,5,5,1,74.44702567090616,73.39515735628952,76.58965452860183,84.23215494664639,84.53568998166487,
r640x400,640,400,20260808_141232,ihawk1,Homography,0.0,5,5,1,0.3725667074259977,0.2886170784237291,0.31857090723286613,0.6204767442091331,0.6951819274784788,
r640x400,640,400,20260808_141232,ihawk1,Homography,5.0,5,5,1,12.304936187942097,12.112829175013918,11.112245641905547,15.024159014507116,15.296994003911074,
r640x400,640,400,20260808_141232,ihawk1,Homography,10.0,5,5,1,17.831316582255525,17.533324757261447,16.80184795591308,21.979130022463664,22.519978544952373,
r640x400,640,400,20260808_141232,ihawk1,Homography,15.0,5,5,1,25.855843738338315,25.50081040743686,24.495835562179746,31.056132956176477,31.56102845466584,
r640x400,640,400,20260808_141232,ihawk1,Homography,20.0,5,5,1,34.04551404058577,33.412855327154,31.54667392166174,42.82172311029851,44.803309383544864,
r640x400,640,400,20260808_141232,ihawk1,Homography,25.0,5,5,1,40.63020835850835,40.041919399281404,39.28889727655043,49.08984060910085,50.068572796956296,
r640x400,640,400,20260808_141232,ihawk1,Homography,30.0,5,0,0,,,,,,
r640x400,640,400,20260808_141232,ihawk1,Homography,35.0,5,5,1,59.2989305517773,58.4179848436812,55.643627405313644,71.80011742293219,73.31675381088543,
