resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,marker_id,n_expected_frames,n_detected_frames,complete_three_frame_detection,center_repeatability_rms_native_equiv_px,corner_repeatability_rms_native_equiv_px,median_marker_side_native_equiv_px,corner_repeatability_fraction_of_marker_side,center_drift_from_native_median_px,corner_drift_from_native_median_px
r160x100,160,100,20260808_131913,ihawk1,0.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,0.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,0.0,2,3,1,0,nan,nan,nan,nan,0.43983481924112483,1.2471258574709243
r160x100,160,100,20260808_131913,ihawk1,0.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,0.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,5.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,5.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,5.0,2,3,3,1,0.02015413446674462,0.03000655687333661,33.83314619601873,0.0008868982121700402,1.0744390532699577,2.1046916653605
r160x100,160,100,20260808_131913,ihawk1,5.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,5.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,10.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,10.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,10.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,10.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,10.0,4,3,3,1,0.6204795183528287,1.2372015450078417,24.394528119658283,0.05071635487020736,0.28107405893118514,3.210916849253618
r160x100,160,100,20260808_131913,ihawk1,15.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,15.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,15.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,15.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,15.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,20.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,20.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,20.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,20.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,20.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,25.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,25.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,25.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,25.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,25.0,4,3,3,1,0.01354822026880119,0.02358267913016356,24.31505432228478,0.0009698797632769425,0.9117668260253466,1.9626897189831412
r160x100,160,100,20260808_131913,ihawk1,30.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,30.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,30.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,30.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,30.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,35.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,35.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,35.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,35.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,35.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,40.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,40.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,40.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,40.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,40.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,45.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,45.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,45.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,45.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,45.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,50.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,50.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,50.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,50.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk1,50.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,0.0,0,3,3,1,0.015275155614890618,0.026837017001213225,37.97874713717785,0.0007066324990732027,1.137275990223257,2.5099381810317634
r160x100,160,100,20260808_131913,ihawk2,0.0,1,3,3,1,0.015267484200790712,0.03029325692715907,27.00125491613293,0.0011219203337493476,1.4214485241109702,3.4741995627933444
r160x100,160,100,20260808_131913,ihawk2,0.0,2,3,3,1,0.010275970919385351,0.02623614963832477,37.44244804984346,0.0007007060436699852,0.10125032116734524,1.054985842518502
r160x100,160,100,20260808_131913,ihawk2,0.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,0.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,5.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,5.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,5.0,2,3,3,1,0.014819761043556359,0.028730657909550605,36.876250620820656,0.0007791100620551977,0.8844834461201069,1.9525333919382706
r160x100,160,100,20260808_131913,ihawk2,5.0,3,3,3,1,0.006999553583755664,0.015160959924984035,25.663585165563205,0.0005907576757953458,0.44646701835848845,1.6104082282785805
r160x100,160,100,20260808_131913,ihawk2,5.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,10.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,10.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,10.0,2,3,3,1,0.009362559292831103,0.018060730566707275,36.90804325261605,0.0004893440284300937,0.7203739411201967,1.953288440422387
r160x100,160,100,20260808_131913,ihawk2,10.0,3,3,3,1,0.006940972330246736,0.020309510021146008,25.65792436469969,0.0007915492201344214,0.7194552661578534,1.772052334749242
r160x100,160,100,20260808_131913,ihawk2,10.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,15.0,0,3,3,1,0.021803639042892117,0.04429837365407387,38.63111129082158,0.0011467020278186713,0.7689781260874923,2.535739685416245
r160x100,160,100,20260808_131913,ihawk2,15.0,1,3,0,0,nan,nan,nan,nan,nan,nan
