height_gt_mm,geometry_variable,n_run_camera_units,pearson_r_with_pnp_xy_rmse,spearman_rho_with_pnp_xy_rmse,descriptive_only,camera_identity_and_geometry_confounded
0.0,distance_to_board_center_mm,10,0.9341612621355555,0.8909090909090909,1,1
0.0,optical_axis_tilt_to_board_normal_deg,10,-0.953433587287804,-0.8060606060606059,1,1
0.0,median_z0_marker_side_px,10,-0.9445030322568657,-0.8909090909090909,1,1
0.0,median_z0_marker_footprint_px2,10,-0.9318186553404579,-0.6484848484848483,1,1
5.0,distance_to_board_center_mm,10,0.7198998489635987,0.6,1,1
5.0,optical_axis_tilt_to_board_normal_deg,10,-0.6680810372760155,-0.5757575757575757,1,1
5.0,median_z0_marker_side_px,10,-0.7023776722644898,-0.6,1,1
5.0,median_z0_marker_footprint_px2,10,-0.7226386059911567,-0.6848484848484848,1,1
10.0,distance_to_board_center_mm,10,0.7052982247055692,0.35757575757575755,1,1
10.0,optical_axis_tilt_to_board_normal_deg,10,-0.6624331681872603,-0.4666666666666666,1,1
10.0,median_z0_marker_side_px,10,-0.6903276776479893,-0.35757575757575755,1,1
10.0,median_z0_marker_footprint_px2,10,-0.7102367164308522,-0.6848484848484848,1,1
15.0,distance_to_board_center_mm,10,0.7718685780922108,0.6363636363636362,1,1
15.0,optical_axis_tilt_to_board_normal_deg,10,-0.7260284242961599,-0.6363636363636362,1,1
15.0,median_z0_marker_side_px,10,-0.7555008723084442,-0.6,1,1
15.0,median_z0_marker_footprint_px2,10,-0.7775345755801192,-0.8181818181818182,1,1
20.0,distance_to_board_center_mm,10,0.8868201030565672,0.6121212121212121,1,1
20.0,optical_axis_tilt_to_board_normal_deg,10,-0.8438619798730164,-0.6121212121212121,1,1
20.0,median_z0_marker_side_px,10,-0.875211709542156,-0.5757575757575757,1,1
20.0,median_z0_marker_footprint_px2,10,-0.890392647732332,-0.7818181818181817,1,1
25.0,distance_to_board_center_mm,10,0.8170301550157225,0.6242424242424242,1,1
25.0,optical_axis_tilt_to_board_normal_deg,10,-0.8091697294500946,-0.7454545454545454,1,1
25.0,median_z0_marker_side_px,10,-0.8213001417628375,-0.6969696969696969,1,1
25.0,median_z0_marker_footprint_px2,10,-0.8175282904174899,-0.6606060606060605,1,1
30.0,distance_to_board_center_mm,10,0.8734609842370912,0.7575757575757575,1,1
30.0,optical_axis_tilt_to_board_normal_deg,10,-0.8489970837248748,-0.6727272727272726,1,1
30.0,median_z0_marker_side_px,10,-0.8693126238132584,-0.7333333333333332,1,1
30.0,median_z0_marker_footprint_px2,10,-0.876573864317893,-0.8060606060606059,1,1
35.0,distance_to_board_center_mm,10,0.7363831673479114,0.6363636363636362,1,1
35.0,optical_axis_tilt_to_board_normal_deg,10,-0.6805398036476913,-0.6969696969696969,1,1
35.0,median_z0_marker_side_px,10,-0.7155972523277131,-0.6484848484848483,1,1
35.0,median_z0_marker_footprint_px2,10,-0.7412243186948626,-0.8303030303030302,1,1
40.0,distance_to_board_center_mm,10,0.8745518999742177,0.7454545454545454,1,1
40.0,optical_axis_tilt_to_board_normal_deg,10,-0.8547970743260345,-0.5878787878787878,1,1
40.0,median_z0_marker_side_px,10,-0.8706982322316578,-0.7212121212121211,1,1
40.0,median_z0_marker_footprint_px2,10,-0.8719374871333364,-0.6848484848484848,1,1
45.0,distance_to_board_center_mm,10,0.5371334922461919,0.6242424242424242,1,1
45.0,optical_axis_tilt_to_board_normal_deg,10,-0.4789712317763403,-0.2727272727272727,1,1
45.0,median_z0_marker_side_px,10,-0.5180627036889636,-0.49090909090909085,1,1
45.0,median_z0_marker_footprint_px2,10,-0.5433518243015919,-0.6242424242424242,1,1
50.0,distance_to_board_center_mm,10,0.7997729025962477,0.6848484848484848,1,1
50.0,optical_axis_tilt_to_board_normal_deg,10,-0.7413986071303843,-0.5393939393939393,1,1
50.0,median_z0_marker_side_px,10,-0.780830653925449,-0.6,1,1
50.0,median_z0_marker_footprint_px2,10,-0.8024287958386914,-0.6848484848484848,1,1
