run_id,camera_id,camera_center_x_board_mm,camera_center_y_board_mm,camera_center_z_board_mm,distance_to_board_center_mm,camera_center_azimuth_deg,optical_axis_tilt_to_board_normal_deg,line_of_sight_incidence_to_board_normal_deg,median_z0_marker_side_px,median_z0_marker_footprint_px2,board_pnp_reprojection_rmse_px
20260808_131913,ihawk1,-288.52626709266843,-432.1555404331421,359.06811343012504,631.6135907433912,-123.72883682166382,61.290788277331735,55.354772242396294,27.62716147176681,569.2261593401781,0.33744019526213287
20260808_131913,ihawk2,-389.0994430269781,-16.338579378446447,349.46432357750626,523.2500732857038,-177.59551950887396,63.016063167611115,48.09692668446235,35.585461181848174,1009.1956394939916,0.42899873943077144
20260808_141232,ihawk1,-278.942947455665,-438.79958971634056,356.1289112402732,630.2238088898777,-122.44393882654143,61.531627205698555,55.59192822470509,28.16134467323057,569.4417022105772,0.6667621095690154
20260808_141232,ihawk2,-391.15172900083303,-25.471405064386005,350.3535285607826,525.7338324202526,-176.2742172054453,62.892725227686135,48.209522439833904,35.393281852845504,993.8653184337309,0.4117614417514885
20260808_145501,ihawk1,-280.05051159000834,-436.33345013966493,359.21951123306803,630.7565505035466,-122.6934360210921,61.305273089757364,55.28422942298355,27.675732148393415,571.1310821974766,0.3938946785181947
20260808_145501,ihawk2,-390.06091090626995,-24.30291293493756,351.09948847876143,525.3655837644869,-176.43477039897203,62.82376580308704,48.06434856444689,35.26480589957494,1004.0322107957036,0.42527283609036654
20260808_151001,ihawk1,-282.10506584577263,-435.25978734910524,358.79518306813384,630.68877749008,-122.94849586343453,61.327189007003575,55.326849589660604,27.719299537606588,571.2643941529968,0.3684899640209703
20260808_151001,ihawk2,-389.8302888454356,-22.974900990529168,351.08517151315874,525.1250306672349,-176.6271375631925,62.83264428549039,48.042865742089255,35.422921121888436,1002.8587396437651,0.4221656158646425
20260808_162715,ihawk1,-282.668323302054,-432.25231430804513,359.05354939890736,629.0174048140553,-123.18239375886897,61.21371488109181,55.1928135855646,27.76774237175042,569.1120545662707,0.4233390429524511
20260808_162715,ihawk2,-389.57646862525064,-20.859122621320964,351.0448452087588,524.8213136398841,-176.93513431267934,62.82970973611341,48.01897126850204,35.39780484722486,1002.477787677286,0.4424439406077514
