height_gt_mm,model,source,n_independent_rebuilds,n_complete_rebuilds,mean_marker_coverage,xy_rmse_mean_mm,xy_rmse_sd_mm,xy_rmse_p95_across_rebuilds_mm,inter_camera_disagreement_mean_mm,conditional_error_warning
0.0,Affine,ihawk1,5,5,1.0,11.498201651518743,0.1058053175955412,11.641534269186192,11.772032526774483,0
0.0,Affine,ihawk2,5,5,1.0,12.678569715824763,0.03303524213678643,12.714752190866678,11.772032526774483,0
0.0,Affine,EqualFusion,5,5,1.0,10.495681951553284,0.08552047155279252,10.612080302041868,11.772032526774483,0
0.0,Affine,LOOWeightedFusion,5,5,1.0,10.445869003109223,0.0897210270108506,10.568412085953192,11.772032526774483,0
0.0,Affine,LOOWeightedGated,5,3,0.9199999999999999,10.558565544535792,0.13237076126894165,10.686709206467013,11.772032526774483,1
0.0,Homography,ihawk1,5,5,1.0,0.1501486203439369,0.12581352508919857,0.32165300625730914,0.13937359438092167,0
0.0,Homography,ihawk2,5,5,1.0,0.08773296350069817,0.05563692906721238,0.16069081189367126,0.13937359438092167,0
0.0,Homography,EqualFusion,5,5,1.0,0.08308775151239081,0.04140537649170299,0.1342256620006103,0.13937359438092167,0
0.0,Homography,LOOWeightedFusion,5,5,1.0,0.07120485926195319,0.03275888049782234,0.10576022171989669,0.13937359438092167,0
0.0,Homography,LOOWeightedGated,5,4,0.8800000000000001,0.06315071571060496,0.02811852968475057,0.09928253027021383,0.13937359438092167,1
0.0,PnP,ihawk1,5,5,1.0,7.7215523253028255,1.3624759499665076,8.658778541336714,5.948483611803939,0
0.0,PnP,ihawk2,5,5,1.0,3.2118763365298477,0.22034782154754948,3.458407687226428,5.948483611803939,0
0.0,PnP,EqualFusion,5,5,1.0,4.83138826290943,0.774786754363222,5.387972240825551,5.948483611803939,0
0.0,PnP,LOOWeightedFusion,5,5,1.0,3.43728667048057,0.2964395242358927,3.750892871427537,5.948483611803939,0
0.0,PnP,LOOWeightedGated,5,3,0.9199999999999999,3.3630665439210503,0.22777589668185097,3.617053524335029,5.948483611803939,1
5.0,Affine,ihawk1,5,5,1.0,13.832743287824826,1.590971864960748,15.880410827850165,12.904470920992864,0
5.0,Affine,ihawk2,5,5,1.0,14.105643321145887,0.5728078669878395,14.84932276964001,12.904470920992864,0
5.0,Affine,EqualFusion,5,5,1.0,12.282709764442691,1.1538750925050627,13.818950205587536,12.904470920992864,0
5.0,Affine,LOOWeightedFusion,5,5,1.0,12.285017691659714,1.2103866217097083,13.892233160206127,12.904470920992864,0
5.0,Affine,LOOWeightedGated,5,0,0.8,12.03097994583357,0.9731467561180015,13.365566596964689,12.904470920992864,1
5.0,Homography,ihawk1,5,5,1.0,8.11284388358887,2.7341488988593015,11.441455244949,6.0839709413952985,0
5.0,Homography,ihawk2,5,5,1.0,6.451420218840442,1.2764784996999505,8.061646711369042,6.0839709413952985,0
5.0,Homography,EqualFusion,5,5,1.0,6.6689688167588255,2.0697421489610925,9.255235617025562,6.0839709413952985,0
5.0,Homography,LOOWeightedFusion,5,5,1.0,6.476626902120278,1.8125141753961034,8.828731021926737,6.0839709413952985,0
5.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,6.0839709413952985,1
5.0,PnP,ihawk1,5,5,1.0,9.5256161526362,3.122866591999896,13.571384202837166,7.454194491199123,0
5.0,PnP,ihawk2,5,5,1.0,4.685077366920493,1.9508450358351388,7.119079076096039,7.454194491199123,0
5.0,PnP,EqualFusion,5,5,1.0,6.243450279546712,2.0088610719242737,8.95710519739222,7.454194491199123,0
5.0,PnP,LOOWeightedFusion,5,5,1.0,4.843400348530035,1.6679250999779212,6.682760492474465,7.454194491199123,0
5.0,PnP,LOOWeightedGated,5,2,0.8400000000000001,4.3662124024413,1.2843043228578443,6.050202454384138,7.454194491199123,1
10.0,Affine,ihawk1,5,5,1.0,17.449898102287012,1.4317971826647844,19.40449327708771,14.70951076590759,0
10.0,Affine,ihawk2,5,5,1.0,16.4015678607976,0.9818914592403125,17.71433243978055,14.70951076590759,0
10.0,Affine,EqualFusion,5,5,1.0,14.902594832641086,0.7563966620144297,15.839217627985374,14.70951076590759,0
10.0,Affine,LOOWeightedFusion,5,5,1.0,14.982863101325055,0.7991135526651828,16.027981163390777,14.70951076590759,0
10.0,Affine,LOOWeightedGated,5,0,0.4,18.953420045422575,1.3406287348636172,20.785254724075283,14.70951076590759,1
10.0,Homography,ihawk1,5,5,1.0,14.32675628814699,1.9943855547775617,17.07998144110687,11.238292349189734,0
10.0,Homography,ihawk2,5,5,1.0,11.096353644838313,1.4843723108528373,13.097013374596342,11.238292349189734,0
10.0,Homography,EqualFusion,5,5,1.0,11.562947165465616,1.1831786984666877,13.028595178088063,11.238292349189734,0
10.0,Homography,LOOWeightedFusion,5,5,1.0,11.149074766311424,1.3123665711899153,12.511739031904545,11.238292349189734,0
10.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,11.238292349189734,1
10.0,PnP,ihawk1,5,5,1.0,8.628634123357845,2.6347201415434673,11.280341685961435,6.37022186259659,0
10.0,PnP,ihawk2,5,5,1.0,4.337393682277002,2.0876604599307664,6.439821605889031,6.37022186259659,0
10.0,PnP,EqualFusion,5,5,1.0,5.8975997854973405,2.1094346053474995,7.826090554738988,6.37022186259659,0
10.0,PnP,LOOWeightedFusion,5,5,1.0,4.573033759463949,2.0079261731467897,6.422374903040721,6.37022186259659,0
10.0,PnP,LOOWeightedGated,5,4,0.96,4.454319544645381,2.130835096576891,6.422374903040721,6.37022186259659,1
15.0,Affine,ihawk1,5,5,1.0,23.59930811113874,1.5745373901605089,25.662606098488467,18.640499701041612,0
15.0,Affine,ihawk2,5,5,1.0,21.101326517745353,1.0303291411235238,22.32100569984745,18.640499701041612,0
15.0,Affine,EqualFusion,5,5,1.0,19.83652580663324,0.9931414217010245,21.07510155201791,18.640499701041612,0
15.0,Affine,LOOWeightedFusion,5,5,1.0,19.999803265196057,1.0508963487500138,21.354243975262772,18.640499701041612,0
15.0,Affine,LOOWeightedGated,5,0,0.4,25.2058908535552,1.4319628863320453,27.1290034790885,18.640499701041612,1
15.0,Homography,ihawk1,5,5,1.0,23.019367699391033,1.6988498196100743,25.229663788680465,18.002703251749217,0
15.0,Homography,ihawk2,5,5,1.0,18.272980001540343,1.2978560095243397,19.734999893990324,18.002703251749217,0
15.0,Homography,EqualFusion,5,5,1.0,18.75091333172829,1.130157380114573,20.115729608008646,18.002703251749217,0
15.0,Homography,LOOWeightedFusion,5,5,1.0,18.118565313946277,1.2202624034880767,19.31226902724259,18.002703251749217,0
15.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,18.002703251749217,1
15.0,PnP,ihawk1,5,5,1.0,9.004296891690084,2.270642123707903,11.748489560994965,6.373917179955395,0
15.0,PnP,ihawk2,5,5,1.0,4.92996619976171,1.300746721633856,5.9774366462561614,6.373917179955395,0
15.0,PnP,EqualFusion,5,5,1.0,6.378331398143717,1.5806130472310733,8.4082047366181,6.373917179955395,0
15.0,PnP,LOOWeightedFusion,5,5,1.0,5.15456516975187,1.2254139056309392,6.374432716399795,6.373917179955395,0
15.0,PnP,LOOWeightedGated,5,5,1.0,5.15456516975187,1.2254139056309392,6.374432716399795,6.373917179955395,1
