height_gt_mm,source,n_independent_rebuilds,xy_rmse_mean_mm,xy_rmse_sd_mm,z_rmse_mean_mm,z_rmse_sd_mm,error3d_rmse_mean_mm,error3d_rmse_sd_mm,error3d_rmse_p95_mm
0.0,ihawk1,5,7.7215523253028255,1.3624759499665076,4.799253179939852,0.5037388744992907,9.09623360001305,1.4150134919326083,10.065952134307748
0.0,ihawk2,5,3.2118763365298477,0.22034782154754948,3.0149915132241016,0.16344978151381356,4.405675092385214,0.2659078814656171,4.691631907549149
0.0,EqualXYZ,5,4.83138826290943,0.774786754363222,3.59100751740248,0.38564788240631065,6.02166147148517,0.8488637280241998,6.631771232475509
0.0,LOOWeightedXYZ,5,3.5504688810599845,0.3480511536728281,3.134582060002689,0.2300389520400006,4.736559912420155,0.41182548236985406,5.12619953623318
5.0,ihawk1,5,9.5256161526362,3.122866591999896,5.503527801736899,1.177134963271137,11.058841598989632,3.0900157400203065,14.92973950002238
5.0,ihawk2,5,4.685077366920493,1.9508450358351388,3.8374648011577803,1.4816293484044065,6.091769970218728,2.336461578972998,9.048404896569787
5.0,EqualXYZ,5,6.243450279546712,2.0088610719242737,4.036045008075316,0.5835211962243815,7.51329200290734,1.7035220183559878,9.857189089728653
5.0,LOOWeightedXYZ,5,4.946597725476227,1.6209449458956393,3.7378152114899157,0.979610145662013,6.260702933575713,1.6253342865912679,8.008569385325616
10.0,ihawk1,5,8.628634123357845,2.6347201415434673,5.724602279865502,1.1907603362412882,10.399521542408369,2.6837655701684398,12.78664199210101
10.0,ihawk2,5,4.337393682277002,2.0876604599307664,3.760093624981846,0.9918681207340113,5.830991670149563,2.007650062336994,8.240103300738797
10.0,EqualXYZ,5,5.8975997854973405,2.1094346053474995,4.545625636208904,1.0108874652568254,7.5149615550881705,2.0454323312338554,9.425282791394062
10.0,LOOWeightedXYZ,5,4.683627223454876,1.9964212586973,3.9884289689839725,0.9921395884631288,6.239228948279418,1.9013096749378249,8.380087731529143
15.0,ihawk1,5,9.004296891690084,2.270642123707903,5.359596791969385,0.674490827147514,10.498234935592134,2.2578491831805816,13.118470134582566
15.0,ihawk2,5,4.92996619976171,1.300746721633856,3.699057883732089,0.44739854387885775,6.20668087913125,1.1058901478813823,7.3051468382025035
15.0,EqualXYZ,5,6.378331398143717,1.5806130472310733,4.358531674917251,0.4348849133855692,7.75154675339468,1.4762294495239157,9.551072608857348
15.0,LOOWeightedXYZ,5,5.257497486920615,1.2299009245491233,3.893322332606528,0.4001205971376528,6.573964569863577,1.0726314988709817,7.697295884152152
20.0,ihawk1,5,10.288638675015626,1.3370212921150073,6.0475800727186755,0.4640022860090573,11.953548329193842,1.195999638477599,13.48220700036141
20.0,ihawk2,5,4.931231973586867,1.691742756932951,3.752279047459667,0.46908547520154253,6.276520131278174,1.354423152090121,7.762561094477221
