run_id,height_gt_mm,estimate_source,estimate_xy_rmse_mm,stereo_xy_rmse_mm,estimate_minus_stereo_xy_mm,estimate_z_rmse_mm,stereo_z_rmse_mm,estimate_minus_stereo_z_mm,estimate_3d_rmse_mm,stereo_3d_rmse_mm,estimate_minus_stereo_3d_mm,stereo_lower_3d_error
20260808_131913,0.0,ihawk1,8.340325381247458,0.6300516249719413,7.710273756275517,5.059083832485574,0.8454303580064549,4.213653474479119,9.75476071921795,1.0543801688047374,8.700380550413213,1
20260808_131913,0.0,ihawk2,3.1506340988071644,0.6300516249719413,2.520582473835223,3.019929466130757,0.8454303580064549,2.174499108124302,4.364226071707472,1.0543801688047374,3.309845902902735,1
20260808_131913,0.0,EqualXYZ,5.138165132725891,0.6300516249719413,4.508113507753949,3.7107922346669047,0.8454303580064549,2.8653618766604496,6.338037546435354,1.0543801688047374,5.283657377630616,1
20260808_131913,0.0,LOOWeightedXYZ,3.6239774339134434,0.6300516249719413,2.993925808941502,3.1729413306036993,0.8454303580064549,2.3275109725972443,4.816717671710377,1.0543801688047374,3.7623375029056394,1
20260808_131913,5.0,ihawk1,6.605960257487178,2.036955919361853,4.569004338125325,5.641978030804232,1.8029095246335758,3.839068506170656,8.687383209205038,2.7202338449915953,5.9671493642134426,1
20260808_131913,5.0,ihawk2,4.021488106384301,2.036955919361853,1.984532187022448,4.429646061321766,1.8029095246335758,2.6267365366881905,5.982819637794025,2.7202338449915953,3.2625857928024296,1
20260808_131913,5.0,EqualXYZ,4.471457636346103,2.036955919361853,2.4345017169842498,4.959925972134999,1.8029095246335758,3.1570164475014235,6.677933740514142,2.7202338449915953,3.9576998955225466,1
20260808_131913,5.0,LOOWeightedXYZ,3.9114664076126098,2.036955919361853,1.8745104882507566,4.613063338096907,1.8029095246335758,2.8101538134633315,6.048133829469688,2.7202338449915953,3.3278999844780923,1
20260808_131913,10.0,ihawk1,8.520431250456756,4.020340250825635,4.500090999631121,5.755167592052556,1.7099714347461528,4.045196157306403,10.282008690249784,4.368882928170145,5.9131257620796385,1
20260808_131913,10.0,ihawk2,6.235147588604909,4.020340250825635,2.2148073377792743,3.68355265832939,1.7099714347461528,1.973581223583237,7.241935213627027,4.368882928170145,2.8730522854568816,1
