run_id,height_gt_mm,source,n_markers,xy_rmse_mm,z_rmse_mm,error3d_rmse_mm
20260808_131913,0.0,ihawk1,5,8.340325381247458,5.059083832485574,9.75476071921795
20260808_131913,0.0,ihawk2,5,3.1506340988071644,3.019929466130757,4.364226071707472
20260808_131913,0.0,EqualXYZ,5,5.138165132725891,3.7107922346669047,6.338037546435354
20260808_131913,0.0,LOOWeightedXYZ,5,3.6239774339134434,3.1729413306036993,4.816717671710377
20260808_131913,5.0,ihawk1,5,6.605960257487178,5.641978030804232,8.687383209205038
20260808_131913,5.0,ihawk2,5,4.021488106384301,4.429646061321766,5.982819637794025
20260808_131913,5.0,EqualXYZ,5,4.471457636346103,4.959925972134999,6.677933740514142
20260808_131913,5.0,LOOWeightedXYZ,5,3.9114664076126098,4.613063338096907,6.048133829469688
20260808_131913,10.0,ihawk1,5,8.520431250456756,5.755167592052556,10.282008690249784
20260808_131913,10.0,ihawk2,5,6.235147588604909,3.68355265832939,7.241935213627027
20260808_131913,10.0,EqualXYZ,5,6.420420082317266,4.405622743308217,7.786610674085193
20260808_131913,10.0,LOOWeightedXYZ,5,6.02836313254053,3.859282680726646,7.157878517237529
20260808_131913,15.0,ihawk1,5,7.741190093271269,5.431553076586224,9.456626929510042
20260808_131913,15.0,ihawk2,5,6.010835015843663,4.2893893900656215,7.3843753241083165
20260808_131913,15.0,EqualXYZ,5,5.847307758817478,4.597384323782326,7.4382088332397975
20260808_131913,15.0,LOOWeightedXYZ,5,5.665545619059179,4.334733991555129,7.133605395533461
20260808_131913,20.0,ihawk1,5,8.99704430420057,5.587144028357932,10.590702743697587
20260808_131913,20.0,ihawk2,5,7.126688901776607,3.698140688255144,8.029068392586657
20260808_131913,20.0,EqualXYZ,5,7.297533298323362,4.425359202004553,8.534506213420002
20260808_131913,20.0,LOOWeightedXYZ,5,6.982190511441775,3.9092293889961365,8.002065905368354
20260808_131913,25.0,ihawk1,5,9.079101328998155,4.36341070669166,10.07320375736972
20260808_131913,25.0,ihawk2,5,7.0647610593738674,3.586926147138372,7.9231867333207715
20260808_131913,25.0,EqualXYZ,5,6.931432406331773,3.1553641071930976,7.615843870019183
20260808_131913,25.0,LOOWeightedXYZ,5,6.7000160408404525,3.212248944061838,7.430259633831497
20260808_131913,30.0,ihawk1,5,9.997054236977622,6.146971701662125,11.735687219677729
20260808_131913,30.0,ihawk2,5,5.945105196126261,3.6986001789951026,7.001708297056517
20260808_131913,30.0,EqualXYZ,5,6.555949671552037,4.261844988614893,7.819450031997463
20260808_131913,30.0,LOOWeightedXYZ,5,5.696342647675462,3.6903234342828513,6.787253244821757
20260808_131913,35.0,ihawk1,5,6.837956267667982,5.93395669482185,9.05370023661933
20260808_131913,35.0,ihawk2,5,4.534130476516311,3.64503478189072,5.817612718226194
20260808_131913,35.0,EqualXYZ,5,4.486060715025024,4.733907048408488,6.5218568430978605
20260808_131913,35.0,LOOWeightedXYZ,5,4.144987675604145,4.047045152525132,5.79305595497639
20260808_131913,40.0,ihawk1,5,10.858039439825275,6.640797633295664,12.727812604025345
20260808_131913,40.0,ihawk2,5,3.815566077805218,2.917181559494853,4.802967077250761
20260808_131913,40.0,EqualXYZ,5,6.322018897714416,4.116389472881968,7.5440430298024985
20260808_131913,40.0,LOOWeightedXYZ,5,4.261143885079149,3.0906293191453793,5.263965881130733
20260808_131913,45.0,ihawk1,5,7.892178577183061,7.061314960973999,10.59002604681511
20260808_131913,45.0,ihawk2,5,4.00395718107181,3.959594936457289,5.631169076548379
20260808_131913,45.0,EqualXYZ,5,3.949862417634105,5.376250464109623,6.671242925503258
20260808_131913,45.0,LOOWeightedXYZ,5,3.2059360351486386,4.4582943169777245,5.491303495369788
20260808_131913,50.0,ihawk1,5,6.603113503196269,6.32119233076023,9.14103825714316
20260808_131913,50.0,ihawk2,5,5.714902461754741,3.730162965019492,6.824531184848772
20260808_131913,50.0,EqualXYZ,5,4.166038717237155,4.794975993941656,6.351981846321333
20260808_131913,50.0,LOOWeightedXYZ,5,4.670553884143423,4.0607200468344296,6.18898383286386
20260808_141232,0.0,ihawk1,5,5.407011693290463,3.959781672941913,6.701913633339844
20260808_141232,0.0,ihawk2,5,3.208559254863774,2.9209827842155653,4.339008287345818
20260808_141232,0.0,EqualXYZ,5,3.536810633764343,2.932101127996225,4.594153511138398
20260808_141232,0.0,LOOWeightedXYZ,5,3.0690405978249555,2.786009533035062,4.144980013131548
20260808_141232,5.0,ihawk1,5,14.137677074696587,5.874234187330766,15.309491838595001
20260808_141232,5.0,ihawk2,5,5.868760665895571,3.267931878635949,6.717271061745841
20260808_141232,5.0,EqualXYZ,5,9.63115556636444,4.058322619601437,10.451274564773495
