run_id,height_gt_mm,n_markers,xy_rmse_mm,z_rmse_mm,error3d_rmse_mm
20260808_131913,0.0,5,0.6300516249719413,0.8454303580064549,1.0543801688047374
20260808_131913,5.0,5,2.036955919361853,1.8029095246335758,2.7202338449915953
20260808_131913,10.0,5,4.020340250825635,1.7099714347461528,4.368882928170145
20260808_131913,15.0,5,3.373575890482938,1.2569865781080314,3.600142989714643
20260808_131913,20.0,5,4.929241450174549,1.835692585966559,5.259960888095223
20260808_131913,25.0,5,5.05624315771911,1.8499112166698686,5.384028824174543
20260808_131913,30.0,5,3.3632690307841866,1.4015019854651158,3.643595255883214
20260808_131913,35.0,5,4.082707709736188,1.9169428382066191,4.510340573403627
20260808_131913,40.0,5,5.394495714496991,1.4316954512636126,5.581248594973649
20260808_131913,45.0,5,5.632973932935151,1.8008742229204877,5.91384336078547
20260808_131913,50.0,5,6.010756124125153,1.5449206902088788,6.2061235181668355
20260808_141232,0.0,5,0.9393540468595527,0.9550103022949576,1.3395636240361726
20260808_141232,5.0,5,4.1419465657021695,0.7680582746428739,4.2125568086827485
20260808_141232,10.0,5,4.961672790140366,1.0105968993505767,5.063546481409674
20260808_141232,15.0,5,4.300487674903797,1.4208437862863335,4.529126991709103
20260808_141232,20.0,5,2.432123360624097,1.2105368622053487,2.7167303024134406
20260808_141232,25.0,5,3.2046815538050204,2.1804888079058258,3.8761469660863903
20260808_141232,30.0,5,2.4787340473634405,1.8445048589875273,3.089712066259143
20260808_141232,35.0,5,2.9152828354925733,1.4393350247149341,3.251239659620428
20260808_141232,40.0,5,3.4610887579340286,1.658045057938383,3.8377400647322655
20260808_141232,45.0,5,6.260797994126295,1.6598227131227703,6.477082905309618
20260808_141232,50.0,5,3.392295278227808,1.538615172709053,3.7249166305270767
20260808_145501,0.0,5,0.6310060222134862,0.8223635403638251,1.0365569895521476
20260808_145501,5.0,5,0.7993013034629125,0.5785437928413197,0.9867094273152206
20260808_145501,10.0,5,1.9211228280567365,1.3899688774291414,2.371228879864266
20260808_145501,15.0,5,1.3753781970345211,1.331029453129225,1.91397612053427
20260808_145501,20.0,5,0.7616730363444028,1.2038730383086345,1.4245898029469972
20260808_145501,25.0,5,2.066341435629891,1.559003743224937,2.588485966736224
20260808_145501,30.0,5,1.8443710472645702,1.2079539617383526,2.2047352071546342
20260808_145501,35.0,5,1.8780309078015027,2.2650826130500423,2.942379875984633
20260808_145501,40.0,5,1.8956889002626083,1.1831918572455697,2.234631821493437
20260808_145501,45.0,5,1.8933024419970736,1.4586666103566408,2.390042346286236
20260808_145501,50.0,5,1.4096093128352385,2.1482128285172677,2.569400080064993
20260808_151001,0.0,5,0.6040422842405891,0.8100048255948243,1.0104330253101836
20260808_151001,5.0,5,1.0952838891909817,0.6661961951086888,1.2819766644906674
20260808_151001,10.0,5,1.4256571978691077,1.3575207676906365,1.9685936809172608
20260808_151001,15.0,5,1.4254109023250876,1.3133530727070712,1.9382189076717642
20260808_151001,20.0,5,1.3544883072176395,2.103363116254065,2.5017543790722776
20260808_151001,25.0,5,1.8289874481817765,2.452815308080231,3.0596565201275783
20260808_151001,30.0,5,2.7270928890074506,1.3403656924400738,3.0386865278842703
20260808_151001,35.0,5,3.8688460896642107,1.7481505778710207,4.245468231941071
20260808_151001,40.0,5,5.0166122959015995,1.2033245939768822,5.158913548981098
20260808_151001,45.0,5,5.7200246811724655,1.0492310393136406,5.8154594080847435
20260808_151001,50.0,5,9.238712087458872,0.8750133805050149,9.280056543525017
20260808_162715,0.0,5,0.5920855511763418,0.8050463966973583,0.9993322774468925
20260808_162715,5.0,5,2.419567387858808,1.06373201130154,2.6430724803261665
20260808_162715,10.0,5,3.333438692574458,2.834751516786511,4.375800461524261
20260808_162715,15.0,5,3.1414282766868253,1.442143741496127,3.456638567843622
20260808_162715,20.0,5,2.5356399984005904,1.2583656439772264,2.830716215983363
20260808_162715,25.0,5,1.6044398526568073,0.8170193032962787,1.8004854297528026
20260808_162715,30.0,5,2.449805393502153,1.1501586285204375,2.7063649674041104
20260808_162715,35.0,5,3.128492665670346,1.59661743169801,3.5123572686096582
20260808_162715,40.0,5,2.5358653235243342,0.8172150848747712,2.6642922951508257
20260808_162715,45.0,5,2.09171650089324,0.8484115641902604,2.257228411650187
20260808_162715,50.0,5,1.87681270446818,1.9441074017244042,2.702217518463822
