camera,frame_idx,color_path,detected,aruco_u,aruco_v,aruco_area_px,board_x_mm,board_y_mm,depth_mm,depth_valid_count_5x5,depth_valid_rate_5x5
camA,1,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_1.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,2,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_2.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,3,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_3.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,4,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_4.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,5,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_5.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.2,25,1.0
camA,6,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_6.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.2,25,1.0
camA,7,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_7.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.5,25,1.0
camA,8,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_8.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,9,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_9.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,10,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_10.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.2,25,1.0
camA,11,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_11.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,12,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_12.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.0,25,1.0
camA,13,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_13.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.1,25,1.0
camA,14,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_14.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.5,25,1.0
camA,15,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_15.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.2,25,1.0
camA,16,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_16.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,17,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_17.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,18,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_18.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,19,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_19.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,20,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_20.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.5,25,1.0
camA,21,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_21.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.1,25,1.0
camA,22,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_22.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.1,25,1.0
camA,23,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_23.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.0,25,1.0
camA,24,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_24.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.2,25,1.0
camA,25,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_25.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.1,25,1.0
camA,26,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_26.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,27,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_27.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.1,25,1.0
camA,28,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_28.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.4,25,1.0
camA,29,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_29.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.5,25,1.0
camA,30,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camA\Color_30.bmp,1,331.75,292.0,1011.5,107.696,-9.743,456.5,25,1.0
