camera,frame_idx,color_path,detected,aruco_u,aruco_v,aruco_area_px,board_x_mm,board_y_mm,depth_mm,depth_valid_count_5x5,depth_valid_rate_5x5
camB,1,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_1.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.3,25,1.0
camB,2,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_2.bmp,1,288.5,329.5,1566.0,94.239,112.068,396.3,25,1.0
camB,3,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_3.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.3,25,1.0
camB,4,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_4.bmp,1,288.25,329.5,1585.0,94.126,112.286,396.4,25,1.0
camB,5,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_5.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.6,25,1.0
camB,6,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_6.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.5,25,1.0
camB,7,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_7.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.6,25,1.0
camB,8,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_8.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.2,25,1.0
camB,9,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_9.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.5,25,1.0
camB,10,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_10.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.4,25,1.0
camB,11,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_11.bmp,1,288.25,329.5,1534.0,94.126,112.286,396.3,25,1.0
camB,12,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_12.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.4,25,1.0
camB,13,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_13.bmp,1,288.25,329.5,1585.0,94.126,112.286,396.2,25,1.0
camB,14,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_14.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.2,25,1.0
camB,15,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_15.bmp,1,288.5,329.75,1541.0,94.548,112.205,396.2,25,1.0
camB,16,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_16.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.4,25,1.0
camB,17,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_17.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.2,25,1.0
camB,18,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_18.bmp,1,288.5,329.75,1541.0,94.548,112.205,396.2,25,1.0
camB,19,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_19.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.5,25,1.0
camB,20,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_20.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.6,25,1.0
camB,21,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_21.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.5,25,1.0
camB,22,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_22.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.7,25,1.0
camB,23,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_23.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.2,25,1.0
camB,24,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_24.bmp,1,288.5,329.75,1541.0,94.548,112.205,396.4,25,1.0
camB,25,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_25.bmp,1,288.5,329.5,1566.0,94.239,112.068,396.3,25,1.0
camB,26,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_26.bmp,1,288.25,329.5,1585.0,94.126,112.286,396.2,25,1.0
camB,27,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_27.bmp,1,288.25,329.75,1559.5,94.435,112.423,396.1,25,1.0
camB,28,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_28.bmp,1,288.5,329.5,1566.0,94.239,112.068,396.2,25,1.0
camB,29,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_29.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.5,25,1.0
camB,30,C:\BerxelWork\calibration\eyetohand_dual_0801\repeat_static\camB\Color_30.bmp,1,289.0,329.5,1528.0,94.466,111.632,395.6,25,1.0
