covariance_case,stage,comparison,directed_residual_sigma,before_nuisance_residual_sigma,discriminative_energy_removed_fraction
D0,before_nuisance,C_wz_vs_q1,8.356037154486954,8.356037154486954,0.0
D0,before_nuisance,T_wz_vs_q6,1.1824519375508746,1.1824519375508746,0.0
D0,after_X_F_projection,C_wz_vs_q1,0.2823231243826977,8.356037154486954,0.9988584572545781
D0,after_X_F_projection,T_wz_vs_q6,1.15269534389817,1.1824519375508746,0.04969703711616413
D0,after_full_implemented_nuisance_projection,C_wz_vs_q1,0.2823231243826977,8.356037154486954,0.9988584572545781
D0,after_full_implemented_nuisance_projection,T_wz_vs_q6,1.1526953438981697,1.1824519375508746,0.04969703711616458
D1,before_nuisance,C_wz_vs_q1,8.356037154486952,8.356037154486952,0.0
D1,before_nuisance,T_wz_vs_q6,1.666800559954541,1.666800559954541,0.0
D1,after_X_F_projection,C_wz_vs_q1,0.34299010116542306,8.356037154486952,0.9983151453227868
D1,after_X_F_projection,T_wz_vs_q6,1.5864130353821995,1.666800559954541,0.09413127875711835
D1,after_full_implemented_nuisance_projection,C_wz_vs_q1,0.34299010116542306,8.356037154486952,0.9983151453227868
D1,after_full_implemented_nuisance_projection,T_wz_vs_q6,1.5864130353821995,1.666800559954541,0.09413127875711835
