stage,fault,total_norm,zV_norm,zR_norm,zL_norm,zG_norm
J_aug_native_unit,C_wz,3.47220637562012,0.0,0.0,3.4722063756201202,0.0
J_aug_native_unit,R_q1,4.9104751437091005,0.0,1.5603088399007602e-09,3.472206377685126,3.4722541680798145
J_aug_native_unit,T_wz,4.242640687118661,0.0,0.0,3.0,2.999999999999117
J_aug_native_unit,R_q6,4.242782106005669,0.0,0.03464100516698514,2.999999999983577,2.999999999983577
Sigma^-1/2_J_native_unit,C_wz,1714.0409185465223,0.0,0.0,1714.040918546522,0.0
Sigma^-1/2_J_native_unit,R_q1,2097.678873792711,0.0,1.0330563020757008e-06,1714.0409196538421,1209.2643976023055
Sigma^-1/2_J_native_unit,T_wz,292.50042620947363,0.0,0.0,239.0784819370385,168.5169985710785
Sigma^-1/2_J_native_unit,R_q6,293.4611667285383,0.0,23.726715867798042,239.07848193572974,168.51699857020557
Sigma^-1/2_J_S_theta,C_wz,14.49499600116303,0.0,0.0,14.49499600116303,0.0
Sigma^-1/2_J_S_theta,R_q1,17.73927713085737,0.0,8.736166561646212e-09,14.494996001172387,10.226291803550096
Sigma^-1/2_J_S_theta,T_wz,14.625021310473679,0.0,0.0,11.953924096851923,8.425849928553923
Sigma^-1/2_J_S_theta,R_q6,14.673058336507236,0.0,1.1863357933963963,11.953924096851924,8.425849928556403
P_N_perp_Sigma^-1/2_J_S_theta,C_wz,14.49499600116303,0.0,0.0,14.49499600116303,0.0
P_N_perp_Sigma^-1/2_J_S_theta,R_q1,14.497746227252001,1.2477527894384857e-21,0.19674763203594192,14.494996001172387,0.20255114189856496
P_N_perp_Sigma^-1/2_J_S_theta,T_wz,12.011508494913107,7.379638350583109e-21,1.1632752023449244,11.953924096851923,0.1637858775415634
P_N_perp_Sigma^-1/2_J_S_theta,R_q6,12.182628671743178,7.2340688607842e-21,2.326550404687989,11.953924096851924,0.3275717550828562
