stage,channel,block,rank,frobenius_norm,singular_values
J_nuisance,ALL,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,ALL,X_F,6,7.348632525795643,"[3.000199993332888, 3.000099998333177, 3.0000999983325007, 3.000000000657136, 2.999999999742686, 2.999999999465773]"
J_nuisance,ALL,X_B_plus_X_F,6,7.348632525795643,"[3.000199993332887, 3.0000999983331758, 3.0000999983325007, 3.000000000657136, 2.999999999742686, 2.9999999994657736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zV,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zV,X_F,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zV,X_B_plus_X_F,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zR,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zR,X_F,5,0.04898979485485201,"[0.03464101615080026, 0.02449489742764757, 0.024494897427209283, 4.014962751470794e-12, 3.8921538369488105e-12, 9.960871988166491e-13]"
J_nuisance,zR,X_B_plus_X_F,5,0.04898979485485201,"[0.034641016150800265, 0.024494897427647568, 0.024494897427209273, 4.014963223943967e-12, 3.892153639478329e-12, 9.960871394233502e-13, 1.298275319536772e-18, 1.6040258689948027e-19, 1.396303545260827e-22, 7.22112989609252e-26, 1.5460251190585548e-28, 0.0]"
J_nuisance,zL,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zL,X_F,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zL,X_B_plus_X_F,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zG,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
J_nuisance,zG,X_F,6,7.348469228293858,"[3.0000000007109784, 3.000000000045709, 2.9999999999990368, 2.9999999999974047, 2.9999999997209392, 2.9999999993895514]"
J_nuisance,zG,X_B_plus_X_F,6,7.348469228293858,"[3.000000000710979, 3.000000000045709, 2.999999999999037, 2.999999999997405, 2.9999999997209383, 2.9999999993895514, 3.3884225381050878e-16, 2.0834676289728198e-16, 1.495175751882849e-16, 7.724045818599025e-17, 2.7208132889341067e-17, 0.0]"
Sigma^-1/2_J_nuisance,ALL,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,ALL,X_F,6,3571.1148701590705,"[2054.794520998039, 2054.7945203717027, 2054.794520182037, 170.17912977294245, 169.35010336239503, 169.3501033623535]"
Sigma^-1/2_J_nuisance,ALL,X_B_plus_X_F,6,3571.1148701590705,"[2054.7945209980394, 2054.7945203717027, 2054.794520182037, 170.17912977294245, 169.35010336239506, 169.3501033623537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zV,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zV,X_F,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zV,X_B_plus_X_F,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zR,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zR,X_F,5,33.55465401017261,"[23.72672339095907, 16.77732700523806, 16.777327004937856, 2.7499745090976636e-09, 2.6658588427194906e-09, 6.822514878637033e-10]"
Sigma^-1/2_J_nuisance,zR,X_B_plus_X_F,5,33.55465401017261,"[23.726723390959087, 16.77732700523806, 16.777327004937867, 2.7499748109460397e-09, 2.6658586571704723e-09, 6.822514653579984e-10, 1.1951250936228142e-15, 4.0099206925319697e-16, 1.0825184857491667e-18, 8.783331487549143e-23, 1.1218537793821104e-25, 0.0]"
Sigma^-1/2_J_nuisance,zL,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zL,X_F,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zL,X_B_plus_X_F,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zG,X_B,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Sigma^-1/2_J_nuisance,zG,X_F,6,3570.957224759979,"[2054.7945209980385, 2054.794520371702, 2054.794520182036, 168.5169985711227, 168.51699857108474, 168.5169985710658]"
Sigma^-1/2_J_nuisance,zG,X_B_plus_X_F,6,3570.957224759979,"[2054.794520998039, 2054.794520371703, 2054.7945201820376, 168.51699857112266, 168.5169985710848, 168.51699857106595, 1.0939544268603332e-13, 5.5861590744894007e-14, 7.78700871888978e-15, 3.3392307055526076e-15, 1.020957575891256e-15, 0.0]"
