pair,view_id,before_pose_nuisance_raw_px,after_pose_nuisance_raw_px,before_pose_nuisance_whitened_sigma,after_pose_nuisance_whitened_sigma,after_over_before
P-C,0,2.0497260489472873,1.5878219504200446e-06,12.057212052631101,9.340129120117908e-06,7.746508130857435e-07
P-C,1,2.043306703242178,1.5721341325310804e-06,12.019451195542223,9.247847838418119e-06,7.694068296436e-07
P-C,2,2.056697260441423,1.6030163410748451e-06,12.098219179067193,9.42950788867556e-06,7.794128829299819e-07
P-C,3,2.0827965551640553,1.5557268799088117e-06,12.2517444421415,9.151334587698892e-06,7.469413544263674e-07
P-C,4,2.0166298783185925,1.6227746113741718e-06,11.86252869599172,9.545733008083364e-06,8.046963048703782e-07
P-C,5,2.0764919703032074,1.5398349520013707e-06,12.214658648842395,9.057852658831592e-06,7.415559385844991e-07
P-C,6,2.0896438324134077,1.5715764653062735e-06,12.29202254360828,9.24456744297808e-06,7.520786274334613e-07
P-C,7,2.0100921200709263,1.6065263946632749e-06,11.82407129453486,9.450155262725146e-06,7.992302335907811e-07
P-C,8,2.023728923921106,1.6364201587474653e-06,11.904287787771212,9.626000933808619e-06,8.086162822522668e-07
P-T,0,2.0561362838005395,1.058955796467893e-06,12.09491931647376,6.229151743928782e-06,5.150221825328284e-07
P-T,1,2.049856909171972,1.0446620466641533e-06,12.057981818658659,6.145070862730314e-06,5.096268144326906e-07
P-T,2,2.0629666608912083,1.0724730522434438e-06,12.135098005242401,6.308665013196728e-06,5.198693088816724e-07
P-T,3,2.0892364254772824,1.0309040098666608e-06,12.289626032219306,6.064141234509769e-06,4.934357822289799e-07
P-T,4,2.0230095072206193,1.0885258809964789e-06,11.900055924827171,6.403093417626346e-06,5.380725484043757e-07
P-T,5,2.0830692540170306,1.0166927279228167e-06,12.253348553041356,5.98054545836951e-06,4.880743767698587e-07
P-T,6,2.0959454285888217,1.0456031813406627e-06,12.329090756404833,6.150606949062721e-06,4.988694682020688e-07
P-T,7,2.0166143678400665,1.0743015112715009e-06,11.862437457882743,6.31942065453824e-06,5.327253085190264e-07
P-T,8,2.029965069443638,1.100800862151734e-06,11.940970996727282,6.475299189127846e-06,5.422757655891268e-07
