camera,height_mm,n_runs,n_residual_vectors,within_dof,covariance_rank,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,cov_rho_x_mm_rho_x_mm,cov_rho_x_mm_rho_y_mm,cov_rho_x_mm_rho_z_mm,cov_rho_x_mm_omega_x_rad,cov_rho_x_mm_omega_y_rad,cov_rho_x_mm_omega_z_rad,cov_rho_y_mm_rho_x_mm,cov_rho_y_mm_rho_y_mm,cov_rho_y_mm_rho_z_mm,cov_rho_y_mm_omega_x_rad,cov_rho_y_mm_omega_y_rad,cov_rho_y_mm_omega_z_rad,cov_rho_z_mm_rho_x_mm,cov_rho_z_mm_rho_y_mm,cov_rho_z_mm_rho_z_mm,cov_rho_z_mm_omega_x_rad,cov_rho_z_mm_omega_y_rad,cov_rho_z_mm_omega_z_rad,cov_omega_x_rad_rho_x_mm,cov_omega_x_rad_rho_y_mm,cov_omega_x_rad_rho_z_mm,cov_omega_x_rad_omega_x_rad,cov_omega_x_rad_omega_y_rad,cov_omega_x_rad_omega_z_rad,cov_omega_y_rad_rho_x_mm,cov_omega_y_rad_rho_y_mm,cov_omega_y_rad_rho_z_mm,cov_omega_y_rad_omega_x_rad,cov_omega_y_rad_omega_y_rad,cov_omega_y_rad_omega_z_rad,cov_omega_z_rad_rho_x_mm,cov_omega_z_rad_rho_y_mm,cov_omega_z_rad_rho_z_mm,cov_omega_z_rad_omega_x_rad,cov_omega_z_rad_omega_y_rad,cov_omega_z_rad_omega_z_rad,semantics
ihawk1,0.0,5,15,10,6,0.23495822998415206,0.21822073603552733,0.22330414967317164,0.0003107695065932049,0.0003950794362516086,0.00012463578498899194,0.05520536983728569,0.050143445528550955,-0.05215650281512516,6.846905423918092e-05,-7.916607811884851e-05,-1.0385622410989989e-05,0.050143445528550955,0.04762028963588729,-0.048450834611943217,6.31907504167386e-05,-7.767039168752151e-05,-8.441733122351285e-06,-0.05215650281512516,-0.048450834611943217,0.04986474326125824,-6.540462686597541e-05,7.719795160594083e-05,9.354505700486954e-06,6.846905423918092e-05,6.31907504167386e-05,-6.540462686597541e-05,9.657768622818404e-08,-8.778751387357717e-08,-5.489572993574714e-09,-7.916607811884851e-05,-7.767039168752151e-05,7.719795160594083e-05,-8.778751387357717e-08,1.560877609488889e-07,2.3700082256660962e-08,-1.0385622410989989e-05,-8.441733122351285e-06,9.354505700486954e-06,-5.489572993574714e-09,2.3700082256660962e-08,1.553407889982223e-08,Sigma_within random board-pose measurement covariance only
ihawk1,5.0,5,15,10,6,0.0439483434437757,0.07556816921314465,0.05835700947726596,0.00010867233381238792,0.0001472963484313191,0.00010635601107261972,0.0019314568914520626,0.0031826080393166914,-0.0024690075637618485,2.7712490381148357e-06,-2.7247226921558575e-06,3.640193809655032e-07,0.0031826080393166914,0.005710548198226463,-0.004371504734460808,5.440438336233505e-06,-6.358752135471194e-06,1.908062498739232e-06,-0.0024690075637618485,-0.004371504734460808,0.003405540555129709,-4.2408369919037555e-06,5.1130698146563804e-06,-1.2704948039587702e-06,2.7712490381148357e-06,5.440438336233505e-06,-4.2408369919037555e-06,1.1809676136231072e-08,-1.0599945908515621e-08,7.877648201394792e-09,-2.7247226921558575e-06,-6.358752135471194e-06,5.1130698146563804e-06,-1.0599945908515621e-08,2.1696214261200566e-08,-7.575482665321773e-09,3.640193809655032e-07,1.908062498739232e-06,-1.2704948039587702e-06,7.877648201394792e-09,-7.575482665321773e-09,1.131160109127921e-08,Sigma_within random board-pose measurement covariance only
ihawk1,10.0,5,15,10,6,0.0519666590581567,0.07399821661273254,0.059337984009379126,0.00017433538879270036,0.0001366785067950895,0.00010842903512748035,0.0027005336536667,0.003697217045925073,-0.0030283824983813115,7.284756797904451e-06,-5.0160643871402574e-06,-2.350232682586765e-07,0.003697217045925073,0.005475736061864887,-0.004300599286499553,1.1646074338098045e-05,-6.049635226021552e-06,1.4323280334029247e-06,-0.0030283824983813115,-0.004300599286499553,0.003520996346297333,-8.651398537782791e-06,5.53418921438095e-06,-2.0979283595920683e-07,7.284756797904451e-06,1.1646074338098045e-05,-8.651398537782791e-06,3.0392827785502e-08,-9.413923659075394e-09,9.65144031187042e-09,-5.0160643871402574e-06,-6.049635226021552e-06,5.53418921438095e-06,-9.413923659075394e-09,1.8681014219735327e-08,6.472586895146659e-09,-2.350232682586765e-07,1.4323280334029247e-06,-2.0979283595920683e-07,9.65144031187042e-09,6.472586895146659e-09,1.1756855658676367e-08,Sigma_within random board-pose measurement covariance only
ihawk1,15.0,5,15,10,6,0.04610710769409995,0.10480437547803921,0.07094720601025124,0.00018932302472161002,0.0006724047438563718,0.0008105687683552931,0.0021258653799153308,0.0026685150142531115,-0.001918151729909632,3.767784956699847e-06,-7.057288807468063e-07,1.1220171194038106e-05,0.0026685150142531115,0.010983957119341827,-0.007379836646814425,-8.39123197943919e-06,-5.8274256932080874e-05,-5.3030408412612905e-05,-0.001918151729909632,-0.007379836646814425,0.005033506040661031,5.201495106403092e-06,3.70671080292621e-05,3.370522542181052e-05,3.767784956699847e-06,-8.39123197943919e-06,5.201495106403092e-06,3.584320768973936e-08,9.46468421717761e-08,1.369398625819725e-07,-7.057288807468063e-07,-5.8274256932080874e-05,3.70671080292621e-05,9.46468421717761e-08,4.5212813956055294e-07,4.992345979605282e-07,1.1220171194038106e-05,-5.3030408412612905e-05,3.370522542181052e-05,1.369398625819725e-07,4.992345979605282e-07,6.570217282330168e-07,Sigma_within random board-pose measurement covariance only
ihawk1,20.0,5,15,10,6,0.1654922789120651,0.1779952333486125,0.15119041407054476,0.0006885496596204851,0.0008736389200813664,0.0003273732873807851,0.027387694379508755,0.02927706623697881,-0.024083108131922694,8.262538116734513e-05,2.4358057028151874e-05,-4.65669686644239e-05,0.02927706623697881,0.031682303094827016,-0.025587423601209764,8.9100876725834e-05,2.3297603298081008e-05,-4.714384820579358e-05,-0.024083108131922694,-0.025587423601209764,0.022858541306822775,-8.380708744839787e-05,-4.8897460507486835e-05,3.8962313958794276e-05,8.262538116734513e-05,8.9100876725834e-05,-8.380708744839787e-05,4.741006337634859e-07,4.53680490401201e-07,-1.1674194965471433e-07,2.4358057028151874e-05,2.3297603298081008e-05,-4.8897460507486835e-05,4.53680490401201e-07,7.63244962680936e-07,-1.2054615483938643e-08,-4.65669686644239e-05,-4.714384820579358e-05,3.8962313958794276e-05,-1.1674194965471433e-07,-1.2054615483938643e-08,1.0717326929050208e-07,Sigma_within random board-pose measurement covariance only
ihawk1,25.0,5,15,10,6,0.2674747237245359,0.5443299258456048,0.38955440294684446,0.0020864939178535484,0.0017791818564768195,0.001457920314484109,0.0715427278315168,0.13983101561644365,-0.10100905868013968,0.00023131329862031497,-9.489674040324335e-05,0.00019332726258398857,0.13983101561644365,0.2962950681710816,-0.208687508192155,0.0006813867101866304,-0.00010059734520759816,0.000564426448191051,-0.10100905868013968,-0.208687508192155,0.15175263285527246,-0.00045961641205044605,-2.2850068308314625e-06,-0.00035204652819037063,0.00023131329862031497,0.0006813867101866304,-0.00045961641205044605,4.353456869239849e-06,1.606664053920757e-06,2.541371555559907e-06,-9.489674040324335e-05,-0.00010059734520759816,-2.2850068308314625e-06,1.606664053920757e-06,3.1654880784163016e-06,1.7389451657134522e-07,0.00019332726258398857,0.000564426448191051,-0.00035204652819037063,2.541371555559907e-06,1.7389451657134522e-07,2.1255316433854435e-06,Sigma_within random board-pose measurement covariance only
ihawk1,30.0,5,15,10,6,0.07058829372446891,0.08076492018572429,0.07303488660337124,0.00018136213185902632,0.0004313205531565636,0.00016219646990035542,0.004982707210931898,0.0055835722492763185,-0.005104223159509055,4.826175225695698e-06,-1.5319711663913672e-05,-4.722312746179423e-06,0.0055835722492763185,0.006522972332606414,-0.00577958940270815,7.4231865864245284e-06,-1.2807339550144394e-05,-3.1493099912589286e-06,-0.005104223159509055,-0.00577958940270815,0.0053340946611672956,-4.748324696998937e-06,1.7047769560043275e-05,4.319355060190635e-06,4.826175225695698e-06,7.4231865864245284e-06,-4.748324696998937e-06,3.289222287245085e-08,3.597572345719981e-08,1.3616943131181108e-08,-1.5319711663913672e-05,-1.2807339550144394e-05,1.7047769560043275e-05,3.597572345719981e-08,1.86037419575284e-07,5.3875104281265685e-08,-4.722312746179423e-06,-3.1493099912589286e-06,4.319355060190635e-06,1.3616943131181108e-08,5.3875104281265685e-08,2.6307694848136897e-08,Sigma_within random board-pose measurement covariance only
ihawk1,35.0,5,15,10,6,0.3696949169296373,0.6645217508443947,0.3736268492721662,0.0003790406515174255,0.0029314116071152093,0.0006089789695625905,0.13667433160361142,0.24533274798737748,-0.13787141895992033,-3.5256674957394435e-05,-0.0010621246378663708,0.00022183527384246867,0.24533274798737748,0.44158915734529974,-0.24779189351332703,-6.516267349699763e-05,-0.0019127290585607807,0.0004002435322875364,-0.13787141895992033,-0.24779189351332703,0.139597022497046,3.058183742878663e-05,0.0010623720033554704,-0.0002230172664706461,-3.5256674957394435e-05,-6.516267349699763e-05,3.058183742878663e-05,1.4367181550275438e-07,4.606741807423754e-07,-7.170967194413108e-08,-0.0010621246378663708,-0.0019127290585607807,0.0010623720033554704,4.606741807423754e-07,8.593174010329775e-06,-1.7650678898673235e-06,0.00022183527384246867,0.0004002435322875364,-0.0002230172664706461,-7.170967194413108e-08,-1.7650678898673235e-06,3.708553853695146e-07,Sigma_within random board-pose measurement covariance only
ihawk1,40.0,5,15,10,6,0.2981996716564431,0.5523483411409119,0.3647016906552281,0.0005338154132327427,0.0008757924831039718,0.00018913801486811639,0.08892304417601049,0.164298909806117,-0.1084216857232401,9.914022636561926e-05,-0.0002461288406173425,1.545531584751066e-05,0.164298909806117,0.30508868996111727,-0.20039233425733505,0.00019155178658522088,-0.00045983732946285494,3.472200596663678e-05,-0.1084216857232401,-0.20039233425733505,0.1330073231667817,-0.00011172568009111484,0.0002942783339479753,-1.7797855931179133e-05,9.914022636561926e-05,0.00019155178658522088,-0.00011172568009111484,2.8495889540484384e-07,-3.7237518772944827e-07,7.480023169641109e-08,-0.0002461288406173425,-0.00045983732946285494,0.0002942783339479753,-3.7237518772944827e-07,7.670124734614206e-07,-7.009300923985559e-08,1.545531584751066e-05,3.472200596663678e-05,-1.7797855931179133e-05,7.480023169641109e-08,-7.009300923985559e-08,3.577318866825182e-08,Sigma_within random board-pose measurement covariance only
ihawk1,45.0,5,15,10,6,0.053976212615237405,0.07017827120740101,0.05658700441329743,0.00016066544076579655,0.00035197101665947964,0.00035924113805550594,0.0029134315282853132,0.002797178377027862,-0.002031431508167209,5.971806418789202e-06,-1.014791606834324e-05,-4.979767791465265e-06,0.002797178377027862,0.004924989749659529,-0.0038287998486996157,7.109465371777159e-06,1.5388515918872234e-06,1.015018418311668e-05,-0.002031431508167209,-0.0038287998486996157,0.003202089068470542,-4.045872396480674e-06,-3.817106773158351e-06,-1.0577685470994494e-05,5.971806418789202e-06,7.109465371777159e-06,-4.045872396480674e-06,2.5813383856467677e-08,-1.5925945378145024e-08,-8.69786223448153e-09,-1.014791606834324e-05,1.5388515918872234e-06,-3.817106773158351e-06,-1.5925945378145024e-08,1.238835965683077e-07,1.1184009207430938e-07,-4.979767791465265e-06,1.015018418311668e-05,-1.0577685470994494e-05,-8.69786223448153e-09,1.1184009207430938e-07,1.290541952714151e-07,Sigma_within random board-pose measurement covariance only
