camera,height_mm,n_runs,b_pose_rho_x_mm,b_pose_rho_y_mm,b_pose_rho_z_mm,b_pose_omega_x_rad,b_pose_omega_y_rad,b_pose_omega_z_rad,definition
ihawk1,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,5.0,5,0.15017656007698965,0.16468424325904055,0.12024288064795227,-0.00046391094960787323,-0.0012137832148575271,-0.002447561739828365,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,10.0,5,-0.0512023334924206,0.2660014434291561,-0.9001922317950394,-0.0009208148848526357,-0.0009663431526168958,-0.006603136642493067,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,15.0,5,0.8177049660615384,0.46150444231942495,-0.7496761575535342,0.001135407584188348,-0.0022148696580432657,-0.006532871022959575,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,20.0,5,1.2199781493236936,-0.23199461537942642,-0.8738820974603803,0.001248768519614825,-0.0017192687840350022,-0.006589744211176362,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,25.0,5,0.6619733467226437,-0.984221148967132,-0.4685249695572564,-0.002204322600940678,0.0026730428366368384,-0.006800550936065748,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,30.0,5,0.26214476181757757,0.06231569272620444,-0.9755553967674292,0.0003949454794534307,0.0003551083599878123,0.006249876188472017,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,35.0,5,-0.5350689810481499,-1.3484159140224727,-0.6376882669512685,-0.002025646990890696,0.0047036140544037906,0.0023678744661760846,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,40.0,5,-2.050831935433211,-1.521037363027007,-0.06305474082362356,-0.0003075950744354041,0.002436462843198224,0.007474698508668081,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,45.0,5,-1.6353657568284803,0.25850970333751233,-0.6804460039434516,0.0018281622388772296,0.0030277222667363744,0.008457947015357943,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk1,50.0,5,-1.887152408795673,-0.9818735280250847,-0.9139973609253214,-0.001271943520699981,0.002274470362252677,0.00758357251454196,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,5.0,5,0.05982816342001791,0.23674173501403137,0.09949667516554866,-0.0005126911913020845,-0.0004958424677807023,-0.00287218531907447,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,10.0,5,-0.28373123809936995,0.0823803244631834,-0.7724833043539872,-0.00021210886940420393,-0.0008843053993924581,-0.006826601290859716,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,15.0,5,0.46663696800513565,0.10348728766576336,-0.4603457055348208,0.0005146907030597249,-0.0024291935650336935,-0.007243699090173665,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,20.0,5,0.8747170290448728,-0.52733917578608,-0.5759307875895752,2.2769794435178396e-05,-0.0016428638010784998,-0.006902771798545784,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,25.0,5,0.6758699696183386,-0.5211176248410762,-0.6343641395344813,-0.0007489241452843872,0.0012895028128760454,-0.005722865566393852,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,30.0,5,-0.27559489776149315,-0.5933488256052921,-0.4221313654720789,-0.000775069846416345,0.001628921138099424,0.0050735932335129455,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,35.0,5,-0.46913180100463686,-0.9811805443251208,-0.7433684213918683,-0.0008853820605248723,0.0007274746444374201,0.0032701998452755693,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,40.0,5,-2.1976681986130524,-1.1119302812691148,-0.06693765995809674,0.00048664674990467777,0.0022962633203792646,0.007512306744846761,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,45.0,5,-2.158164106668085,-0.10844273909958695,-0.32869218896795144,0.0003375773991692847,0.0018453015490082947,0.008018302395925696,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
ihawk2,50.0,5,-1.5506292511329622,-1.157155420434112,-0.8830072402155899,-0.0007820001713640444,0.0004205894433080937,0.007061012740049724,SE3 mean across runs of inv(T_bar_run_0*Trans_z(height)) @ T_bar_run_height
