camera,run_id,height_mm,marker_id,board_position,n_frames,selected_branch_sequence,branch_switch_flag,large_mode_jump_flag,max_pairwise_rho_mm,max_pairwise_omega_rad,covariance_rank,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,role
ihawk1,20260808_131913,0.0,0,TL,3,A/A/A,0,0,1.5179084536242637,0.0023286904739446227,2,0.2479736398940444,0.6543704288175962,0.409397902341985,0.0007533460448981003,0.0006638774554741392,0.0007411341341726939,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,0.0,1,TR,3,A/A/A,0,0,1.5123558974472615,0.0018513838958461265,2,0.4234223849723165,0.6132309738803732,0.40377133190220377,0.0009291451126638712,0.00017851197648057472,0.0004359297029243996,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,0.0,2,BL,3,A/A/A,0,0,0.2457191130023232,0.002353147783456805,2,0.060100828203242855,0.0699294508413658,0.09438391484433174,0.00035852012354829305,0.0008353084707003466,0.0008286057764823704,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,0.0,3,BR,3,A/A/A,0,0,0.3253445843079578,0.0076199719312622476,2,0.1251198872965994,0.06243600715621905,0.10949759389874372,0.0020954319386947604,0.0015492761417294399,0.003531986426333107,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,0.0,4,C,3,A/A/A,0,0,0.40667787016439233,0.0011829151070239406,2,0.10123708314085254,0.1549054467998887,0.11218329123404185,0.0004428578792138333,0.000504052002706828,0.00036061039518842813,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,5.0,0,TL,3,A/A/A,0,0,0.3766766321950536,0.0008702028469274108,2,0.06874726155075507,0.14750762396883693,0.11013674103073834,0.00017688487841296184,0.00043343031703852293,0.00012699411239992163,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,5.0,1,TR,3,A/A/A,0,0,1.0273639012386766,0.005415060245196869,2,0.21075989205444956,0.3933321227410567,0.2691507857214092,0.0020974371545662276,0.0011011421998422535,0.0014417958848115036,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,5.0,2,BL,3,A/A/A,0,0,0.19152591914326558,0.001791793847395539,2,0.03818801114286045,0.06287236561475834,0.06290157311413654,0.0005971299275957761,0.00027228783788673576,0.0006369737479511912,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,5.0,3,BR,3,A/A/A,0,0,1.3341935482958314,0.003144551476436469,2,0.42062414174337803,0.3353041184394582,0.39731915745791857,0.0007936394294897501,0.0009018458011466557,0.0014675578075107251,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,5.0,4,C,3,A/A/A,0,0,0.32256995916925274,0.002028853979425546,2,0.06604535760052897,0.11526742277574228,0.09561764297073636,0.000646206131707344,0.0008841207905358127,0.0005679303698826644,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,10.0,0,TL,3,A/A/A,0,0,0.32385185657523485,0.0024279831100482725,2,0.05322029393821257,0.1503873873942167,0.09076355683983926,0.0004940905494228462,0.0005805926948351635,0.0010198362018809927,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,10.0,1,TR,3,A/A/A,0,0,0.7638918793205982,0.010190894540594547,2,0.19959236511620157,0.3406388193050401,0.15293315545682964,0.002635981619829232,0.002363482445556887,0.004768339277075033,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,10.0,2,BL,3,A/A/A,0,0,0.27273634860567914,0.0025324460032853558,2,0.04528925597216979,0.08806357437224506,0.09424478309076417,0.001032092604708647,0.0007864278725921796,0.00033340661100781434,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,10.0,3,BR,3,A/A/A,0,0,0.5483069660191838,0.0009693998136312033,2,0.15517051156601827,0.16650419753196039,0.17803886627114152,0.00045155227796806125,0.0002583078666904128,0.0002406054503001285,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,10.0,4,C,3,A/A/A,0,0,0.6953404902524902,0.002844999426085398,2,0.14675352487368415,0.2570013194134057,0.1833223434264168,0.0006743613027124759,0.0010654101384865138,0.0010330464418957714,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,15.0,0,TL,3,A/A/A,0,0,0.6965372813195518,0.0038394533891254953,2,0.11570203967584194,0.2934237164171567,0.1951815276375978,0.0003672327948054635,0.001512696561393573,0.001322017025086008,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,15.0,1,TR,3,A/A/A,0,0,1.2288809352345043,0.0028592775180798194,2,0.3140068670986174,0.48827473189132237,0.33075009244138914,0.0007303698712054851,0.0007716455958860962,0.001425233689083608,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,15.0,2,BL,3,A/A/A,0,0,0.5810664252665765,0.004268246258172014,2,0.12969696970201047,0.18512272441984634,0.2042482756845227,0.0014680368077014286,0.0005142464605439907,0.0015699466515455528,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,15.0,3,BR,3,A/A/A,0,0,0.3014110754802408,0.0021547128008515986,2,0.0951497091202702,0.07922171735929383,0.08912723862494455,0.000493232609518276,0.0009674773110030149,0.0005372072093425357,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,15.0,4,C,3,A/A/A,0,0,1.9787651358404175,0.0049080900294128475,2,0.46287254006090844,0.7069503207151799,0.5673149740233094,0.0014590740069808554,0.0013628100309406855,0.002073970507285156,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,20.0,0,TL,3,A/A/A,0,0,1.185331870705268,0.0036838951677261793,2,0.1626543502559277,0.48837392780486716,0.31115407829940706,0.000676484490250043,0.00038383779021505663,0.001724856308171113,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,20.0,1,TR,3,A/A/A,0,0,0.37323129487716655,0.0015214716740996569,2,0.09486029635464384,0.14594647288664359,0.08674696502876943,0.00022486499563186094,0.00048553072814019974,0.0005844903391434357,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,20.0,2,BL,3,A/A/A,0,0,0.11665111685598374,0.001358910507718627,2,0.012850795149435707,0.04082584288323838,0.042580676244939386,0.00039035769398184636,0.0005499263937925437,0.00014908530142600953,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,20.0,3,BR,3,A/A/B,1,1,3.839752142361357,1.9095057848581405,2,0.7678908684006692,0.7340182182843975,1.8207385680777721,0.715525626213904,0.8384200834598032,0.02142078220306147,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,20.0,4,C,3,A/A/A,0,0,0.9631819985893282,0.002147195025770512,2,0.21046745902838299,0.3433199353767643,0.26955054400863376,0.0007175955318166502,0.0005182900254294922,0.0009134409920916456,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,25.0,0,TL,3,A/A/A,0,0,1.0980513612308742,0.0037900336149977332,2,0.17719315632096827,0.454726979511629,0.2625491067919393,0.001534861869574345,0.0008572511866300031,0.0015520896724786272,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,25.0,1,TR,3,A/A/A,0,0,49.83621157885188,0.03887386879960706,2,13.493020884272031,21.813204465982057,12.90212458155465,0.015019580661302667,0.011492189314351784,0.010860979535656779,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,25.0,2,BL,3,A/A/A,0,0,0.2611693640348523,0.002763761247874205,2,0.06570589787924185,0.07362082613444208,0.10461070146164914,0.0011993777607524339,0.0008110465449097228,0.0006792678625224784,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,25.0,3,BR,3,A/A/A,0,0,0.6821215934548669,0.017623833992371735,2,0.1459406962726234,0.317874822873932,0.15189789545778862,0.005629532719329914,0.002365827767468933,0.0077640955413220865,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,25.0,4,C,3,A/A/A,0,0,0.6059180253566384,0.0018912600688245002,2,0.13904916416885618,0.22291862219586714,0.17520814954161212,0.0006636895524136457,0.0008432526926421838,0.00022330475448876353,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,30.0,0,TL,3,A/A/A,0,0,3.222475987338358,0.0162186288981345,2,0.5210047700365871,1.2740883492221728,0.8434437094592141,0.005969347247452023,0.006488354997335927,0.0005493309047579381,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,30.0,1,TR,3,A/A/A,0,0,2.022784625630599,0.013814181936921788,2,0.4789951465843031,0.9171876315034738,0.5350026347973302,0.0009021737652330237,0.003833443026707945,0.006918117099829781,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,30.0,2,BL,3,A/A/A,0,0,0.318604488755723,0.0017877862707079114,2,0.08281583552935083,0.11495996056776042,0.1040518031826607,0.00039124189563271867,0.0006220419950484693,0.0005200996206151462,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,30.0,3,BR,3,A/A/A,0,0,1.357712866103848,0.0036219462193571987,2,0.4486549096598744,0.3799318027218087,0.40408297973681473,0.0013113166097286997,0.0009311577301971219,0.0013028428250341684,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,30.0,4,C,3,A/A/A,0,0,1.7083159401495907,0.0016898263842888947,2,0.47758991693871544,0.677273844012919,0.5346934404069716,0.0008209356269201297,5.9665262110515894e-05,0.0004430971225031414,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,35.0,0,TL,3,A/A/A,0,0,0.9046535229221953,0.005410426816088524,2,0.18715572875553518,0.36434158112605064,0.20585351368405636,0.0007553674992224285,0.0020449288666197114,0.0017188817942601785,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,35.0,1,TR,3,A/A/A,0,0,1.3554262619700523,0.0038671645225922327,2,0.35464262359765164,0.5690673728439756,0.33895865231938904,0.0011633108321200847,0.00012528448350163118,0.001985411298574022,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,35.0,2,BL,3,A/A/A,0,0,0.24792601657208024,0.001356990533729332,2,0.058496785706397575,0.08413811633744231,0.08199789214571199,0.0005064906521909405,0.0006533316709504777,7.507127480038485e-05,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,35.0,3,BR,3,A/A/A,0,0,8.892274446765022,0.08087969492065443,2,2.725699010175119,3.283175787815979,2.064797707610831,0.030143018721410106,0.015433539423819925,0.028282905804708776,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,35.0,4,C,3,A/A/A,0,0,0.9142130050197267,0.002544645790792851,2,0.25080128240252947,0.34223000312210705,0.2708051599123349,0.0007457378734409214,0.0002125499517623991,0.001154468038548844,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,40.0,0,TL,3,A/A/A,0,0,0.49335937308458006,0.00571171116373615,2,0.07684111289403933,0.20320465255258024,0.12991509099250828,0.001950664181963331,0.0022705630988087825,0.0013262677522103414,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,40.0,1,TR,3,A/B/A,1,1,2.9930127611216704,2.2441566547519476,2,0.16524361871227267,0.43843082683831897,1.5134797409477865,1.0690920292639812,0.7309712752638361,0.0009084117087650286,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,40.0,2,BL,3,A/A/A,0,0,0.026270176035987938,0.0023872711364234683,2,0.008158249667376627,0.008146101968977646,0.01158896956905528,0.0006796174461282973,0.0006473277998308021,0.0009003530450845388,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,40.0,3,BR,3,A/A/A,0,0,0.7434409555065382,0.0031606801215681843,2,0.2512645664832104,0.2145601053182119,0.18468579910879254,0.0007806600998325795,0.0009041467806763254,0.0014136090512838649,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,40.0,4,C,3,A/A/A,0,0,0.06113269589301162,0.00100041562426679,2,0.014208567557967924,0.022286712723166527,0.020584326904179714,0.0003376834026280152,1.2033292529411262e-05,0.0003739172982392751,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,45.0,0,TL,3,A/A/A,0,0,0.3289566708407683,0.0018753432347394584,2,0.07629226067588402,0.13315148595329568,0.06071615588924484,0.00040105682929605463,0.000887176651010445,0.00011821383363199589,failure_mode_comparator_not_primary_measurement
