dataset,camera,pose_key,height_mm,run_id,sample_id,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,definition
E4,ihawk1,board_static,0.0,20260811_191758,1,0.13983601610668936,0.12318909728235172,-0.3236125087468603,-5.755127391796489e-05,-0.00010006922251004565,0.0002741457868948697,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,2,-0.11146522742393639,-0.1269372678747841,0.05640005553517835,-0.00028729431918312953,0.00010789113234591664,0.0005112818149415522,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,3,0.18367075188081539,0.1785909286759641,-0.4983349051848129,0.0010714649722935623,0.0024632760530955557,0.00018063504260536735,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,4,-0.6235627907675952,-0.5137913656451428,0.8020405014554051,0.0015512856704389046,0.002047216553011364,0.0004888222603792563,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,5,-0.19211558955157965,-0.057293564935232175,0.2928695110242701,-0.0006571428325499753,-0.004227460587622946,-0.0003676688953971269,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,6,-0.531180798368322,-0.5306795746930053,0.6842046511189342,7.65793055920923e-05,0.000811561906435796,-0.0005793234059636338,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,7,0.07062014069526558,0.13714099173334576,0.08223632547251344,0.00010914500143674807,-0.0031505496756809707,-0.00014306459798066635,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,8,-0.13678646240786868,-0.1015207046272315,0.3178102993699743,0.00046260401209924986,-0.0022777810528673737,-2.436583840405227e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,9,0.06097866611559602,0.021298378845397335,-0.081145343921964,-0.0008900226131297696,0.0007928164419695437,-0.0009438988182752398,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,10,0.1394275605963538,0.08896273110843386,-0.14696263285693373,-0.001386150633482408,0.0008388853899143307,-0.0006422052957484511,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,11,0.30274186089318755,0.2041117105617224,-0.29036018256793333,-0.0002798811371079237,0.0032210020875716914,0.00035957210775205777,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,12,-0.14440626105887855,-0.1330508138047016,0.23954364032008563,0.0004307001717410646,-0.004439611174376563,0.0002271441649877682,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,13,-0.02152129509734017,0.016845323703399927,0.2279859397737153,0.00041759886456036035,-0.0023346537164440915,1.8232765582762747e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,14,0.14019832014389508,0.11577915622701405,-0.20180404009492742,0.0005641961313353371,0.00018295019124002057,0.00013806032062364915,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,15,0.04502556200888958,0.05422324726396751,-0.16298045317727047,0.0024465721657801333,-0.0011170714472875814,3.7002113701724276e-06,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,16,0.25787502874608076,0.18284025032698628,-0.38643064113141234,-0.0001199285668307539,0.0008662082829918273,0.00043950905362532806,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,17,0.38125860717757426,0.3083311230123364,-0.38727566118056467,-0.0016577477433259422,0.002290720973203637,9.169950443591962e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,18,0.3024546523539946,0.26771013939151056,-0.3388850520715432,-0.002202954275631191,0.002511342744388961,0.0007287632167792982,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,19,0.09881482789768854,0.11732581818600848,-0.19180029639039314,0.0004601883868196091,-0.0007130666070242214,-0.00018033861798258326,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_191758,20,-0.3618635699414521,-0.3530756047386551,0.3065007932546002,-5.166128675541076e-05,0.0022263917276757234,-0.0005807007813998807,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,1,-0.024927176476294322,0.05949506737951941,-0.07403246690259169,-4.317026228185602e-05,-0.00045921573200214565,-0.0003284526672055586,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,2,-0.010948511439374973,0.13295256083418924,-0.1179613489827467,-0.0006358910144094652,7.85904084571608e-05,0.0005394538220378072,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,3,0.008111915215730722,0.03075030325742219,-0.0477442328241754,-2.715505970422604e-05,0.00021911584470112605,3.911040067811782e-06,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,4,0.009501267239443197,-0.047814523939659584,0.03884055941490258,-0.00018043697897012856,4.4497441655565734e-05,2.9945375264769548e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,5,0.01214115693062065,-0.05610106096871297,0.023942852357420327,0.0003127580019303681,-0.0005411778355486554,1.813405031923726e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,6,-0.005505782432598152,0.013808232930580552,-0.021145781151245498,6.521262070767082e-05,-0.0001892306129632529,-2.816895646592733e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,7,-0.005067315389298349,0.05597903944568199,-0.04244661723663626,-0.00035073812999688106,-0.0001406718918698733,8.46311948257839e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,8,-0.026064830716475737,0.002233651667567328,0.021822835844475214,0.0005135032524877159,-6.237012553318915e-05,-0.0002938890278061396,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,9,-0.014036892371651151,0.03368960196047047,-0.006180819593182847,0.00017462225327202017,0.0002225518334285802,-3.708111868514422e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,10,0.025349222957261167,-0.16360041750327128,0.14281637534478267,0.0009054744756601849,-0.00010542848543013585,0.0002381561621710285,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,11,0.0014920470647934083,-0.003417581372437491,0.005477219528688917,5.47968392379919e-06,0.00012191363709088471,4.6560658360812395e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,12,0.023478988526560902,-0.06913057746747445,0.05690645101101976,0.00037384330396215813,-0.00029688083647508317,-7.571569399741385e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,13,-0.011961494237749653,0.04143680763288163,-0.04848189433657514,-0.00023763940038723546,0.00012946985633520062,-8.053726042744341e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,14,-0.0041405733238585865,0.13837016328202345,-0.12586581123729387,-0.0007933021077917415,-0.00016606864330321214,0.0003159980078110174,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,15,-0.0016488258968095349,0.041145324904175086,-0.02045213087883228,-0.00019525562189954887,0.0005900398297900629,-4.095239470307723e-06,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,16,-0.0026131198735417894,0.024222901669647964,-0.008436815775852952,-0.00011864701251313581,0.0006259321108450776,3.316085454922535e-06,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,17,0.001370950345895693,-0.06772974969632319,0.06316424480092728,0.00018339974769131215,-8.159341449302973e-05,-7.168633464313475e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,18,0.015720433215258105,-0.1766915914726115,0.15321387893004482,0.0005948359438120812,-0.0006604632486398274,-0.0005393569236387736,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,19,-0.0013551922376125165,0.03087122582772033,-0.007763826937679281,-0.0002553059064987776,0.0006349865252610705,9.206990669586802e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_191758,20,0.011103732899701102,-0.02046937837057673,0.014327328623293287,-0.00029158778964379246,3.600333986214146e-05,8.680691967609232e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,1,-0.0433507813320587,-0.0316271835394745,0.05353808503895231,-0.0007223626414234376,-0.002250568320848291,-0.0003570636457315453,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,2,-0.33324334626828106,-0.23627138715162477,0.3051859427121876,-0.0009715888693058225,-0.002109176544354253,-0.00017988267440276613,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,3,-0.01986895045264831,-0.014187002423289836,-0.05172591538154134,0.00040489895587724194,-0.0004231058347038711,0.00045505955165860195,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,4,0.01493710134027888,-0.0032109368674876925,-0.04583095756903694,0.0003145012081067511,-0.0007049234779390657,0.0006767863114104503,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,5,0.15997136892873784,0.15855873662544898,-0.11793193518927014,0.0007674251812028748,0.003036168587773701,-0.0006317447978432362,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,6,0.031245834781392885,0.011284054300633901,-0.061587902054879205,0.0003228719968736096,-0.0007423258369283087,0.0007651067136127992,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,7,0.21745923701618905,0.20572001131184006,-0.127705135395979,-0.000978645243166523,0.0011571544002263352,-0.0011230432905002215,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,8,0.26610556782128053,0.2322806776336841,-0.26999166340101094,0.001754427598195228,0.003947421304035749,-0.00038201002182875084,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,9,-0.08240069837933331,-0.08168111368557053,0.028870439695928403,0.00011869499922035567,-0.0009300537985922869,0.00020843499267191062,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,10,0.11362551927814264,0.12387456088727093,-0.05301264433777314,0.0007023463437144656,0.001969144328627773,-0.00011184831011126766,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,11,-0.4357616383607034,-0.37944789392261985,0.42517966753957864,0.0006020884099944948,-0.0023271615716107872,0.00030816470882211395,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,12,-0.3907171436478216,-0.32383746239989397,0.35919734327721353,-0.001214343224306709,-0.0024620693750366475,6.585151068289032e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,13,-0.19483041368486928,-0.13520129282950788,0.1719688844503729,-0.0021586780109492695,-0.0005967777629363041,0.0011854226957705286,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,14,-0.08114376432063079,-0.09313978011424762,0.08688956042654665,-0.0010603148883165318,-0.0020293778575881764,0.00013457799893387047,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,15,0.23176141646356566,0.18362224619843434,-0.16181204384915387,0.000667964958861405,0.0021868158317794855,-0.0005180869109754352,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,16,0.1078112712060639,0.09274493975943611,-0.01068481387209389,-0.0006190452568544697,0.0010949297800627864,-0.0010242738304079995,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,17,0.04928360566604425,0.01929945447014412,-0.08183132492017921,0.00014584567995893082,-0.0008630032458942603,0.00030734390147748447,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,18,-0.05008597532025927,-0.062108773173359194,0.007748353674708092,0.0003943282314784501,-0.0009598039779467172,0.00011542355085073899,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,19,0.09458977755532126,0.06439732102487726,-0.1655710792666458,0.0008583620169722272,-0.00017380786217478184,0.00040437363562870643,Log(inv(T_bar_group) @ T_sample)
E4,ihawk1,board_static,0.0,20260811_192958,20,0.3446120117086921,0.26893082389590456,-0.29089286157885275,0.0006712225539373743,0.0031805212342352236,-0.0002985920898503934,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,1,0.025080797666556964,-0.08208948297803727,0.10443171823758089,0.0004994012076011355,-0.00013123480820114925,0.0002344936146806238,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,2,0.0072438197896163865,0.10487097960343775,-0.09040968194332272,-0.00109358118966347,-0.0005800323130403176,-0.0003794421620718142,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,3,0.012243876089921559,0.11191314410917252,-0.0638744776087872,-0.001262500617164247,0.001269413457666006,-0.00029810284959605807,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,4,-0.008682378679901665,0.21780141251464546,-0.16714191946105286,-0.0030441761458435204,0.0014696327727991504,0.0006654815933678374,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,5,0.009091505344016997,0.2261548053017251,-0.20213961170042397,-0.001269819967705943,-0.00024420563097055054,-0.00048086808227077517,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,6,-0.008378620433477197,0.18871152309509007,-0.20546986413048826,-0.0021460936683175146,8.343466866015328e-05,-0.00020193306103013318,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,7,-0.01595132337178633,-0.14399548671396212,0.06822818385285015,0.0030632147562620468,-0.0009358867512061852,0.00023645809436005554,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,8,0.01060882488295542,-0.04631556792916213,0.05350467697047054,-0.0014462993524107014,0.0008770577922405388,0.0014582941483143865,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,9,-0.004485577654966709,-0.20956542717631124,0.08978595040501268,0.0025832128832524834,-0.0010767777337053876,-1.0023110836691325e-05,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,10,0.03210668004304459,-0.2268395786826764,0.2488835600701258,0.0003290106520698603,0.0015618041541507624,0.0005016080040098847,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,11,-0.016672376603516576,-0.17299310446462948,0.10879649810079256,0.0054251147525286305,-0.0006305486993809958,0.00010943794015877707,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,12,0.05464282062417786,-0.3272817748021126,0.3053016239056859,0.002052864418530022,0.0005411329727252813,0.0009947347620949609,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,13,-0.054666711730681744,0.1749842344011428,-0.08296363476912834,-0.003913346869054966,-0.001989316599881256,-0.0024819536993634338,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,14,-0.005389007642082232,-0.1872017053914308,0.1458337451854146,0.0020865373215312615,0.0027759624276451375,0.002556587232972741,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,15,-0.0016646591407615857,-0.16478388629371432,0.12907493242622964,0.002543807949495811,0.0026396528104838594,0.002320060438954476,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,16,-0.016868502683495185,0.17658119817053336,-0.12710581783561153,-0.004307630149716439,7.213557199110474e-05,-0.0007931614003405746,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,17,-0.001403103186680577,-0.07539843319114696,0.013000509245251436,0.0026534438644161044,-0.001490474179303643,-0.0005740703479406297,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,18,-0.0017150540121696712,0.0008646427243651191,0.09827440126052564,-0.0044760598684714485,0.0008807501369975985,-0.0005252966380837654,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,19,-0.02008710416168721,0.39414871716195715,-0.33969390174294045,-0.002850823598186347,-0.00254068211723744,-0.0026308607128540788,Log(inv(T_bar_group) @ T_sample)
E4,ihawk2,board_static,0.0,20260811_192958,20,0.0049460948607838884,0.040433790540939575,-0.0863168904679098,0.004573723621201975,-0.0025518179323693203,-0.000701443764313921,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_131913,1,-0.10602820188023215,-0.2662692722047823,0.16200349016945526,-0.00015531433538555538,0.0004929299382136421,4.478765399850303e-05,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_131913,2,0.2833623099102467,0.7455339281970683,-0.46561232125113694,0.0008188974321622545,-0.0007548790983067702,0.0007177306023007395,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_131913,3,-0.1773341080300472,-0.4792646559924104,0.30360883108192555,-0.0006635830966595364,0.0002619491600651667,-0.0007625182561548867,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_141232,1,0.1810704566691664,0.5282088002276482,-0.2925518475926153,0.0007510176267004015,-0.0025597100676341303,-0.0007121006954435749,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_141232,2,0.17999933561691547,0.548939989343003,-0.36424165364451705,0.0018755241722084553,0.0016269404410753712,0.001388115319913778,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_141232,3,-0.3610697922859793,-1.0771487895703995,0.6567935012372359,-0.002626541798952311,0.0009327696265722475,-0.0006760146244822931,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_145501,1,-0.031356254697431495,-0.08599684031948152,0.05995740838849602,-0.00031108571935459516,-0.00033539420118623535,-0.0002225693577853448,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_145501,2,0.0034446016293207204,-0.11053757329418991,0.04275130339053143,-0.0005338586872185884,0.00019017092772863014,-0.0005465061748057223,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_145501,3,0.027911653068180536,0.19653441361387256,-0.10270871177903053,0.0008449444066407994,0.00014522327346725957,0.0007690755326531278,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_151001,1,0.014140327700741926,0.07764342262938415,-0.04462183528246617,0.0004528397245727703,-0.0003079583510967278,-0.0003228060294498938,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_151001,2,0.0028534592332328406,0.0015469997466690992,-0.0033337743813611764,-0.00029364616222555217,0.0002879097825426217,0.00014285544397681392,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_151001,3,-0.016993786934033916,-0.07919042237617117,0.04795560966397193,-0.00015919356232814734,2.0048568581951668e-05,0.0001799505854288085,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_162715,1,0.14121651212769204,0.31743051684865703,-0.22227032320304055,0.0018423213668674343,0.0007531401183618047,0.001963390395569372,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_162715,2,-0.11301639712684458,-0.22102257425233626,0.18438235797227315,0.0002286592149636244,0.0007135826336345178,1.140006597081349e-05,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_0_TL,0.0,20260808_162715,3,-0.028200115000838383,-0.09640794259616478,0.03788796523078002,-0.002070980581878959,-0.001466722752223459,-0.001974790461513248,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_131913,1,-0.22256242471128343,-0.31975244999241015,0.20888523178862883,-0.0005486555861622462,5.813440029647765e-05,-2.8828924380681796e-06,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_131913,2,0.4882907779692583,0.7070244400228575,-0.4654228264977141,0.0010727811935711893,0.00014219797050711642,-0.00043449654828004087,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_131913,3,-0.26572835325808614,-0.38727199003026774,0.25653759470894594,-0.0005241256072732962,-0.00020033237078000477,0.0004373794406534991,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_141232,1,0.10297878720437474,0.1744036652843563,0.10026180636256896,3.617504452392565e-05,-0.000196055862153276,6.603495074181347e-05,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_141232,2,-0.033920766992062285,-0.05975192916010553,-0.03492305312135824,-6.081186421629283e-06,4.1938372318408794e-05,7.738556249126157e-05,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_141232,3,-0.0690580202123954,-0.11465173612431767,-0.06533875324132435,-3.0093858167694846e-05,0.0001541174901807353,-0.00014342051344053833,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_145501,1,0.19385354759496454,0.3702800775947464,-0.20519663735437624,0.0004355908694317551,6.511754891110578e-05,0.001555668115757374,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_145501,2,-0.38697168375180524,-0.7176377632186052,0.44364519389725854,-0.0023443501028784946,-0.0003294063988417805,-0.00279552915158048,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_145501,3,0.1931181361568399,0.34735768562391894,-0.23844855654297487,0.0019087592333923956,0.00026428884992270974,0.0012398610356730993,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_151001,1,0.15561546194908996,0.27412371227019655,-0.1589390828149836,0.0005739611716717254,0.000716784657254578,-9.736631210625977e-05,Log(inv(T_bar_group) @ T_sample)
