dataset,camera,pose_key,height_mm,run_id,n,covariance_rank,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,cov_rho_x_mm_rho_x_mm,cov_rho_x_mm_rho_y_mm,cov_rho_x_mm_rho_z_mm,cov_rho_x_mm_omega_x_rad,cov_rho_x_mm_omega_y_rad,cov_rho_x_mm_omega_z_rad,cov_rho_y_mm_rho_x_mm,cov_rho_y_mm_rho_y_mm,cov_rho_y_mm_rho_z_mm,cov_rho_y_mm_omega_x_rad,cov_rho_y_mm_omega_y_rad,cov_rho_y_mm_omega_z_rad,cov_rho_z_mm_rho_x_mm,cov_rho_z_mm_rho_y_mm,cov_rho_z_mm_rho_z_mm,cov_rho_z_mm_omega_x_rad,cov_rho_z_mm_omega_y_rad,cov_rho_z_mm_omega_z_rad,cov_omega_x_rad_rho_x_mm,cov_omega_x_rad_rho_y_mm,cov_omega_x_rad_rho_z_mm,cov_omega_x_rad_omega_x_rad,cov_omega_x_rad_omega_y_rad,cov_omega_x_rad_omega_z_rad,cov_omega_y_rad_rho_x_mm,cov_omega_y_rad_rho_y_mm,cov_omega_y_rad_rho_z_mm,cov_omega_y_rad_omega_x_rad,cov_omega_y_rad_omega_y_rad,cov_omega_y_rad_omega_z_rad,cov_omega_z_rad_rho_x_mm,cov_omega_z_rad_rho_y_mm,cov_omega_z_rad_rho_z_mm,cov_omega_z_rad_omega_x_rad,cov_omega_z_rad_omega_y_rad,cov_omega_z_rad_omega_z_rad,source_file,note
E4,ihawk1,board_static,0.0,20260811_191758,20,6,-1.6616573733487583,88.27819097880861,580.6184500756198,-0.9875295998124191,0.47336069771751205,0.833445100703641,0.27136687691158723,0.2366585707978168,0.3623904210500873,0.0010659752732164506,0.002292365430429355,0.0004416519614011832,0.07363998188474855,0.06310929706832306,-0.09308914682674262,-0.00011557011582842402,0.00012670150826588823,3.10747836236833e-05,0.06310929706832306,0.05600727913206527,-0.0786722815695854,-9.018732076319511e-05,4.7417555792053565e-05,2.796650052054825e-05,-0.09308914682674262,-0.0786722815695854,0.13132681726885956,0.00011065147360004801,-0.0002652723771179167,-4.107633824188524e-05,-0.00011557011582842402,-9.018732076319511e-05,0.00011065147360004801,1.1363032831088867e-06,-5.753239941140895e-07,4.833859260663407e-08,0.00012670150826588823,4.7417555792053565e-05,-0.0002652723771179167,-5.753239941140895e-07,5.2549392666275635e-06,1.66404584752485e-07,3.10747836236833e-05,2.796650052054825e-05,-4.107633824188524e-05,4.833859260663407e-08,1.66404584752485e-07,1.950564550095122e-07,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv,Per-frame SOLVEPNP_IPPE; frames require >=8 non-collinear ChArUco points
E4,ihawk2,board_static,0.0,20260811_191758,20,6,30.21649231952709,134.376526086759,504.80565896346496,-1.0953324669667743,-0.03092504987376597,-0.028338326239504632,0.01398702768026959,0.08076527412251004,0.07130259320475923,0.0004100145849302122,0.00035649653551527626,0.0002269800772198855,0.0001956369433286277,-0.0007805363009610951,0.0006339480758833271,2.141695311197091e-06,-9.164940823861929e-07,3.6674985747888504e-07,-0.0007805363009610951,0.006523029504084191,-0.005644999009789734,-2.8027838921997223e-05,1.1328421878045914e-05,8.417212678144172e-06,0.0006339480758833271,-0.005644999009789734,0.005084059797723378,2.4796336063131714e-05,-7.078690731132918e-06,-7.346267676380729e-06,2.141695311197091e-06,-2.8027838921997223e-05,2.4796336063131714e-05,1.6811195985549422e-07,-5.496202375866668e-08,-4.968095012410997e-08,-9.164940823861929e-07,1.1328421878045914e-05,-7.078690731132918e-06,-5.496202375866668e-08,1.2708977983439463e-07,2.908258805284349e-08,3.6674985747888504e-07,8.417212678144172e-06,-7.346267676380729e-06,-4.968095012410997e-08,2.908258805284349e-08,5.151995545474518e-08,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv,Per-frame SOLVEPNP_IPPE; frames require >=8 non-collinear ChArUco points
E4,ihawk1,board_static,0.0,20260811_192958,20,6,-1.8315344688419624,88.71826150927949,580.4115825408596,-0.9734786928428683,0.4871321261555674,0.8248706387698134,0.21312052904893325,0.17761894721967433,0.19240028252505956,0.0009397580753611774,0.001991661557420646,0.0005836916619301396,0.045420359902097196,0.037609123456751305,-0.03987613950552608,0.00010081002797092891,0.00035948821796897743,-5.600496884924735e-05,0.037609123456751305,0.031548490411425455,-0.03267779291534638,7.838056631290207e-05,0.00030873270134515864,-5.0195010750256896e-05,-0.03987613950552608,-0.03267779291534638,0.03701786871572273,-0.00010287986409060303,-0.00030098366330324973,3.252479229496316e-05,0.00010081002797092891,7.838056631290207e-05,-0.00010287986409060303,8.831452402065444e-07,1.038465835402625e-06,-5.8104464634372525e-08,0.00035948821796897743,0.00030873270134515864,-0.00030098366330324973,1.038465835402625e-06,3.966715759307233e-06,-5.633962937135948e-07,-5.600496884924735e-05,-5.0195010750256896e-05,3.252479229496316e-05,-5.8104464634372525e-08,-5.633962937135948e-07,3.4069595620676833e-07,E4\E4_model_freeze_v1\20260811_192958\E4_heldout_9points_per_frame.csv,Per-frame SOLVEPNP_IPPE; frames require >=6 non-collinear ChArUco points
E4,ihawk2,board_static,0.0,20260811_192958,20,6,30.13866601606632,134.18417900238092,504.1003465679455,-1.094154611515617,-0.02886556423964322,-0.028652267016595703,0.022336073528311892,0.19282152917847695,0.16389643509692692,0.003002134340700983,0.0015342767050836217,0.001280735553853663,0.0004989001806621553,-0.0020924344410897804,0.001912719796131274,1.7550681015748724e-05,1.2570129724646391e-05,1.3363567073878134e-05,-0.0020924344410897804,0.03718014211472624,-0.030327291485189194,-0.0004026567948347626,-0.00010585969922033283,-0.0001636753950803106,0.001912719796131274,-0.030327291485189194,0.026862041437481176,0.00025124086219271155,0.00011409763047294532,0.00013227226856874307,1.7550681015748724e-05,-0.0004026567948347626,0.00025124086219271155,9.012810599616126e-06,-3.3862939365044245e-07,1.6211661045623156e-06,1.2570129724646391e-05,-0.00010585969922033283,0.00011409763047294532,-3.3862939365044245e-07,2.3540050077622546e-06,1.588375244715296e-06,1.3363567073878134e-05,-0.0001636753950803106,0.00013227226856874307,1.6211661045623156e-06,1.588375244715296e-06,1.640283558904849e-06,E4\E4_model_freeze_v1\20260811_192958\E4_heldout_9points_per_frame.csv,Per-frame SOLVEPNP_IPPE; frames require >=6 non-collinear ChArUco points
E2,ihawk1,marker_0_TL,0.0,20260808_131913,3,2,-167.15512541173183,40.49063258503299,670.6266352541611,1.9824047760389392,-0.6660656737241153,0.4087788427763645,0.2479753658556011,0.6543755702564619,0.40940095678862914,0.0007533452307376912,0.0006638673585538733,0.0007411400820354953,0.061491782071219206,0.16223911921947698,-0.10147706144167087,0.00018309414210707762,-0.00015631064032513672,0.0001669247708765844,0.16223911921947698,0.4282073869484697,-0.2678876581430539,0.0004849515894897052,-0.0004097915247283676,0.0004443074945052908,-0.10147706144167087,-0.2678876581430539,0.16760914341944497,-0.00030395994348199915,0.00025543372895824094,-0.000279217865967889,0.00018309414210707762,0.0004849515894897052,-0.00030395994348199915,5.675290366752253e-07,-4.342763378725374e-07,5.433929040863887e-07,-0.00015631064032513672,-0.0004097915247283676,0.00025543372895824094,-4.342763378725374e-07,4.4071986975329694e-07,-3.5973183555393476e-07,0.0001669247708765844,0.0004443074945052908,-0.000279217865967889,5.433929040863887e-07,-3.5973183555393476e-07,5.492886211995806e-07,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv,PnP recomputed from raw four corners
E2,ihawk1,marker_0_TL,0.0,20260808_141232,3,2,-162.41975739484076,39.65889855891686,675.1571581071923,1.9919362161886942,-0.6377776457520183,0.4062732225607874,0.31269607129155913,0.9328958043133232,0.5699281836543144,0.0023431112028451146,0.002243781407068186,0.0012022785272856888,0.09777883300117583,0.29168886588023407,-0.1778420226847664,0.0007109725556711879,-0.0002537173038612142,0.00018250394863492445,0.29168886588023407,0.8702945817054023,-0.5309697973732846,0.002127710329075715,-0.0007318501947901854,0.0005570112447158971,-0.1778420226847664,-0.5309697973732846,0.324818134523506,-0.0013139756022405658,0.0003844427309167427,-0.0003706425287759894,0.0007109725556711879,0.002127710329075715,-0.0013139756022405658,5.490170108898279e-06,-6.60489834520255e-07,1.922112164976609e-06,-0.0002537173038612142,-0.0007318501947901854,0.0003844427309167427,-6.60489834520255e-07,5.034555002704888e-06,1.72529318065223e-06,0.00018250394863492445,0.0005570112447158971,-0.0003706425287759894,1.922112164976609e-06,1.72529318065223e-06,1.4454736571722446e-06,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv,PnP recomputed from raw four corners
E2,ihawk1,marker_0_TL,0.0,20260808_145501,3,2,-162.78201696862888,41.10730496518576,675.5250820203585,1.9867147384330293,-0.64888691273492,0.3969747494174452,0.029783723457900504,0.17064552058177726,0.08936342718797809,0.0007401724370100163,0.0002913280376989719,0.0006854499591696886,0.0008870701830166927,0.0039006906459551956,-0.002299774244684518,1.574967384252693e-05,7.612595355192152e-06,1.3281307430515829e-05,0.0039006906459551956,0.029119893694625767,-0.01503378472481823,0.00012591224309782193,1.8181589797620053e-05,0.00011534976835477494,-0.002299774244684518,-0.01503378472481823,0.007985822118781061,-6.412909987754953e-05,-1.3447503701213555e-05,-5.7849645191496964e-05,1.574967384252693e-05,0.00012591224309782193,-6.412909987754953e-05,5.478552365093465e-07,6.275876857463024e-08,5.054106437055667e-07,7.612595355192152e-06,1.8181589797620053e-05,-1.3447503701213555e-05,6.275876857463024e-08,8.487202554953361e-08,4.120327604309175e-08,1.3281307430515829e-05,0.00011534976835477494,-5.7849645191496964e-05,5.054106437055667e-07,4.120327604309175e-08,4.6984164652572785e-07,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv,PnP recomputed from raw four corners
E2,ihawk1,marker_0_TL,0.0,20260808_151001,3,2,-163.1317731139756,40.93540015387715,673.7940994095595,1.990177585699749,-0.6483391742716533,0.39993281984448764,0.015761977849233152,0.07842836630307222,0.046378673621852315,0.00039789098697235115,0.00029843955334048835,0.0002801728249841419,0.00024843994571971655,0.0012240314527872198,-0.0007277137878569233,4.135348113970591e-06,-1.9368971390838088e-06,-3.607496380997735e-06,0.0012240314527872198,0.006151008640968874,-0.003633687174027718,2.3656180510068778e-05,-1.252659932991845e-05,-1.9546565251597857e-05,-0.0007277137878569233,-0.003633687174027718,0.0021509813669223,-1.3430906941228375e-05,6.871640944275829e-06,1.127879484427969e-05,4.135348113970591e-06,2.3656180510068778e-05,-1.3430906941228375e-05,1.5831723751383172e-07,-1.1359549032675095e-07,-1.0838766054039294e-07,-1.9368971390838088e-06,-1.252659932991845e-05,6.871640944275829e-06,-1.1359549032675095e-07,8.90661669980702e-08,7.207402200859851e-08,-3.607496380997735e-06,-1.9546565251597857e-05,1.127879484427969e-05,-1.0838766054039294e-07,7.207402200859851e-08,7.849681185959461e-08,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv,PnP recomputed from raw four corners
E2,ihawk1,marker_0_TL,0.0,20260808_162715,3,2,-160.54708081986246,40.831417973292524,674.8089726321729,1.9920428252507951,-0.6468371669519493,0.3845853220461715,0.12944121407632064,0.28187550687454244,0.20595685035648653,0.001966646082283717,0.0012703731429782286,0.001969115178678218,0.01675502790155187,0.03626216026308176,-0.026647457280331206,0.0001463629237878948,3.353551631994032e-05,0.00016583203367075947,0.03626216026308176,0.07945380137578022,-0.05748037387863066,0.000366964576211917,0.00011137775465211578,0.00040555292078339104,-0.026647457280331206,-0.05748037387863066,0.04241822420876419,-0.00022289894035513037,-4.569989478364693e-05,-0.0002545611195480509,0.0001463629237878948,0.000366964576211917,-0.00022289894035513037,3.8676968129618924e-06,2.2941238579882065e-06,3.854777753234451e-06,3.353551631994032e-05,0.00011137775465211578,-4.569989478364693e-05,2.2941238579882065e-06,1.6138479224003828e-06,2.1916565323919768e-06,0.00016583203367075947,0.00040555292078339104,-0.0002545611195480509,3.854777753234451e-06,2.1916565323919768e-06,3.8774145869009505e-06,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv,PnP recomputed from raw four corners
E2,ihawk1,marker_1_TR,0.0,20260808_131913,3,2,-56.629836813412254,1.1662908022844096,760.6490490665149,1.9935491619056522,-0.6786013081007932,0.3966460748196995,0.42342264610460045,0.6132311074659323,0.40377158455218337,0.0009291367212920457,0.0001785118064674031,0.00043594514370643415,0.17928673723422173,0.25965377130672473,-0.17096049514963707,0.00039260715785422644,5.4864707773554055e-05,-0.0001638715762836087,0.25965377130672473,0.37605239116389383,-0.24760335136528008,0.0005684478287418376,7.976596972299824e-05,-0.0002378313365998147,-0.17096049514963707,-0.24760335136528008,0.16303149249178095,-0.00037418041361418907,-5.27157741085406e-05,0.0001569133438146212,0.00039260715785422644,0.0005684478287418376,-0.00037418041361418907,8.632950468533326e-07,1.1282543527236983e-07,-3.468898877836715e-07,5.4864707773554055e-05,7.976596972299824e-05,-5.27157741085406e-05,1.1282543527236983e-07,3.186646504825558e-08,-7.478669142866168e-08,-0.0001638715762836087,-0.0002378313365998147,0.0001569133438146212,-3.468898877836715e-07,-7.478669142866168e-08,1.9004816832122354e-07,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv,PnP recomputed from raw four corners
