dataset,camera,pose_key,height_mm,run_id,feature,landmark_id,n,mean_u_px,mean_v_px,sigma_u_px,sigma_v_px,cov_uu_px2,cov_uv_px2,cov_vu_px2,cov_vv_px2,source_file
E0-A,ihawk1,center,,20260807_185706,marker_center,4,50,278.39729370117186,242.6526251220703,0.04921455496719413,0.035658107680340154,0.0024220724206189723,-0.0006171391406381617,-0.0006171391406381617,0.0012715006433427335,E0\E0_A_camera_static\raw\E0A_formal_center_20260807_185706.csv
E0-A,ihawk2,center,,20260807_185706,marker_center,4,50,313.5257330322266,308.7052520751953,0.09737667513964038,0.0313210471927533,0.009482216861251056,-0.002309128826446071,-0.002309128826446071,0.0009810079972506793,E0\E0_A_camera_static\raw\E0A_formal_center_20260807_185706.csv
E0-A,ihawk1,left,,20260807_185747,marker_center,4,50,236.58229248046874,189.17704132080078,0.03414717755251666,0.023637269572199086,0.0011660297348030976,0.00032317995492901124,0.00032317995492901124,0.0005587205128288087,E0\E0_A_camera_static\raw\E0A_formal_left_20260807_185747.csv
E0-A,ihawk2,left,,20260807_185747,marker_center,4,50,156.70832794189454,295.0583752441406,0.7226830943780218,0.3589223778764064,0.5222708548997927,0.2591231531372331,0.2591231531372331,0.12882527334045388,E0\E0_A_camera_static\raw\E0A_formal_left_20260807_185747.csv
E0-A,ihawk1,right,,20260807_185833,marker_center,4,50,414.7183599853516,333.0779681396484,0.02145732447972758,0.014535417336420478,0.0004604167738283164,-4.661751226807127e-05,-4.661751226807127e-05,0.00021127835714391301,E0\E0_A_camera_static\raw\E0A_formal_right_20260807_185833.csv
E0-A,ihawk2,right,,20260807_185833,marker_center,4,50,500.28198303222655,290.37182983398435,0.022851526909771682,0.0260909814390282,0.0005221922821080193,4.833830026339509e-05,4.833830026339509e-05,0.0006807393124517139,E0\E0_A_camera_static\raw\E0A_formal_right_20260807_185833.csv
E0-A,ihawk1,near,,20260807_185924,marker_center,4,50,233.82031951904298,258.2665118408203,0.1031435009146279,0.009758340123078722,0.010638581780925846,-0.00010857360836650643,-0.00010857360836650643,9.522520195768804e-05,E0\E0_A_camera_static\raw\E0A_formal_near_20260807_185924.csv
E0-A,ihawk2,near,,20260807_185924,marker_center,4,50,311.5099212646484,355.6587023925781,0.014588305582417303,0.02481561769663141,0.00021281865976598786,3.821961961838665e-05,3.821961961838665e-05,0.000615814881665366,E0\E0_A_camera_static\raw\E0A_formal_near_20260807_185924.csv
E0-A,ihawk1,far,,20260807_190004,marker_center,4,50,356.5560778808594,216.74794799804687,0.09604425499031913,0.0071807175918741336,0.009224498916645441,-3.0285218464476732e-05,-3.0285218464476732e-05,5.156270513425065e-05,E0\E0_A_camera_static\raw\E0A_formal_far_20260807_190004.csv
E0-A,ihawk2,far,,20260807_190004,marker_center,4,50,320.7859332275391,243.2947610473633,0.38219149597015845,0.24305500220197243,0.14607033959190763,0.09253544117514122,0.09253544117514122,0.059075734095400824,E0\E0_A_camera_static\raw\E0A_formal_far_20260807_190004.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,0,20,254.37091445922852,247.8455078125,0.040043674478519656,0.0871353661640461,0.0016034958657416465,0.0012612586203766495,0.0012612586203766495,0.00759257203654239,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,2,20,271.955256652832,263.5056671142578,0.07929531599482421,0.07139598780217125,0.006287747138719024,-0.0034637585919546445,-0.0034637585919546445,0.005097387074247787,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,24,20,295.2651824951172,232.15807723999023,0.024911360195882856,0.029406973055756434,0.0006205758668090168,0.0006187363699274627,0.0006187363699274627,0.0008647700643019848,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,26,20,313.51649322509763,246.55571212768555,0.04661106739187688,0.04491141344629132,0.0021725916034100877,-0.0005036609970327268,-0.0005036609970327268,0.002017035057743717,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,29,20,345.0028244018555,272.0197326660156,0.2150790834085094,0.8254673514701134,0.04625901211984454,-0.1708331301514255,-0.1708331301514255,0.6813963483430837,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,31,20,369.6629043579102,290.74522705078124,0.03955684795660918,0.40359383123690706,0.0015647442202622959,0.004571720781294919,0.004571720781294919,0.16288798061248502,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,40,20,319.9625961303711,222.47395553588868,0.042346409663715154,0.009474801121092682,0.0017932184114071881,0.00024501829726719546,0.00024501829726719546,8.977185628425915e-05,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,42,20,338.6166259765625,235.51180725097657,0.02957383034444587,0.06009045944257623,0.0008746114412420674,-0.00031841224255530447,-0.00031841224255530447,0.0036108633160198992,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,45,20,371.11186065673826,258.0471588134766,0.04599124252729476,0.059588330928163985,0.002115194389204446,-0.0001093596563135323,-0.0001093596563135323,0.0035507691828043845,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,47,20,395.9822341918945,275.3371810913086,0.0451488481509914,0.019829240802737833,0.0020384184893612795,-0.00027352187929576964,-0.00027352187929576964,0.0003931987908129629,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,5,20,301.54432220458983,293.27740783691405,0.021472896528069812,0.01555834185393861,0.00046108528530519263,-0.00022846694153390429,-0.00022846694153390429,0.00024206200124401794,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk1,board_static,0.0,20260811_191758,charuco_corner,7,20,324.8034973144531,315.8058090209961,0.008214323149385663,0.0017851273047668327,6.74751048025332e-05,-1.3479276707297877e-05,-1.3479276707297877e-05,3.1866794942240964e-06,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk2,board_static,0.0,20260811_191758,charuco_corner,0,20,270.01709136962893,343.6789779663086,0.018018211869953067,0.022784912294747446,0.00032465595899051756,-6.421162795863653e-06,-6.421162795863653e-06,0.0005191522282793333,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk2,board_static,0.0,20260811_191758,charuco_corner,2,20,313.5458038330078,342.87799682617185,0.010866228823814822,0.01699476712879559,0.00011807492885150406,1.6590894052856842e-05,1.6590894052856842e-05,0.00028882210976199105,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk2,board_static,0.0,20260811_191758,charuco_corner,24,20,274.26280822753904,299.44058380126955,0.04192893249532116,0.06803065150315056,0.0017580353801971988,-0.001989067713484952,-0.001989067713484952,0.004628169543943122,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk2,board_static,0.0,20260811_191758,charuco_corner,26,20,311.9269073486328,299.0167297363281,0.02054317766497319,0.026081184135120103,0.00042202214857465337,-6.345716354094054e-05,-6.345716354094054e-05,0.0006802281658900406,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
E4,ihawk2,board_static,0.0,20260811_191758,charuco_corner,29,20,368.53888549804685,298.15220642089844,0.04274350957217849,0.019758085545285412,0.0018270076105469145,-0.0001113380942689745,-0.0001113380942689745,0.0003903819444148164,E4\E4_charuco_calibration_v4\20260811_191758\E4_charuco_12spread_per_frame.csv
